asvLen	totReads	numSamps
ASV.350	328	196	1
ASV.352	325	194	1
ASV.354	364	193	1
ASV.355	328	192	12
ASV.357	325	192	2
ASV.358	328	192	1
ASV.359	325	191	2
ASV.362	328	191	1
ASV.364	364	190	1
ASV.367	328	189	1
ASV.369	328	188	1
ASV.372	325	187	1
ASV.373	328	186	1
ASV.375	322	185	2
ASV.378	325	182	4
ASV.379	325	182	2
ASV.380	325	182	1
ASV.382	328	181	1
ASV.383	328	181	1
ASV.384	325	181	1
ASV.386	325	179	1
ASV.387	328	179	1
ASV.388	328	178	1
ASV.389	325	178	1
ASV.390	328	178	1
ASV.392	328	175	1
ASV.393	325	173	1
ASV.396	328	172	1
ASV.399	364	169	1
ASV.400	328	169	1
ASV.401	295	168	15
ASV.402	325	166	1
ASV.404	328	166	1
ASV.407	325	163	1
ASV.409	325	162	1
ASV.410	328	161	2
ASV.411	364	161	1
ASV.415	328	160	3
ASV.419	364	157	1
ASV.420	328	156	6
ASV.421	328	156	9
ASV.422	328	156	1
ASV.423	234	154	11
ASV.427	328	153	1
ASV.428	262	151	5
ASV.429	328	151	1
ASV.431	328	150	1
ASV.436	328	148	1
ASV.439	248	146	7
ASV.446	328	141	4
ASV.447	328	140	1
ASV.450	325	139	1
ASV.453	295	137	11
ASV.455	325	136	5
ASV.456	328	136	2
ASV.457	328	136	1
ASV.458	328	136	1
ASV.459	328	135	3
ASV.461	325	134	2
ASV.462	328	133	1
ASV.463	290	133	1
ASV.464	328	133	1
ASV.465	364	133	1
ASV.466	328	133	1
ASV.468	328	132	3
ASV.469	328	132	1
ASV.470	328	132	2
ASV.472	328	132	1
ASV.473	328	132	2
ASV.475	364	132	1
ASV.476	328	130	1
ASV.477	328	130	1
ASV.478	328	130	1
ASV.480	328	129	1
ASV.482	328	129	1
ASV.483	325	129	2
ASV.484	364	127	2
ASV.487	328	127	1
ASV.489	325	126	6
ASV.492	328	124	8
ASV.493	325	124	7
ASV.496	328	124	1
ASV.497	328	124	2
ASV.499	322	123	3
ASV.500	328	123	1
ASV.501	328	122	1
ASV.504	328	121	1
ASV.505	328	121	1
ASV.511	328	118	7
ASV.514	328	118	1
ASV.518	328	116	1
ASV.521	276	114	11
ASV.523	295	114	6
ASV.524	328	114	3
ASV.527	328	113	1
ASV.528	303	113	2
ASV.529	328	113	1
ASV.530	328	112	1
ASV.531	325	112	1
ASV.533	328	111	1
ASV.538	328	109	1
ASV.539	328	108	2
ASV.540	328	107	1
ASV.552	328	103	1
ASV.556	328	102	1
ASV.557	328	102	1
ASV.558	328	101	2
ASV.559	328	101	1
ASV.561	328	100	1
ASV.562	328	100	1
ASV.571	277	98	8
ASV.574	328	98	1
ASV.575	238	97	5
ASV.576	328	97	1
ASV.577	325	96	1
ASV.578	328	96	1
ASV.579	328	94	8
ASV.580	325	94	1
ASV.582	328	93	1
ASV.583	328	93	1
ASV.584	295	92	4
ASV.585	322	92	1
ASV.589	328	90	1
ASV.592	325	89	1
ASV.593	328	89	1
ASV.594	325	88	6
ASV.597	328	88	1
ASV.598	328	87	1
ASV.599	247	87	3
ASV.603	325	87	1
ASV.605	328	87	1
ASV.606	328	87	1
ASV.608	328	86	1
ASV.609	328	86	1
ASV.611	328	86	1
ASV.612	328	86	1
ASV.615	328	85	1
ASV.620	325	84	3
ASV.621	328	84	7
ASV.623	328	84	1
ASV.630	328	83	1
ASV.632	328	83	1
ASV.633	325	82	3
ASV.634	328	82	1
ASV.636	335	81	3
ASV.639	328	81	1
ASV.641	244	80	3
ASV.642	328	80	1
ASV.643	364	80	1
ASV.644	328	80	1
ASV.645	364	79	1
ASV.646	328	79	1
ASV.648	325	79	2
ASV.651	328	79	1
ASV.652	328	79	1
ASV.655	328	78	1
ASV.656	328	78	1
ASV.659	248	77	7
ASV.662	325	77	1
ASV.663	328	76	2
ASV.664	328	76	1
ASV.667	328	75	1
ASV.668	328	75	1
ASV.676	328	72	2
ASV.677	328	72	1
ASV.679	262	70	1
ASV.681	328	70	1
ASV.686	211	69	9
ASV.691	328	67	7
ASV.693	325	66	3
ASV.700	328	64	1
ASV.701	328	64	1
ASV.705	249	62	3
ASV.706	328	62	2
ASV.710	328	62	2
ASV.711	314	61	6
ASV.712	328	61	3
ASV.713	325	61	2
ASV.714	244	61	1
ASV.715	328	61	1
ASV.718	325	60	6
ASV.719	328	60	4
ASV.727	328	59	1
ASV.731	328	58	1
ASV.733	325	58	1
ASV.736	364	57	3
ASV.737	328	57	1
ASV.738	297	56	5
ASV.741	355	56	1
ASV.742	328	56	1
ASV.747	295	55	6
ASV.752	328	54	1
ASV.753	319	54	1
ASV.755	328	53	1
ASV.761	328	52	2
ASV.776	325	50	2
ASV.780	328	49	1
ASV.785	328	48	2
ASV.789	328	48	1
ASV.791	328	48	1
ASV.792	328	47	2
ASV.793	364	47	2
ASV.795	328	47	1
ASV.796	328	46	1
ASV.803	364	46	1
ASV.805	346	45	2
ASV.807	328	45	1
ASV.810	328	45	1
ASV.812	328	45	1
ASV.818	325	44	1
ASV.822	325	43	2
ASV.824	328	43	2
ASV.827	285	43	2
ASV.828	328	43	1
ASV.833	325	42	2
ASV.839	328	42	1
ASV.841	223	41	5
ASV.848	328	40	2
ASV.856	328	40	1
ASV.862	328	39	3
ASV.866	328	39	1
ASV.874	382	38	5
ASV.876	328	38	1
ASV.878	364	38	1
ASV.881	310	38	1
ASV.882	328	38	1
ASV.884	328	38	2
ASV.885	325	37	4
ASV.886	325	37	1
ASV.892	328	37	1
ASV.893	328	37	1
ASV.897	376	36	4
ASV.898	328	36	2
ASV.899	328	36	2
ASV.903	328	36	1
ASV.910	272	35	3
ASV.914	325	35	2
ASV.916	328	35	1
ASV.920	234	35	1
ASV.924	328	34	3
ASV.927	335	34	1
ASV.929	324	34	1
ASV.933	364	33	1
ASV.934	322	33	1
ASV.938	325	32	3
ASV.945	319	31	4
ASV.948	295	31	4
ASV.952	328	31	1
ASV.954	328	31	1
ASV.958	334	30	2
ASV.962	325	30	1
ASV.964	328	29	1
ASV.966	325	29	1
ASV.975	328	29	2
ASV.977	328	28	2
ASV.978	328	28	1
ASV.979	325	28	1
ASV.984	372	28	4
