SRR13612865	SRR13612866	SRR13612867
ASV.1	22098	32886	29775
ASV.2	2652	2678	1546
ASV.3	1112	2645	1105
ASV.4	1161	1739	1054
ASV.5	2021	672	219
ASV.6	240	926	434
ASV.7	387	504	402
ASV.8	223	246	232
ASV.9	144	223	256
ASV.11	142	164	154
ASV.12	437	0	0
ASV.13	140	162	128
ASV.16	375	0	0
ASV.17	88	121	135
ASV.20	90	106	91
ASV.23	86	82	59
ASV.24	211	0	0
ASV.25	65	71	62
ASV.26	43	139	0
ASV.27	9	131	29
ASV.28	166	0	0
ASV.30	0	85	69
ASV.31	43	68	42
ASV.32	47	69	34
ASV.34	32	71	41
ASV.38	23	62	20
ASV.40	75	17	6
ASV.43	32	48	0
ASV.44	26	21	28
ASV.46	61	0	0
ASV.49	12	24	15
ASV.50	0	50	0
ASV.51	19	12	18
ASV.52	0	0	47
ASV.53	0	25	21
ASV.56	0	38	0
ASV.64	10	14	7
ASV.65	8	23	0
ASV.66	31	0	0
ASV.67	20	0	11
ASV.68	0	31	0
ASV.69	30	0	0
ASV.72	0	14	13
ASV.73	8	10	8
ASV.74	12	13	0
ASV.78	15	0	5
ASV.79	0	20	0
ASV.80	0	19	0
ASV.81	9	0	9
ASV.82	0	0	18
ASV.83	0	0	18
ASV.84	17	0	0
ASV.86	9	0	7
ASV.87	6	4	6
ASV.88	0	9	7
ASV.89	0	16	0
ASV.90	15	0	0
ASV.91	15	0	0
ASV.94	0	14	0
ASV.95	0	0	14
ASV.96	0	0	14
ASV.97	0	0	14
ASV.98	7	6	0
ASV.99	0	13	0
ASV.100	0	13	0
ASV.101	0	0	13
ASV.102	0	0	13
ASV.104	12	0	0
ASV.105	0	12	0
ASV.106	11	0	0
ASV.107	4	0	7
ASV.109	0	0	11
ASV.110	10	0	0
ASV.111	10	0	0
ASV.114	0	10	0
ASV.115	0	10	0
ASV.116	0	10	0
ASV.117	0	10	0
ASV.119	0	0	10
ASV.120	9	0	0
ASV.121	9	0	0
ASV.122	9	0	0
ASV.124	0	9	0
ASV.127	8	0	0
ASV.129	0	8	0
ASV.130	0	0	8
ASV.131	7	0	0
ASV.132	7	0	0
ASV.136	0	7	0
ASV.137	0	7	0
ASV.139	0	0	7
ASV.140	0	0	7
ASV.141	0	0	7
ASV.142	6	0	0
ASV.146	6	0	0
ASV.147	0	6	0
ASV.148	0	6	0
ASV.149	0	6	0
ASV.150	0	6	0
ASV.151	0	6	0
ASV.152	0	6	0
ASV.153	0	6	0
ASV.154	0	0	6
ASV.155	0	0	6
ASV.156	0	0	6
ASV.157	5	0	0
ASV.158	5	0	0
ASV.159	3	2	0
ASV.162	0	5	0
ASV.163	0	5	0
ASV.164	0	5	0
ASV.165	0	5	0
ASV.166	0	5	0
ASV.169	0	5	0
ASV.170	0	0	5
ASV.171	0	0	5
ASV.172	4	0	0
ASV.173	4	0	0
ASV.174	4	0	0
ASV.175	4	0	0
ASV.176	0	4	0
ASV.177	0	4	0
ASV.178	0	4	0
ASV.180	0	4	0
ASV.181	0	0	4
ASV.182	0	0	4
ASV.183	0	0	4
ASV.184	0	0	4
ASV.185	0	0	4
ASV.186	0	0	4
ASV.187	0	0	4
ASV.188	0	0	4
ASV.189	0	0	4
ASV.190	0	0	4
ASV.191	3	0	0
ASV.192	3	0	0
ASV.193	3	0	0
ASV.194	3	0	0
ASV.195	3	0	0
ASV.196	3	0	0
ASV.197	3	0	0
ASV.198	3	0	0
ASV.199	3	0	0
ASV.200	3	0	0
ASV.201	3	0	0
ASV.202	3	0	0
ASV.203	3	0	0
ASV.204	3	0	0
ASV.208	0	3	0
ASV.209	0	3	0
ASV.210	0	3	0
ASV.211	0	3	0
ASV.212	0	3	0
ASV.213	0	3	0
ASV.214	0	3	0
ASV.215	0	3	0
ASV.216	0	3	0
ASV.217	0	3	0
ASV.218	0	3	0
ASV.219	0	3	0
ASV.220	0	3	0
ASV.221	0	3	0
ASV.222	0	3	0
ASV.223	0	3	0
ASV.224	0	3	0
ASV.229	0	3	0
ASV.230	0	0	3
ASV.231	0	0	3
ASV.232	0	0	3
ASV.233	0	0	3
ASV.234	0	0	3
ASV.235	0	0	3
ASV.236	2	0	0
ASV.237	2	0	0
ASV.238	2	0	0
ASV.239	2	0	0
ASV.240	2	0	0
ASV.241	2	0	0
ASV.242	2	0	0
ASV.243	2	0	0
ASV.244	2	0	0
ASV.245	2	0	0
ASV.246	2	0	0
ASV.247	2	0	0
ASV.248	2	0	0
ASV.249	2	0	0
ASV.250	2	0	0
ASV.251	2	0	0
ASV.252	2	0	0
ASV.254	0	2	0
ASV.255	0	2	0
ASV.256	0	2	0
ASV.257	0	2	0
ASV.258	0	2	0
ASV.259	0	2	0
ASV.260	0	2	0
ASV.261	0	2	0
ASV.262	0	2	0
ASV.263	0	2	0
ASV.264	0	2	0
ASV.265	0	2	0
ASV.266	0	2	0
ASV.267	0	2	0
ASV.268	0	2	0
ASV.269	0	2	0
ASV.270	0	2	0
ASV.271	0	2	0
ASV.274	0	0	2
ASV.275	0	0	2
ASV.276	0	0	2
ASV.277	0	0	2
ASV.278	0	0	2
ASV.279	0	0	2
ASV.280	0	0	2
ASV.281	0	0	2
ASV.282	0	0	2
ASV.284	0	0	2
ASV.293	0	0	1
