Hanna2-63684A	Hanna14-63688A	Hanna16-63690A	Hanna18-63694A	Hanna20-63696A	Hanna22-63698A	Hanna24-63700A	Hanna28-63708A	Hanna4-63712A	Hanna6-63728A	Hanna30-63738A	Hanna33-63744A	Hanna35-63746A	Hanna37-63750A	Hanna39-63754A	Hanna8-63758A	Hanna10-64077A	Hanna12-64089A	Hanna41-64096A	Hanna43-64098A	Hanna46-64100A	Hanna45-64102A	Hanna48-64106A	Hanna50-64108A	Hanna52-64110A	Hanna54-64114A	Hanna56-64118A
ASV.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	0	0	0	0	0	0
ASV.70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	0	0	0	0	0	0	0	0
ASV.71	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0
ASV.72	0	0	0	0	0	0	0	0	0	0	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.73	0	0	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	138	218	65	65	0	0
ASV.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	113
ASV.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	109	0	472	29	6	0	0	0
ASV.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	0	0	0	0	0
ASV.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	0	0	0	0
ASV.79	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.80	0	0	0	0	0	0	0	0	0	0	0	383	0	8	0	223	0	0	0	0	0	0	0	0	0	0	0
ASV.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	613	0	0	0
ASV.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	149	109	0	0	0	0
ASV.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0
ASV.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	0
ASV.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595	0	0	0	0	0	0	0	0
ASV.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	277	0	138	0	0	0	0	0
ASV.88	0	0	0	0	0	0	0	0	0	64	0	216	96	98	0	52	29	0	0	0	0	0	0	0	0	0	0
ASV.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	505	0	0	0	0	0	0	0
ASV.90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	0	0	0	0	0
ASV.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0	0	0	0	0
ASV.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	256	0	115	0	0	0	0	0
ASV.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	0
ASV.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	150	130	0	0
ASV.96	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	38	0	0	0	0	0	0	0
ASV.97	0	0	0	0	0	0	0	0	0	102	0	149	0	44	42	61	0	0	0	0	0	0	0	30	81	0	0
ASV.99	0	0	0	0	0	0	0	0	0	34	0	104	0	21	2	0	0	0	0	0	0	0	0	182	154	0	0
ASV.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	250	0	0	0	0	0
ASV.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	159	0	271	0	0	0	0	0
ASV.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0
ASV.107	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	131	0	243	30	0	0	0	0
ASV.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0	0
ASV.111	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	164	0	46	0	0	0	0	0
ASV.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0
ASV.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	245	0	0	0
ASV.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	0	0	0	0
ASV.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	219	0	0
ASV.116	0	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.117	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.118	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	0	0	0	0	0	0	0	0
ASV.120	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	77	124	92	54	0	0
ASV.121	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	54	0	0	0	0	0	74	83	55	59	0	0
ASV.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0
ASV.123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0
ASV.124	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	124	100	112	0	0
ASV.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0
ASV.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0
ASV.127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0	0	0
ASV.128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0
ASV.130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	134	113	0	0	0
ASV.131	52	0	0	0	0	0	0	17	34	0	0	0	0	13	0	0	36	157	0	0	0	0	0	0	0	30	0
ASV.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0
ASV.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0
ASV.134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	168	0	68	0	0	0	0	0
ASV.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	120	0	0	0	0	0
ASV.138	0	0	0	0	0	0	0	0	0	29	0	52	4	8	0	0	0	0	0	0	0	0	0	116	109	0	0
ASV.139	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0
ASV.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	0	0	0
ASV.143	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.144	0	0	0	0	0	0	0	0	0	0	0	95	71	101	0	0	4	0	0	0	0	0	0	0	38	0	0
ASV.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	150	0	31	0	0	0	0	0
ASV.146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0
ASV.148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0
ASV.149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0
ASV.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0
ASV.153	0	0	0	0	0	0	0	0	0	0	0	26	12	0	0	0	0	0	0	0	0	0	46	118	85	0	0
ASV.154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0
ASV.155	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	71	122	49	29
ASV.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	163	37	0	0
ASV.157	99	0	0	0	0	49	0	42	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.158	0	25	167	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	23	0	0	0	0	0
ASV.159	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0
ASV.161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0
ASV.162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0
ASV.164	0	0	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0
ASV.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	0
ASV.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	145	0	62	0	0	0	0	0
ASV.170	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0
ASV.172	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0
ASV.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	135	0	60	0	0	0	0	0
ASV.175	0	0	0	0	0	0	0	0	0	57	0	39	121	0	0	0	0	0	0	0	0	0	0	33	0	0	0
ASV.176	0	0	0	0	0	0	0	0	0	51	39	0	0	16	0	38	24	0	0	22	0	0	0	59	0	0	0
ASV.177	0	0	0	0	0	0	0	0	7	18	0	56	37	26	0	78	0	9	0	0	0	0	0	0	16	0	0
ASV.178	0	0	0	0	0	0	0	0	0	17	6	75	56	22	10	20	8	0	0	0	0	0	0	30	0	0	0
ASV.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	107	0	50	0	0	0	0	0
ASV.180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	201	0	0
ASV.181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	101	0	0	0	0	0
ASV.182	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	87	0	0	0	0
ASV.183	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.184	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0
ASV.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0
ASV.187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
ASV.188	0	0	0	0	0	0	0	0	0	0	0	120	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0
ASV.190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0
ASV.191	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	159	0	0
ASV.192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	54	0	0	0	0	0	0	0
ASV.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0
ASV.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0
ASV.195	0	0	0	0	0	0	0	0	0	49	0	0	0	113	0	43	0	0	0	0	0	0	0	0	0	18	0
ASV.197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0
ASV.198	0	0	0	0	0	0	0	0	0	0	0	173	5	41	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	144	0	0	0	0	0
ASV.200	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.201	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	89	46	0	0	0
ASV.202	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.203	0	0	0	0	0	0	0	0	0	0	0	113	78	0	0	0	19	0	0	0	0	0	0	0	0	0	0
ASV.205	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	47	59	82	0	0
ASV.206	0	0	0	0	0	0	0	0	0	0	0	0	103	36	0	25	0	37	0	0	0	0	0	0	0	0	0
ASV.207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	104	0	0	0	0	0
ASV.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0
ASV.209	0	29	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	47	0	0	0	0	0
ASV.210	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0
ASV.212	175	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0
ASV.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0
ASV.215	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.216	0	0	0	0	0	0	0	0	0	0	0	100	23	23	0	0	0	0	0	0	0	0	15	16	6	0	0
ASV.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	21	0	0
ASV.218	0	39	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	63	0	31	0	0	0	0	0
ASV.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0
ASV.221	0	0	0	0	0	0	0	0	0	0	0	59	37	60	21	0	0	0	0	0	0	0	0	0	0	0	0
ASV.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0
ASV.224	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	68	0	32	0	0	0	0	0
ASV.226	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	27	0	0	0	0	0	0	0	86	0	0
ASV.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	68	0	0	0	0	0
ASV.228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0
ASV.229	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.231	0	0	0	0	0	0	0	0	0	14	38	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.232	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0
ASV.234	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.235	125	0	0	0	0	11	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0
ASV.238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0
ASV.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0
ASV.240	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0
ASV.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0
ASV.244	0	0	0	0	28	17	0	0	10	0	0	0	22	34	16	0	17	0	0	0	0	0	0	0	0	12	0
ASV.245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	123	0	0	0	0	0
ASV.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0
ASV.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0
ASV.251	0	27	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	32	0	0	0	0	0
ASV.253	0	20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	41	27	0	0	0	0
ASV.254	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	90	0	0	0
ASV.256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0
ASV.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0
ASV.258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0
ASV.259	0	0	48	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0
ASV.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0
ASV.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	49	0	0
