SRR13612858	SRR13612859	SRR13612861
ASV.1	36917	30618	27744
ASV.2	2915	3332	3722
ASV.3	3127	3881	2745
ASV.4	2632	2512	2388
ASV.5	909	834	941
ASV.6	287	387	239
ASV.9	192	135	227
ASV.11	190	219	87
ASV.12	122	190	159
ASV.13	84	244	74
ASV.15	0	176	100
ASV.17	79	56	131
ASV.18	0	0	220
ASV.19	73	68	78
ASV.20	0	210	0
ASV.21	51	77	62
ASV.22	31	97	58
ASV.24	48	70	47
ASV.25	0	0	157
ASV.26	65	59	32
ASV.28	0	0	124
ASV.29	20	58	36
ASV.34	36	14	31
ASV.36	32	43	0
ASV.39	21	16	31
ASV.40	23	21	21
ASV.41	61	0	0
ASV.43	22	27	0
ASV.45	0	0	48
ASV.47	0	0	40
ASV.49	0	39	0
ASV.50	11	8	19
ASV.51	0	0	38
ASV.52	0	37	0
ASV.54	10	7	18
ASV.55	0	35	0
ASV.59	0	0	28
ASV.62	7	17	0
ASV.63	0	14	7
ASV.64	0	21	0
ASV.65	14	0	5
ASV.67	0	19	0
ASV.68	5	5	8
ASV.69	5	12	0
ASV.70	17	0	0
ASV.71	0	0	17
ASV.72	0	16	0
ASV.73	0	0	16
ASV.74	0	15	0
ASV.75	0	0	15
ASV.76	0	0	15
ASV.78	0	13	0
ASV.79	0	13	0
ASV.81	0	0	13
ASV.82	2	10	0
ASV.83	12	0	0
ASV.87	0	11	0
ASV.88	0	5	6
ASV.89	0	0	11
ASV.91	4	6	0
ASV.94	0	10	0
ASV.96	0	2	7
ASV.97	0	0	9
ASV.98	0	0	9
ASV.99	0	0	9
ASV.100	0	0	9
ASV.101	0	8	0
ASV.102	0	8	0
ASV.103	0	8	0
ASV.104	0	8	0
ASV.105	0	0	8
ASV.106	2	0	5
ASV.107	7	0	0
ASV.108	7	0	0
ASV.109	0	7	0
ASV.110	0	3	4
ASV.111	6	0	0
ASV.112	6	0	0
ASV.113	6	0	0
ASV.114	0	6	0
ASV.115	0	6	0
ASV.116	0	6	0
ASV.117	0	6	0
ASV.118	0	6	0
ASV.119	0	6	0
ASV.121	0	6	0
ASV.123	5	0	0
ASV.124	5	0	0
ASV.125	5	0	0
ASV.127	5	0	0
ASV.128	0	5	0
ASV.129	0	5	0
ASV.130	0	5	0
ASV.131	0	5	0
ASV.133	0	5	0
ASV.134	0	0	5
ASV.135	0	0	5
ASV.136	0	0	5
ASV.137	0	0	5
ASV.138	4	0	0
ASV.139	4	0	0
ASV.142	4	0	0
ASV.143	0	4	0
ASV.144	0	4	0
ASV.145	0	4	0
ASV.146	0	4	0
ASV.147	0	4	0
ASV.148	0	4	0
ASV.149	0	4	0
ASV.150	0	4	0
ASV.154	0	0	4
ASV.155	0	0	4
ASV.156	0	0	4
ASV.157	0	0	4
ASV.158	0	0	4
ASV.159	0	0	4
ASV.161	3	0	0
ASV.162	3	0	0
ASV.163	3	0	0
ASV.164	3	0	0
ASV.165	3	0	0
ASV.166	3	0	0
ASV.167	3	0	0
ASV.172	0	3	0
ASV.173	0	3	0
ASV.174	0	3	0
ASV.175	0	3	0
ASV.176	0	3	0
ASV.177	0	3	0
ASV.178	0	3	0
ASV.179	0	3	0
ASV.180	0	3	0
ASV.181	0	3	0
ASV.182	0	3	0
ASV.184	0	3	0
ASV.185	0	3	0
ASV.186	0	0	3
ASV.187	0	0	3
ASV.188	0	0	3
ASV.189	0	0	3
ASV.190	0	0	3
ASV.191	0	0	3
ASV.192	0	0	3
ASV.193	2	0	0
ASV.194	2	0	0
ASV.195	2	0	0
ASV.196	2	0	0
ASV.197	2	0	0
ASV.198	2	0	0
ASV.199	2	0	0
ASV.200	2	0	0
ASV.201	2	0	0
ASV.202	2	0	0
ASV.203	2	0	0
ASV.204	2	0	0
ASV.205	0	2	0
ASV.206	0	2	0
ASV.207	0	2	0
ASV.208	0	2	0
ASV.209	0	2	0
ASV.210	0	2	0
ASV.211	0	2	0
ASV.212	0	2	0
ASV.213	0	2	0
ASV.214	0	2	0
ASV.215	0	2	0
ASV.217	0	2	0
ASV.218	0	2	0
ASV.219	0	2	0
ASV.220	0	2	0
ASV.221	0	2	0
ASV.222	0	2	0
ASV.223	0	0	2
ASV.224	0	0	2
ASV.225	0	0	2
ASV.226	0	0	2
ASV.227	0	0	2
ASV.228	0	0	2
ASV.229	0	0	2
ASV.230	0	0	2
ASV.231	0	0	2
ASV.232	0	0	2
ASV.233	0	0	2
ASV.234	0	0	2
ASV.235	0	0	2
ASV.236	0	0	2
ASV.237	0	0	2
ASV.244	0	1	0
ASV.245	0	1	0
