71502	71503	71504	71505	71506	71507	71508	71509	71510	71511	71512	71513	71514	71515	71516	71517	71518	71519	71520	71521	71522	71523	71524	71525	71526	71527	71528	71529	71530	71531	71532	71533	71534	71535	71536	71537	71538	71539	71540	71541	71542	71543	71544
ASV.1	19977	14321	16738	0	10583	0	0	1106	2250	799	1187	178	16445	0	12974	10064	987	9405	2141	0	16598	1529	2261	270	0	1538	0	14443	132	744	19634	0	1781	5745	79	13501	7	16028	16967	14342	7329	1521	436
ASV.2	381	381	3334	5121	3359	5853	4119	10862	6189	11334	6971	881	1102	530	567	789	900	2049	3113	1130	2103	2231	6638	2599	2293	2386	1620	1779	4534	4242	862	4640	3037	5484	4066	1069	2039	2496	542	1888	3314	4250	1085
ASV.3	376	358	1183	33	932	442	429	8376	2162	5534	5149	123	502	40	1513	1063	106	1350	196	31	1463	267	4635	1522	65	53	37	2514	102	0	1717	185	340	7494	644	559	157	2415	1649	2357	5976	3871	428
ASV.4	265	98	167	5822	349	3202	7655	1679	7026	1892	819	860	459	104	139	266	1113	162	2482	727	273	2298	1185	218	1170	565	1552	160	3590	4528	62	2257	2123	579	4667	349	1744	94	72	130	305	680	1169
ASV.5	0	0	0	0	1248	4307	6746	768	4663	25	0	0	0	0	0	0	0	0	0	447	0	8441	3396	0	0	0	0	0	2063	0	61	963	8298	6371	1227	0	0	0	0	124	2309	6597	0
ASV.6	1153	943	2217	31	4	642	1576	2665	0	1524	1000	441	197	0	1687	1304	3091	1220	6	0	75	0	0	75	906	361	0	1657	5240	2622	558	5982	5024	2255	1739	1678	4057	345	286	0	2541	1401	1350
ASV.7	2055	564	3255	0	2528	282	349	838	0	61	0	208	926	2327	4500	722	450	171	3124	0	1346	66	2262	165	2936	500	141	2122	922	811	1076	3984	141	1608	1040	2044	3239	2030	117	2907	5190	403	211
ASV.8	0	0	0	4136	0	2838	1437	0	574	0	0	514	0	5592	0	0	2772	0	1513	766	0	1186	0	0	4811	3886	2545	0	1060	2741	0	1590	2513	0	1555	0	6440	0	0	0	0	0	677
ASV.9	130	0	4	1256	0	2656	2080	40	4682	19	6	553	863	1126	0	0	1115	0	872	326	0	1623	74	6	826	2619	1709	0	1990	1714	0	2087	2191	13	3196	0	2649	0	0	0	0	11	1187
ASV.10	1263	1668	152	0	0	0	0	0	0	2596	0	0	430	0	4017	2101	0	2546	0	0	704	0	0	171	0	0	0	4224	0	0	4902	0	0	1748	0	2090	0	522	2682	1217	1249	249	0
ASV.11	130	257	40	0	0	0	0	8	0	0	0	0	4241	3777	184	237	2285	154	0	0	0	0	0	0	2198	7998	3684	125	0	1353	0	0	0	0	0	1370	4563	1293	118	0	316	0	0
ASV.12	243	1019	25	0	3465	0	0	1307	0	243	274	0	158	0	1933	1521	0	434	0	0	578	0	2188	50	0	0	0	1043	0	0	930	0	0	1462	0	1363	0	141	0	593	3215	2299	0
ASV.13	0	0	0	0	0	0	3753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5215	2448	0	0	0	0	0	0	0	0	0	0	0	3084	0	0	0	0	0	2763	6947	0
ASV.14	0	0	0	0	0	0	0	0	0	0	5047	8508	0	0	0	0	0	0	0	104	0	0	0	7833	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	966
ASV.15	0	0	0	0	0	0	0	0	0	0	5732	5314	0	0	0	0	0	0	0	0	0	0	0	4748	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	4914
ASV.16	0	0	121	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9360	0	0	0	0	0	0	0	0	6596	0	110	11	0	724	153	0	0	0	2386	246	24	0	0
ASV.17	65	90	329	1133	432	462	476	1316	723	2087	1682	85	77	0	0	123	0	234	241	0	308	356	1011	712	118	0	122	224	361	152	115	429	195	592	434	90	0	251	51	217	488	590	169
ASV.18	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	1327	7560	0	10	3986	0	0	0	0	0	1689	0	0	0	0	0	0	0	0	1102	0	0	0	0	0	0	0	0
ASV.19	598	0	0	393	0	2134	78	0	0	80	109	131	682	770	0	22	231	0	1341	0	0	1050	0	31	645	1090	899	56	0	0	0	3011	347	0	178	187	292	0	0	0	0	0	195
ASV.20	11	0	0	1473	0	1213	749	0	425	0	0	256	35	1248	0	0	160	0	913	333	0	1414	0	0	60	60	247	0	363	248	0	1143	918	0	1155	0	225	4	0	0	0	0	419
ASV.21	34	27	35	152	0	415	38	45	0	0	4	8	894	1563	355	434	110	15	0	50	0	0	0	22	276	846	3142	331	3	720	419	194	302	275	10	212	848	17	0	14	662	6	0
ASV.22	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	107	571	53	3423	0	314	0	0	0	0	1513	95	286	2894	807	0	0	0	0	0	76	1481	98	0	0	0	0	0
ASV.23	14	13	249	2617	1324	565	0	0	0	0	0	0	0	13	0	81	263	119	940	309	181	0	0	0	0	0	199	226	102	487	489	1376	241	238	0	0	187	83	11	1082	259	0	0
