SRR13612804	SRR13612805	SRR13612806
ASV.1	21732	17843	20791
ASV.2	4448	11188	15774
ASV.3	3056	877	250
ASV.4	1670	371	456
ASV.8	1800	148	230
ASV.16	580	0	19
ASV.17	469	35	88
ASV.19	539	0	0
ASV.21	482	0	0
ASV.22	414	0	0
ASV.23	194	100	119
ASV.25	265	46	36
ASV.26	242	31	28
ASV.27	298	0	0
ASV.28	287	0	0
ASV.29	280	0	0
ASV.31	191	11	0
ASV.32	0	94	98
ASV.34	150	0	0
ASV.35	142	0	0
ASV.39	109	0	0
ASV.40	0	52	57
ASV.42	0	105	0
ASV.46	98	0	0
ASV.48	86	0	0
ASV.53	0	0	77
ASV.54	72	0	0
ASV.56	64	0	0
ASV.58	21	25	15
ASV.60	34	0	16
ASV.61	0	50	0
ASV.63	44	0	0
ASV.72	0	36	0
ASV.73	34	0	0
ASV.74	0	0	33
ASV.75	32	0	0
ASV.78	0	31	0
ASV.84	26	0	0
ASV.85	0	26	0
ASV.87	0	0	25
ASV.88	24	0	0
ASV.93	21	0	0
ASV.95	0	13	8
ASV.105	15	0	0
ASV.106	15	0	0
ASV.108	14	0	0
ASV.112	0	12	0
ASV.115	0	0	12
ASV.117	0	4	7
ASV.120	0	0	11
ASV.121	10	0	0
ASV.122	0	0	10
ASV.123	9	0	0
ASV.124	9	0	0
ASV.125	9	0	0
ASV.128	9	0	0
ASV.130	8	0	0
ASV.136	0	0	8
ASV.137	0	0	8
ASV.140	7	0	0
ASV.141	7	0	0
ASV.142	7	0	0
ASV.143	7	0	0
ASV.144	7	0	0
ASV.145	7	0	0
ASV.146	7	0	0
ASV.148	0	7	0
ASV.152	6	0	0
ASV.153	6	0	0
ASV.154	6	0	0
ASV.155	6	0	0
ASV.156	6	0	0
ASV.158	0	0	6
ASV.159	0	0	6
ASV.160	5	0	0
ASV.161	5	0	0
ASV.162	5	0	0
ASV.163	5	0	0
ASV.164	5	0	0
ASV.167	0	5	0
ASV.168	0	2	3
ASV.169	0	5	0
ASV.170	0	5	0
ASV.172	4	0	0
ASV.173	4	0	0
ASV.174	4	0	0
ASV.175	4	0	0
ASV.176	4	0	0
ASV.177	4	0	0
ASV.178	4	0	0
ASV.182	4	0	0
ASV.185	0	0	4
ASV.186	0	0	4
ASV.189	3	0	0
ASV.190	3	0	0
ASV.191	3	0	0
ASV.192	3	0	0
ASV.193	3	0	0
ASV.194	3	0	0
ASV.195	3	0	0
ASV.196	3	0	0
ASV.197	3	0	0
ASV.198	3	0	0
ASV.199	3	0	0
ASV.200	3	0	0
ASV.201	3	0	0
ASV.202	3	0	0
ASV.205	3	0	0
ASV.207	0	3	0
ASV.208	0	3	0
ASV.209	0	3	0
ASV.210	0	3	0
ASV.217	0	0	3
ASV.218	0	0	3
ASV.221	2	0	0
ASV.222	2	0	0
ASV.223	2	0	0
ASV.224	2	0	0
ASV.225	2	0	0
ASV.226	2	0	0
ASV.227	2	0	0
ASV.228	2	0	0
ASV.229	2	0	0
ASV.230	2	0	0
ASV.231	2	0	0
ASV.232	2	0	0
ASV.233	2	0	0
ASV.239	0	2	0
ASV.240	0	2	0
ASV.241	0	2	0
ASV.249	0	2	0
ASV.250	0	0	2
ASV.251	0	0	2
ASV.252	0	0	2
ASV.253	0	0	2
ASV.254	0	0	2
ASV.260	1	0	0
