SRR1178345	SRR1178351	SRR1178352	SRR1178353	SRR1178355	SRR1178356	SRR1178357	SRR1178354	SRR1178346	SRR1178358	SRR1178347	SRR1178348	SRR1178349	SRR1178350
ASV.59	0	0	0	0	0	0	0	0	0	0	0	242	0	0
ASV.60	0	0	0	0	0	0	212	0	0	0	0	0	0	28
ASV.61	0	0	237	0	0	0	0	0	0	0	0	0	0	0
ASV.62	0	0	0	0	0	0	0	0	0	0	224	0	0	0
ASV.63	0	0	0	0	0	0	0	0	0	0	0	0	221	0
ASV.64	0	0	0	0	0	0	0	0	0	0	216	0	0	0
ASV.65	0	0	0	33	45	0	0	0	0	0	0	0	134	0
ASV.66	0	0	0	0	0	0	0	0	209	0	0	0	0	0
ASV.67	0	0	0	0	0	0	0	207	0	0	0	0	0	0
ASV.69	11	0	0	8	18	0	0	0	0	0	0	0	167	0
ASV.70	0	0	0	0	24	0	0	0	0	0	0	0	178	0
ASV.71	0	0	0	0	0	0	0	0	0	199	0	0	0	0
ASV.72	0	0	0	0	0	0	0	0	198	0	0	0	0	0
ASV.73	0	0	0	0	0	0	0	0	0	0	0	0	35	162
ASV.74	0	0	0	0	0	0	0	0	196	0	0	0	0	0
ASV.75	0	0	0	0	0	0	0	0	0	196	0	0	0	0
ASV.76	0	0	0	0	0	0	0	0	0	0	137	0	56	0
ASV.77	0	0	0	0	0	0	0	0	192	0	0	0	0	0
ASV.78	0	0	0	0	0	0	186	0	0	0	0	0	0	0
ASV.79	0	0	0	0	0	0	178	0	0	0	0	0	0	0
ASV.80	0	0	0	0	0	0	0	0	0	0	0	0	0	178
ASV.81	0	0	0	0	160	14	0	0	0	0	0	0	0	0
ASV.82	0	0	0	0	0	0	0	0	0	0	0	0	0	174
ASV.83	0	0	171	0	0	0	0	0	0	0	0	0	0	0
ASV.84	0	0	0	0	0	0	0	0	0	0	0	0	6	164
ASV.85	0	0	166	0	0	0	0	0	0	0	0	0	0	0
ASV.86	32	79	0	0	53	0	0	0	0	0	0	0	0	0
ASV.87	0	0	0	0	23	139	0	0	0	0	0	0	0	0
ASV.88	0	0	0	0	0	0	0	0	0	0	0	161	0	0
ASV.89	0	0	0	0	0	0	0	0	0	0	0	0	0	161
ASV.90	0	0	0	0	0	0	0	0	0	159	0	0	0	0
ASV.91	14	0	0	0	142	0	0	0	0	0	0	0	0	0
ASV.92	39	55	0	0	0	0	0	0	0	0	0	0	61	0
ASV.93	0	0	0	0	0	0	152	0	0	0	0	0	0	0
ASV.94	0	0	0	0	0	0	0	0	0	0	152	0	0	0
ASV.95	0	0	0	0	0	0	0	0	0	0	34	0	118	0
ASV.96	48	0	0	0	0	0	0	0	0	0	0	0	103	0
ASV.97	52	0	0	27	0	0	0	0	0	0	0	0	72	0
ASV.98	0	0	0	0	149	0	0	0	0	0	0	0	0	0
ASV.99	0	0	0	0	0	0	148	0	0	0	0	0	0	0
ASV.100	0	0	0	0	0	0	0	0	0	0	0	147	0	0
ASV.102	0	0	0	0	0	145	0	0	0	0	0	0	0	0
ASV.103	0	0	0	0	0	0	145	0	0	0	0	0	0	0
ASV.104	0	0	144	0	0	0	0	0	0	0	0	0	0	0
ASV.105	0	0	0	0	9	0	0	0	0	0	135	0	0	0
ASV.106	0	0	0	0	0	143	0	0	0	0	0	0	0	0
ASV.107	0	0	0	0	0	0	0	0	142	0	0	0	0	0
ASV.108	0	0	0	0	0	0	0	0	0	142	0	0	0	0
ASV.109	0	0	0	0	0	0	0	0	0	0	0	0	142	0
ASV.110	0	0	0	0	0	0	0	0	0	0	0	0	0	141
ASV.111	0	0	0	0	0	0	0	0	0	0	0	0	139	0
ASV.112	0	0	0	0	0	0	0	0	138	0	0	0	0	0
ASV.113	0	0	0	0	0	0	0	0	0	0	134	0	0	0
ASV.114	0	0	0	0	0	0	0	0	0	0	131	0	0	0
ASV.115	0	0	0	0	0	0	0	0	0	0	0	0	130	0
ASV.116	0	0	0	0	127	0	0	0	0	0	0	0	0	0
ASV.117	20	0	0	0	15	0	0	0	0	0	0	0	91	0
ASV.118	0	0	124	0	0	0	0	0	0	0	0	0	0	0
ASV.119	0	0	0	0	0	0	0	0	0	122	0	0	0	0
ASV.120	0	0	0	0	0	0	0	0	0	0	0	0	121	0
ASV.121	0	0	0	3	0	0	0	117	0	0	0	0	0	0
ASV.122	0	0	0	0	0	0	0	0	119	0	0	0	0	0
ASV.123	0	0	0	0	0	0	0	0	0	119	0	0	0	0
ASV.124	0	0	0	0	0	0	0	0	0	0	0	0	118	0
ASV.125	0	0	0	0	0	0	0	0	0	0	0	0	0	118
ASV.126	49	0	0	0	43	0	0	0	0	0	0	0	25	0
ASV.127	0	0	0	0	0	0	0	0	0	0	0	0	117	0
ASV.128	0	0	0	0	0	0	0	0	114	0	0	0	0	0
ASV.129	0	0	0	0	0	0	0	0	0	0	0	0	0	110
ASV.130	5	0	0	0	0	0	0	0	0	104	0	0	0	0
ASV.131	109	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.132	0	0	0	0	0	0	0	0	0	109	0	0	0	0
ASV.133	0	0	108	0	0	0	0	0	0	0	0	0	0	0
ASV.134	0	0	108	0	0	0	0	0	0	0	0	0	0	0
ASV.136	0	0	0	0	107	0	0	0	0	0	0	0	0	0
ASV.138	0	0	0	0	0	0	0	0	105	0	0	0	0	0
ASV.139	0	0	0	0	0	0	0	0	0	0	0	0	0	105
ASV.140	52	0	0	0	0	0	0	0	0	0	0	0	51	0
ASV.141	101	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.142	0	13	0	87	0	0	0	0	0	0	0	0	0	0
