StudyID,SAMPLEID,lat,lon,classification
TianjUni_2017,SRR6834181,9.99343333,84.49403333,open ocean
Shiozaki_2017,KH.14.3.St03.DNA,10,-170,open ocean
Shiozaki_2017,KH.14.3.St03day.cDNA,10,-170,open ocean
TianjUni_2017,SRR6834176,10.00031666,87.9942,open ocean
TianjUni_2017,SRR6834179,10.00031666,87.9943,open ocean
TianjUni_2017,SRR6834178,10.00031666,87.9944,open ocean
Ding_2021,SRR11784099,10.3,115.01,coastal
Ding_2021,SRR11784095,11,110.5,coastal
Ding_2021,SRR11784093,11.01,112,coastal
Ding_2021,SRR11784094,11.92,110.55,coastal
Ding_2021,SRR11784084,11.99,129.99,open ocean
Ding_2021,SRR11784091,12.01,112,coastal
Ding_2021,SRR11784073,12.06,117.51,coastal
Ding_2021,SRR11784089,12.22,115.01,coastal
Ding_2021,SRR11784092,13,110.49,coastal
Ding_2021,SRR11784072,13.19,115.01,coastal
Ding_2021,SRR11784078,13.24,118.01,coastal
TianjUni_2016,SRR11948580,13.50173333,87.9961,open ocean
TianjUni_2016,SRR11948581,13.50173333,87.9961,open ocean
TianjUni_2016,SRR11948584,13.50173333,87.99866666,open ocean
TianjUni_2016,SRR11948585,13.50173333,87.99866666,open ocean
TianjUni_2016,SRR11948578,13.50173333,87.99873333,open ocean
TianjUni_2016,SRR11948579,13.50173333,87.99873333,open ocean
TianjUni_2016,SRR11948586,13.50173333,88.0038,open ocean
TianjUni_2016,SRR11948587,13.50173333,88.0038,open ocean
TianjUni_2016,SRR11948576,13.50173333,88.05745,open ocean
TianjUni_2016,SRR11948577,13.50173333,88.05745,open ocean
Ding_2021,SRR11784074,14.2,118.24,coastal
Ding_2021,SRR11784097,14.24,115.01,coastal
Ding_2021,SRR11784075,14.24,116.11,coastal
Shiozaki_2017,KH.14.3.St04.DNA,15,-170,open ocean
Shiozaki_2017,KH.14.3.St04day.cDNA,15,-170,open ocean
Shiozaki_2017,KH.14.3.St04night.cDNA,15,-170,open ocean
Ding_2021,SRR11784085,15,130,open ocean
TianjUni_2016,SRR11948582,15.00026666,87.99105,open ocean
TianjUni_2016,SRR11948583,15.00026666,87.99105,open ocean
TianjUni_2016,SRR11948588,15.48875,88.00741666,open ocean
TianjUni_2016,SRR11948589,15.48875,88.00741666,open ocean
Ding_2021,SRR11784086,15.99,130.01,open ocean
Ding_2021,SRR11784071,16.15,115.01,coastal
Ding_2021,SRR11784096,16.2,116.04,coastal
Ding_2021,SRR11784098,16.22,118.24,coastal
Hallstrom_2022,SRR15563473,17.5,-25.26,open ocean
Hallstrom_2022,SRR15563475,17.5,-25.26,open ocean
Hallstrom_2022,SRR15563696,17.5,-25.26,open ocean
Hallstrom_2022,SRR15564309,17.5,-25.26,open ocean
Hallstrom_2022,SRR15563470,17.5,-23.03,open ocean
Hallstrom_2022,SRR15563472,17.5,-23.03,open ocean
Hallstrom_2022,SRR15563692,17.5,-23.03,open ocean
Hallstrom_2022,SRR15563464,17.5,-20.8,open ocean
Hallstrom_2022,SRR15563466,17.5,-20.8,open ocean
Hallstrom_2022,SRR15563691,17.5,-20.8,open ocean
Ding_2021,SRR11784083,18,127,open ocean
Ding_2021,SRR11784081,18,129,open ocean
Ding_2021,SRR11784070,18.01,110.76,coastal
Ding_2021,SRR11784100,18.02,113.56,coastal
Ding_2021,SRR11784101,18.19,115.69,coastal
Hallstrom_2022,SRR15563455,18.3,-18.57,open ocean
Hallstrom_2022,SRR15563456,18.3,-18.57,open ocean
Hallstrom_2022,SRR15563459,18.3,-18.57,open ocean
Hallstrom_2022,SRR15564311,19.89,-26,open ocean
Ding_2021,SRR11784088,19.96,115.08,coastal
Shiozaki_2017,KH.14.3.St05.DNA,20,-170,open ocean
Shiozaki_2017,KH.14.3.St05day.cDNA,20,-170,open ocean
Shiozaki_2017,KH.14.3.St05night.cDNA,20,-170,open ocean
Hallstrom_2022,SRR15563481,20.69,-26,open ocean
Hallstrom_2022,SRR15563483,20.69,-26,open ocean
Hallstrom_2022,SRR15563690,20.69,-18.56,coastal
Ding_2021,SRR11784090,20.94,114.54,coastal
Gradoville_2020,Gradoville1.68484,21.31966333,-158.2319267,open ocean
Gradoville_2020,Gradoville2.68485,21.31966333,-158.2319267,open ocean
Gradoville_2020,Gradoville77.68482,21.31966333,-158.2319267,open ocean
Gradoville_2020,Gradoville78.68483,21.31966333,-158.2319267,open ocean
Ding_2021,SRR11784087,21.48,113.28,coastal
NEMO,Turk051.64631,21.684,-158.633,open ocean
NEMO,Turk059.64634,21.684,-158.633,open ocean
Hallstrom_2022,SRR15563489,22.99,-23.49,open ocean
Hallstrom_2022,SRR15563486,23,-25.99,open ocean
Hallstrom_2022,SRR15563683,23,-25.99,open ocean
Hallstrom_2022,SRR15563686,23,-21.82,open ocean
Hallstrom_2022,SRR15563446,23,-19.31,open ocean
Hallstrom_2022,SRR15563499,23,-19.31,open ocean
Hallstrom_2022,SRR15563500,23,-19.31,open ocean
Hallstrom_2022,SRR15563681,23,-19.31,open ocean
Hallstrom_2022,SRR15563688,23,-19.31,open ocean
Hallstrom_2022,SRR15563689,23,-19.31,open ocean
Hallstrom_2022,SRR15563479,23,-16.79,coastal
Hallstrom_2022,SRR15563490,23,-16.79,coastal
Gradoville_2020,Hanna1.63683A,23.297,-158,open ocean
Gradoville_2020,Hanna13.63687A,23.297,-158,open ocean
Gradoville_2020,Hanna14.63688A,23.297,-158,open ocean
Gradoville_2020,Hanna15.63689A,23.297,-158,open ocean
Gradoville_2020,Hanna16.63690A,23.297,-158,open ocean
Gradoville_2020,Hanna17.63693A,23.297,-158,open ocean
Gradoville_2020,Hanna18.63694A,23.297,-158,open ocean
Gradoville_2020,Hanna19.63695A,23.297,-158,open ocean
Gradoville_2020,Hanna2.63684A,23.297,-158,open ocean
Gradoville_2020,Hanna20.63696A,23.297,-158,open ocean
Gradoville_2020,Hanna21.63697A,23.297,-158,open ocean
Gradoville_2020,Hanna22.63698A,23.297,-158,open ocean
Gradoville_2020,Hanna23.63699A,23.297,-158,open ocean
Gradoville_2020,Hanna24.63700A,23.297,-158,open ocean
Gradoville_2020,Hanna25.63703A,23.297,-158,open ocean
Gradoville_2020,Hanna27.63707A,23.297,-158,open ocean
Gradoville_2020,Hanna28.63708A,23.297,-158,open ocean
NEMO,Turk016.62051,23.7673,-151.516,open ocean
NEMO,Turk025.62059,23.7673,-151.516,open ocean
Shiozaki_2017,KH.14.3.St06.DNA,24,-170,open ocean
Shiozaki_2017,KH.14.3.St06day.cDNA,24,-170,open ocean
Shiozaki_2017,KH.14.3.St06night.cDNA,24,-170,open ocean
AK2HI,X71513,24.16368864,-160.2564597,open ocean
AK2HI,X71525,24.16368864,-160.2564597,open ocean
Gradoville_2020,Hanna3.63711A,24.41,-157.6,open ocean
Gradoville_2020,Hanna4.63712A,24.41,-157.6,open ocean
NEMO,Turk034.64519,24.4827,-152.951,open ocean
NEMO,Turk043.64524,24.4827,-152.951,open ocean
NEMO,Turk007.61980,25.3768,-150.989,open ocean
NEMO,Turk066.61972,25.3768,-150.989,open ocean
NEMO,Turk021.64291,25.5403,-139.504,open ocean
NEMO,Turk030.64295,25.5403,-139.504,open ocean
Gradoville_2020,Gradoville10.68505,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville11.68506,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville12.68507,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville13.68508,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville14.68509,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville15.68514,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville16.68515,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville5.68496,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville6.68497,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville7.68502,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville79.68494,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville8.68503,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville80.68495,25.7682965,-158.014165,open ocean
Gradoville_2020,Gradoville9.68504,25.7682965,-158.014165,open ocean
Gradoville_2020,Hanna11.64088A,26.17,-157.599,open ocean
Gradoville_2020,Hanna12.64089A,26.17,-157.599,open ocean
Gradoville_2020,Hanna40.64095A,26.17,-157.599,open ocean
Gradoville_2020,Hanna41.64096A,26.17,-157.599,open ocean
Gradoville_2020,Hanna42.64097A,26.17,-157.599,open ocean
Gradoville_2020,Hanna43.64098A,26.17,-157.599,open ocean
Gradoville_2020,Hanna44.64101A,26.17,-157.599,open ocean
Gradoville_2020,Hanna45.64102A,26.17,-157.599,open ocean
Gradoville_2020,Hanna47.64105A,26.17,-157.599,open ocean
Gradoville_2020,Hanna48.64106A,26.17,-157.599,open ocean
Gradoville_2020,Hanna49.64107A,26.17,-157.599,open ocean
Gradoville_2020,Hanna50.64108A,26.17,-157.599,open ocean
Gradoville_2020,Hanna51.64109A,26.17,-157.599,open ocean
Gradoville_2020,Hanna52.64110A,26.17,-157.599,open ocean
Gradoville_2020,Hanna53.64113A,26.17,-157.599,open ocean
Gradoville_2020,Hanna54.64114A,26.17,-157.599,open ocean
Gradoville_2020,Hanna55.64117A,26.17,-157.599,open ocean
Gradoville_2020,Hanna56.64118A,26.17,-157.599,open ocean
Gradoville_2020,Hanna9.64076A,26.17,-157.599,open ocean
Gradoville_2020,Gradoville3.68490,26.44829,-157.9997783,open ocean
Gradoville_2020,Gradoville4.68491,26.44829,-157.9997783,open ocean
NEMO,Turk039.61091,26.4943,-140.25,open ocean
NEMO,Turk047.61099,26.4943,-140.25,open ocean
NEMO,Turk003.64283,26.5433,-138.514,open ocean
NEMO,Turk012.64287,26.5433,-138.514,open ocean
AK2HI,X71512,26.54386803,-159.5584971,open ocean
Gradoville_2020,Gradoville17.68516,27.214295,-157.9990433,open ocean
Gradoville_2020,Gradoville18.68517,27.214295,-157.9990433,open ocean
NEMO,Turk004.61107,27.2813,-140.382,open ocean
NEMO,Turk013.61115,27.2813,-140.382,open ocean
NEMO,Turk054.64160,27.8395,-137.17,open ocean
NEMO,Turk062.64275,27.8395,-137.17,open ocean
Gradoville_2020,Gradoville19.68518,27.84461333,-158.001395,open ocean
Gradoville_2020,Gradoville20.68519,27.84461333,-158.001395,open ocean
Gradoville_2020,Hanna30.63738A,28.141,-158,open ocean
Gradoville_2020,Hanna31.63741A,28.141,-158,open ocean
Gradoville_2020,Hanna32.63743A,28.141,-158,open ocean
Gradoville_2020,Hanna33.63744A,28.141,-158,open ocean
Gradoville_2020,Hanna34.63745A,28.141,-158,open ocean
Gradoville_2020,Hanna35.63746A,28.141,-158,open ocean
Gradoville_2020,Hanna36.63749A,28.141,-158,open ocean
Gradoville_2020,Hanna37.63750A,28.141,-158,open ocean
Gradoville_2020,Hanna38.63753A,28.141,-158,open ocean
Gradoville_2020,Hanna39.63754A,28.141,-158,open ocean
Gradoville_2020,Hanna5.63727A,28.141,-158,open ocean
Gradoville_2020,Hanna6.63728A,28.141,-158,open ocean
Turk_2021,SRR13612837,28.29,-115.91,coastal
Turk_2021,SRR13612838,28.29,-115.91,coastal
Turk_2021,SRR13612840,28.29,-115.91,coastal
Turk_2021,SRR13612903,28.29,-115.91,coastal
Turk_2021,SRR13612904,28.29,-115.91,coastal
Turk_2021,SRR13612905,28.29,-115.91,coastal
Turk_2021,SRR13612906,28.29,-115.91,coastal
Gradoville_2020,Gradoville21.68524,28.47083333,-157.9978333,open ocean
Gradoville_2020,Gradoville22.68525,28.47083333,-157.9978333,open ocean
Gradoville_2020,Gradoville81.68522,28.47083333,-157.9978333,open ocean
Gradoville_2020,Gradoville82.68523,28.47083333,-157.9978333,open ocean
NEMO,Turk022.61155,28.4988,-140.616,open ocean
NEMO,Turk031.61159,28.4988,-140.616,open ocean
NEMO,Turk040.61167,28.4988,-140.616,open ocean
NEMO,Turk050.61868,28.5653,-150.376,open ocean
NEMO,Turk058.61876,28.5653,-150.376,open ocean
Turk_2021,SRR13612846,28.63,-115.26,coastal
Turk_2021,SRR13612847,28.63,-115.26,coastal
Turk_2021,SRR13612848,28.63,-115.26,coastal
Turk_2021,SRR13612789,28.8,-114.93,coastal
Turk_2021,SRR13612790,28.8,-114.93,coastal
Turk_2021,SRR13612791,28.8,-114.93,coastal
NEMO,Turk032.61380,28.8133,-143.218,open ocean
NEMO,Turk041.61388,28.8133,-143.218,open ocean
NEMO,Turk005.61293,28.817,-141.583,open ocean
NEMO,Turk014.61297,28.817,-141.583,open ocean
NEMO,Turk023.61301,28.817,-141.583,open ocean
NEMO,Turk049.61424,28.8472,-145.336,open ocean
NEMO,Turk057.61432,28.8472,-145.336,open ocean
NEMO,Turk048.61197,29.217,-140.716,open ocean
NEMO,Turk056.61198,29.217,-140.716,open ocean
NEMO,Turk064.61199,29.217,-140.716,open ocean
Gradoville_2020,Gradoville23.68530,29.228145,-157.999715,open ocean
Gradoville_2020,Gradoville24.68531,29.228145,-157.999715,open ocean
Gradoville_2020,Hanna29.63737A,29.27,-157.59,open ocean
Gradoville_2020,Hanna8.63758A,29.27,-157.59,open ocean
Gradoville_2020,Hanna10.64077A,29.42,-158,open ocean
Gradoville_2020,Hanna7.63757A,29.42,-158,open ocean
NEMO,Turk006.61492,29.5112,-147.451,open ocean
NEMO,Turk065.61484,29.5112,-147.451,open ocean
Gradoville_2020,Gradoville110.68913,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville111.68914,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville112.68925,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville113.68926,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville114.68927,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville115.68928,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville116.68929,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville117.68930,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville118.68935,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville119.68936,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville120.68937,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville121.68938,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville87.68911,29.58205,-158.0019667,open ocean
Gradoville_2020,Gradoville88.68912,29.58205,-158.0019667,open ocean
Turk_2021,SRR13612798,29.69,-117.07,coastal
Turk_2021,SRR13612799,29.69,-117.07,coastal
Turk_2021,SRR13612800,29.69,-117.07,coastal
NEMO,Turk033.61837,29.9138,-150.278,open ocean
NEMO,Turk042.61845,29.9138,-150.278,open ocean
Shiozaki_2017,KH.14.3.St07.DNA,30,-170,open ocean
Shiozaki_2017,KH.14.3.St07day.cDNA,30,-170,open ocean
Shiozaki_2017,KH.14.3.St07night.cDNA,30,-170,open ocean
Gradoville_2020,Gradoville25.68535,30.02042333,-157.9995867,open ocean
Gradoville_2020,Gradoville26.68536,30.02042333,-157.9995867,open ocean
Turk_2021,SRR13612804,30.03,-117.03,coastal
Turk_2021,SRR13612805,30.03,-117.03,coastal
Turk_2021,SRR13612806,30.03,-117.03,coastal
AK2HI,X71544,30.27350358,-158.7996026,open ocean
NEMO,Turk015.61600,30.3282,-150.24,open ocean
NEMO,Turk024.61604,30.3282,-150.24,open ocean
Turk_2021,SRR13612812,30.36,-116.36,coastal
Turk_2021,SRR13612813,30.36,-116.36,coastal
Turk_2021,SRR13612814,30.36,-116.36,coastal
Turk_2021,SRR13612912,30.36,-116.36,coastal
Turk_2021,SRR13612913,30.36,-116.36,coastal
Turk_2021,SRR13612914,30.36,-116.36,coastal
Turk_2021,SRR13612915,30.36,-116.36,coastal
Gradoville_2020,Gradoville27.68537,30.92716833,-158.0026367,open ocean
Gradoville_2020,Gradoville28.68538,30.92716833,-158.0026367,open ocean
Turk_2021,SRR13612858,31.52,-120.25,open ocean
Turk_2021,SRR13612859,31.52,-120.25,open ocean
Turk_2021,SRR13612861,31.52,-120.25,open ocean
Turk_2021,SRR13612850,31.7,-119.41,coastal
Turk_2021,SRR13612851,31.7,-119.41,coastal
Turk_2021,SRR13612852,31.7,-119.41,coastal
Turk_2021,SRR13612853,31.7,-119.41,open ocean
Turk_2021,SRR13612865,31.85,-119.57,coastal
Turk_2021,SRR13612866,31.85,-119.57,coastal
Turk_2021,SRR13612867,31.85,-119.57,open ocean
Gradoville_2020,Gradoville100.68895,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville101.68896,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville102.68897,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville103.68898,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville104.68899,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville105.68900,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville106.68901,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville107.68902,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville108.68907,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville109.68908,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville85.68893,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville86.68894,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville98.68885,32.00007833,-157.9999417,open ocean
Gradoville_2020,Gradoville99.68886,32.00007833,-157.9999417,open ocean
Turk_2021,SRR13612873,32.18,-118.89,coastal
Turk_2021,SRR13612874,32.18,-118.89,coastal
