Station,Longitude,Latitude,Ldepth,Depth,Temperature,Salinity,Nitrogen fixation [nmol N L-1 d-1],Nitrate [nmol L-1],Phosphate [nmol L-1],Nitrate/Phosphate ratio,GammaP [log10(copies/L)],Trichodesmium [log10(copies/L)],RR [log10(copies/L)],HR [log10(copies/L)],UCYN-B [log10(copies/L)],UCYN-A [log10(copies/L)],UCYN-A2 [log10(copies/L)],UCYN-C [log10(copies/L)]
12,190,55,1%,31,5.8,32.95,n.d.,22200,1850,12.03,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
12,190,55,0.10%,60,4.6,33.06,n.d.,27600,2040,13.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
13,189.3333333,60,100%,0,10,30.44,2.84,<3,273,0.01,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
13,189.3333333,60,25%,8,9.7,30.45,n.d.,<3,279,0.01,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
13,189.3333333,60,10%,14,9.4,30.43,n.d.,101,354,0.28,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
13,189.3333333,60,1%,29,-0.3,31.09,n.d.,2480,1020,2.43,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
13,189.3333333,60,0.10%,46,-0.3,31.11,n.d.,2600,1010,2.56,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
14,192,64.25,100%,0,10.3,31.16,2.27,5,147,0.03,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5.1,n.d.
14,192,64.25,25%,9,8.1,31.16,n.d.,273,360,0.76,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.8,n.d.
14,192,64.25,10%,13,6.7,31.35,n.d.,494,535,0.92,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3,n.d.
14,192,64.25,1%,20,4,31.7,n.d.,383,791,0.48,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.8,n.d.
14,192,64.25,0.10%,30,2.4,31.91,n.d.,365,826,0.44,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.3,n.d.
15,192,68,100%,0,5.6,32.34,n.d.,211,577,0.37,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
15,192,68,10%,18,2.7,32.5,n.d.,6340,1370,4.64,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
15,192,68,1%,27,2.6,32.54,n.d.,6810,1500,4.53,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
15,192,68,0.10%,35,2.6,32.55,n.d.,6780,1500,4.52,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
