asvLen	totReads	numSamps
ASV.1	325	75611	3
ASV.2	325	30133	3
ASV.15	328	720	3
ASV.16	328	700	3
ASV.17	325	603	3
ASV.19	328	481	3
ASV.20	328	430	1
ASV.23	199	253	2
ASV.27	199	176	2
ASV.28	322	157	3
ASV.30	328	132	1
ASV.34	199	94	1
ASV.37	328	87	1
ASV.38	262	86	2
ASV.40	322	79	2
ASV.41	322	78	2
ASV.42	262	69	2
ASV.43	262	68	3
ASV.49	322	58	2
ASV.56	262	45	1
ASV.60	255	40	3
ASV.71	262	27	2
ASV.73	348	25	2
ASV.74	325	23	2
ASV.75	322	22	1
ASV.80	328	19	1
ASV.81	199	19	1
ASV.83	328	16	1
ASV.84	348	15	2
ASV.94	251	11	1
ASV.95	325	11	1
ASV.100	282	9	1
ASV.102	256	8	1
ASV.103	258	8	2
ASV.107	214	8	1
ASV.108	215	8	2
ASV.109	282	8	1
ASV.111	256	7	1
ASV.112	229	7	1
ASV.113	322	6	1
ASV.116	274	6	1
ASV.117	214	5	1
ASV.120	276	5	1
ASV.124	269	5	1
ASV.125	321	5	1
ASV.126	353	5	1
ASV.127	273	4	1
ASV.130	327	4	1
ASV.131	222	4	1
ASV.132	273	4	1
ASV.133	339	4	1
ASV.138	200	4	1
ASV.139	195	4	1
ASV.140	360	3	1
ASV.141	298	3	1
ASV.147	205	3	1
ASV.148	211	3	1
ASV.149	219	3	1
ASV.154	196	2	1
ASV.155	283	2	1
ASV.156	261	2	1
ASV.157	229	2	1
ASV.158	256	2	1
ASV.159	259	2	1
ASV.162	299	2	1
ASV.163	283	2	1
ASV.164	286	2	1
ASV.165	242	2	1
ASV.166	230	2	1
