studyID,study_ocean
AK2HI,Pacific
NEMO,Pacific
Harding_2018,Arctic
TurkKubo_2021,Pacific
Gradoville_2020_G1,Pacific
Gradoville_2020_G2,Pacific
Shiozaki_2017,Pacific
Shiozaki_2018LNO,Arctic
Shiozaki_2020,Southern
Shiozaki_2018GBC,Pacific
BentzonTilia_2015,Atlantic
Sato_2021,Pacific
Selden_2021,Atlantic
Mulholland_2018,Atlantic
Wu_2021,Indian
Wu_2019,Indian
Hallstrom_2021,Atlantic
Hallstrom_2022,Atlantic
Raes_2020,Pacific
Tang_2020,Atlantic
Ding_2021,Pacific
