asvLen	totReads	numSamps
ASV.248	328	7799	37
ASV.249	328	7790	40
ASV.250	328	7782	31
ASV.251	328	7778	17
ASV.252	328	7756	34
ASV.253	328	7680	13
ASV.254	328	7592	49
ASV.255	328	7581	64
ASV.256	328	7570	2
ASV.257	328	7466	31
ASV.258	328	7431	38
ASV.259	328	7381	4
ASV.260	328	7223	25
ASV.261	327	7213	33
ASV.262	328	7207	34
ASV.263	328	7198	13
ASV.264	328	7107	18
ASV.265	328	7088	42
ASV.266	328	7026	48
ASV.267	327	7018	24
ASV.268	327	6941	27
ASV.269	328	6926	4
ASV.270	328	6883	46
ASV.271	328	6801	3
ASV.272	328	6790	76
ASV.273	328	6732	10
ASV.274	328	6716	3
ASV.275	328	6700	2
ASV.276	328	6669	47
ASV.277	328	6668	18
ASV.278	328	6645	21
ASV.279	328	6615	34
ASV.280	295	6537	77
ASV.281	324	6443	29
ASV.282	328	6409	67
ASV.283	328	6407	37
ASV.284	328	6405	53
ASV.285	328	6388	29
ASV.286	328	6377	14
ASV.287	328	6371	25
ASV.288	328	6340	55
ASV.289	328	6339	24
ASV.290	328	6331	6
ASV.291	328	6322	15
ASV.292	328	6315	41
ASV.293	328	6226	2
ASV.294	328	6219	24
ASV.295	328	6202	71
ASV.296	328	6172	6
ASV.297	328	6156	28
ASV.298	328	6133	28
ASV.299	328	6133	38
ASV.300	325	6028	34
ASV.301	328	6024	23
ASV.302	328	5947	66
ASV.303	328	5915	30
ASV.304	327	5880	25
ASV.305	328	5875	28
ASV.306	328	5675	43
ASV.307	328	5670	16
ASV.308	295	5643	72
ASV.309	328	5621	4
ASV.310	328	5559	33
ASV.311	328	5544	37
ASV.312	328	5543	52
ASV.313	328	5462	38
ASV.314	328	5419	26
ASV.315	328	5419	24
ASV.316	328	5341	34
ASV.317	328	5332	16
ASV.318	328	5320	1
ASV.319	328	5303	34
ASV.320	328	5274	11
ASV.321	328	5263	37
ASV.322	328	5252	35
ASV.323	328	5243	12
ASV.324	328	5226	7
ASV.325	328	5222	30
ASV.326	328	5190	5
ASV.327	328	5190	4
ASV.328	328	5188	14
ASV.329	328	5176	36
ASV.330	328	5150	15
ASV.332	328	5135	13
ASV.333	328	5096	65
ASV.334	328	5092	12
ASV.335	328	5027	3
ASV.336	328	5009	19
ASV.337	328	4960	14
ASV.338	328	4931	40
ASV.339	328	4906	39
ASV.340	328	4856	43
ASV.341	328	4836	40
ASV.342	327	4798	29
ASV.343	328	4786	16
ASV.344	328	4757	26
ASV.345	328	4753	48
ASV.346	328	4753	11
ASV.347	328	4748	6
ASV.348	328	4744	35
ASV.349	325	4740	40
ASV.350	328	4734	40
ASV.351	328	4707	9
ASV.352	328	4696	6
ASV.353	328	4676	4
ASV.354	328	4653	32
ASV.355	295	4644	69
ASV.356	327	4643	27
ASV.357	328	4634	16
ASV.358	328	4628	2
ASV.359	328	4620	38
ASV.360	328	4611	4
ASV.361	328	4594	41
ASV.362	328	4580	36
ASV.363	328	4576	2
ASV.364	328	4573	33
ASV.365	328	4566	2
ASV.366	295	4564	71
ASV.367	328	4559	2
ASV.368	328	4557	35
