SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.101	0	0	0	0	0	0	222	246	0	0	0	0	0	0
ASV.102	0	0	0	0	0	0	0	124	0	344	0	0	0	0
ASV.105	0	0	0	91	0	0	0	0	0	0	0	353	0	0
ASV.106	0	0	0	0	0	0	0	0	0	444	0	0	0	0
ASV.108	0	0	0	0	0	434	0	0	0	0	0	0	0	0
ASV.109	0	0	0	0	0	0	0	0	0	0	0	0	0	434
ASV.110	0	0	0	401	0	0	0	0	0	0	0	21	0	0
ASV.111	0	0	0	0	0	0	0	0	0	0	0	0	0	422
ASV.112	0	0	0	0	0	0	0	0	0	388	0	0	0	0
ASV.113	0	0	0	0	0	0	0	385	0	0	0	0	0	0
ASV.114	0	0	0	0	0	0	0	0	0	379	0	0	0	0
ASV.115	0	0	0	370	0	4	0	0	0	0	0	0	0	0
ASV.117	0	0	0	0	0	365	0	0	0	0	0	0	0	0
ASV.118	0	0	0	0	0	0	0	363	0	0	0	0	0	0
ASV.119	32	0	0	0	0	0	0	0	281	0	48	0	0	0
ASV.120	0	0	0	0	0	361	0	0	0	0	0	0	0	0
ASV.121	0	0	0	45	0	311	0	0	0	0	0	0	0	0
ASV.122	0	0	0	0	0	199	0	0	0	0	0	0	0	154
ASV.123	0	0	0	0	0	0	0	337	0	0	0	0	0	0
ASV.124	0	0	0	0	0	0	0	337	0	0	0	0	0	0
ASV.125	0	0	0	0	0	0	0	0	0	330	0	0	0	0
ASV.127	321	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.128	0	0	0	321	0	0	0	0	0	0	0	0	0	0
ASV.129	67	13	0	6	0	0	0	0	187	8	33	5	0	0
ASV.130	0	0	0	0	0	197	0	0	0	0	0	0	0	118
ASV.131	0	0	146	0	0	0	116	0	0	0	0	0	51	0
ASV.132	0	0	0	0	0	60	0	0	0	0	0	0	0	253
ASV.133	0	0	0	0	0	274	0	16	0	0	0	0	0	23
ASV.134	0	0	0	0	0	0	0	306	0	0	0	0	0	0
ASV.135	0	0	0	0	0	303	0	0	0	0	0	0	0	0
ASV.136	0	0	0	0	0	0	0	44	0	0	0	253	0	0
ASV.137	0	0	0	0	0	0	0	294	0	0	0	0	0	0
ASV.138	0	290	0	0	0	0	0	0	0	0	0	0	0	0
ASV.139	0	0	0	0	0	0	0	0	0	289	0	0	0	0
ASV.141	0	0	0	0	0	271	0	17	0	0	0	0	0	0
ASV.142	0	0	0	0	0	0	0	280	0	0	0	0	0	0
ASV.143	0	0	0	0	0	279	0	0	0	0	0	0	0	0
ASV.144	0	0	0	0	0	279	0	0	0	0	0	0	0	0
ASV.146	0	0	0	0	0	0	0	111	0	157	0	0	0	0
ASV.147	0	0	0	137	0	0	0	0	0	0	0	0	0	127
ASV.148	0	0	0	0	0	63	0	0	0	0	0	0	0	200
ASV.149	0	0	0	0	0	0	0	0	0	260	0	0	0	0
ASV.150	0	0	0	0	0	0	0	0	0	0	0	0	0	259
ASV.151	139	0	0	0	0	0	0	0	85	0	34	0	0	0
ASV.152	0	0	0	221	0	0	0	37	0	0	0	0	0	0
ASV.153	0	0	0	202	0	18	0	12	0	0	0	25	0	0
ASV.154	0	0	0	0	0	0	0	0	0	255	0	0	0	0
ASV.155	0	0	0	0	0	21	0	47	0	0	0	182	0	0
ASV.156	0	248	0	0	0	0	0	0	0	0	0	0	0	0
ASV.157	0	0	0	182	0	36	0	29	0	0	0	0	0	0
ASV.158	0	244	0	0	0	0	0	0	0	0	0	0	0	0
ASV.159	0	0	0	0	0	0	0	244	0	0	0	0	0	0
ASV.161	0	0	0	0	0	0	0	0	0	243	0	0	0	0
ASV.162	0	0	0	0	0	0	0	0	0	0	0	0	0	242
ASV.163	12	116	0	26	0	0	0	0	65	21	0	0	0	0
ASV.165	0	0	0	0	0	239	0	0	0	0	0	0	0	0
ASV.167	0	0	0	118	0	40	0	80	0	0	0	0	0	0
ASV.168	0	0	0	0	0	0	0	0	0	238	0	0	0	0
ASV.170	0	0	0	0	0	0	0	0	0	0	0	0	0	236
ASV.172	0	0	0	0	0	235	0	0	0	0	0	0	0	0
ASV.174	0	0	0	0	0	234	0	0	0	0	0	0	0	0
ASV.176	0	0	0	0	0	0	0	0	0	0	0	0	0	231
ASV.177	0	0	0	0	0	0	0	0	0	230	0	0	0	0
ASV.178	0	0	0	0	0	0	0	0	0	230	0	0	0	0
ASV.184	0	0	0	0	0	0	0	0	0	0	0	0	0	220
ASV.185	0	0	0	0	0	0	0	219	0	0	0	0	0	0
ASV.187	0	0	0	0	0	0	0	0	0	217	0	0	0	0
ASV.188	0	0	0	0	0	0	0	0	0	0	0	0	0	213
ASV.189	0	0	0	0	0	24	0	0	0	187	0	0	0	0
ASV.190	0	0	0	0	0	0	0	0	0	0	0	208	0	0
ASV.193	0	0	0	0	0	0	0	0	0	0	0	0	0	203
ASV.194	0	0	0	0	0	202	0	0	0	0	0	0	0	0
ASV.195	100	0	0	0	0	0	0	0	96	0	0	0	0	0
ASV.196	0	0	0	0	0	196	0	0	0	0	0	0	0	0
ASV.197	0	0	0	0	0	195	0	0	0	0	0	0	0	0
ASV.198	0	0	0	194	0	0	0	0	0	0	0	0	0	0
ASV.199	0	0	0	0	0	193	0	0	0	0	0	0	0	0
ASV.201	0	0	0	0	0	0	0	0	0	0	0	0	0	192
ASV.203	0	0	0	0	0	0	0	190	0	0	0	0	0	0
ASV.205	0	0	0	0	0	186	0	0	0	0	0	0	0	0
ASV.207	0	0	0	128	0	26	0	28	0	0	0	0	0	0
ASV.210	0	0	0	0	0	0	0	0	0	0	0	0	0	177
ASV.213	0	0	0	0	159	0	0	0	0	0	15	0	0	0
ASV.214	0	0	0	0	0	0	0	173	0	0	0	0	0	0
ASV.215	0	0	0	0	0	0	0	172	0	0	0	0	0	0
ASV.216	0	0	0	0	0	71	0	0	0	0	0	0	0	99
ASV.217	0	0	0	0	0	0	0	0	0	170	0	0	0	0
ASV.219	0	0	0	0	0	0	0	0	168	0	0	0	0	0
ASV.221	0	0	0	0	0	21	0	0	0	0	140	0	0	6
ASV.223	0	0	0	0	0	166	0	0	0	0	0	0	0	0
ASV.225	0	0	0	0	0	162	0	0	0	0	0	0	0	0
ASV.227	0	0	0	151	0	0	0	0	0	7	0	0	0	0
ASV.228	0	0	0	157	0	0	0	0	0	0	0	0	0	0
ASV.231	0	0	0	0	0	20	0	0	0	0	0	125	0	11
ASV.232	0	0	0	0	0	37	0	0	0	116	0	0	0	0
ASV.233	0	0	0	0	0	0	0	0	0	0	0	0	0	153
ASV.236	0	0	0	0	0	0	0	152	0	0	0	0	0	0
ASV.237	0	0	0	0	0	151	0	0	0	0	0	0	0	0
ASV.238	0	0	0	0	0	0	0	151	0	0	0	0	0	0
ASV.239	0	0	0	0	0	150	0	0	0	0	0	0	0	0
ASV.240	0	0	0	0	0	150	0	0	0	0	0	0	0	0
ASV.241	0	0	0	0	0	147	0	0	0	0	0	0	0	0
ASV.243	0	0	0	0	0	145	0	0	0	0	0	0	0	0
ASV.244	0	0	0	0	0	0	0	0	0	145	0	0	0	0
ASV.245	0	0	0	0	0	0	0	144	0	0	0	0	0	0
ASV.247	0	0	0	0	0	0	0	143	0	0	0	0	0	0
ASV.250	0	0	0	142	0	0	0	0	0	0	0	0	0	0
ASV.257	0	0	0	0	0	136	0	0	0	0	0	0	0	0
ASV.258	0	0	0	0	0	136	0	0	0	0	0	0	0	0
ASV.259	0	0	0	0	0	0	0	0	0	0	0	0	0	136
ASV.261	0	0	0	0	0	0	0	0	0	0	0	0	0	132
ASV.264	0	0	0	0	0	0	0	131	0	0	0	0	0	0
ASV.265	0	0	0	0	0	0	0	0	0	131	0	0	0	0
ASV.267	0	0	0	0	0	0	0	0	0	130	0	0	0	0
ASV.271	0	0	0	0	0	128	0	0	0	0	0	0	0	0
ASV.273	0	0	0	0	0	0	128	0	0	0	0	0	0	0
ASV.274	0	0	0	0	0	0	0	0	0	0	0	0	0	127
ASV.275	0	0	0	0	0	126	0	0	0	0	0	0	0	0
ASV.277	0	0	0	0	0	0	0	125	0	0	0	0	0	0
ASV.278	0	49	7	9	17	0	37	0	0	0	0	0	0	5
ASV.280	0	0	0	0	0	6	0	0	0	118	0	0	0	0
ASV.281	54	0	0	0	0	0	0	0	69	0	0	0	0	0
ASV.283	0	0	0	0	0	0	0	74	0	0	0	0	0	49
ASV.284	0	0	0	122	0	0	0	0	0	0	0	0	0	0
ASV.286	0	0	0	0	0	53	0	0	0	68	0	0	0	0
ASV.291	0	0	0	0	0	0	0	0	0	0	0	0	0	120
ASV.293	0	0	0	0	0	0	0	119	0	0	0	0	0	0
ASV.294	0	0	0	0	0	118	0	0	0	0	0	0	0	0
ASV.295	0	0	0	0	0	6	0	0	0	0	0	0	0	111
ASV.297	0	0	0	0	0	45	0	0	0	0	0	0	0	71
ASV.298	0	115	0	0	0	0	0	0	0	0	0	0	0	0
ASV.301	0	0	0	0	0	114	0	0	0	0	0	0	0	0
ASV.302	0	0	0	0	0	0	0	0	0	114	0	0	0	0
ASV.305	0	0	0	0	0	15	0	0	0	0	0	0	0	96
ASV.306	0	0	0	0	0	0	0	111	0	0	0	0	0	0
ASV.307	0	0	0	0	0	57	11	0	0	42	0	0	0	0
ASV.308	0	0	0	0	0	0	39	43	0	27	0	0	0	0
