asvLen	totReads	numSamps
ASV.377	328	84	3
ASV.378	364	84	2
ASV.382	325	83	1
ASV.384	328	83	1
ASV.387	325	82	1
ASV.396	322	79	1
ASV.399	328	78	1
ASV.401	328	78	1
ASV.402	328	78	1
ASV.403	328	78	1
ASV.404	325	78	1
ASV.407	325	77	1
ASV.410	328	76	2
ASV.413	328	75	1
ASV.414	328	75	2
ASV.415	328	75	1
ASV.416	322	75	1
ASV.419	328	74	2
ASV.420	328	74	1
ASV.423	328	73	1
ASV.424	328	73	1
ASV.427	325	73	1
ASV.431	325	71	1
ASV.433	325	70	3
ASV.434	328	70	1
ASV.435	328	70	1
ASV.436	328	70	1
ASV.437	328	70	1
ASV.439	295	69	2
ASV.440	328	69	1
ASV.445	325	69	1
ASV.448	328	68	1
ASV.452	325	67	1
ASV.453	328	67	1
ASV.456	325	66	1
ASV.457	325	66	1
ASV.458	325	66	1
ASV.459	328	66	1
ASV.460	328	65	1
ASV.461	328	65	1
ASV.462	328	65	1
ASV.463	325	65	1
ASV.465	325	65	1
ASV.466	328	65	1
ASV.467	325	65	1
ASV.472	325	63	1
ASV.474	325	63	1
ASV.476	322	63	1
ASV.477	328	63	1
ASV.485	325	62	2
ASV.486	288	61	2
ASV.489	328	61	2
ASV.491	328	61	1
ASV.493	368	60	3
ASV.494	325	60	1
ASV.495	328	60	1
ASV.497	322	60	1
ASV.499	328	60	1
ASV.500	328	59	1
ASV.501	325	59	1
ASV.502	322	59	1
ASV.506	343	58	2
ASV.507	360	58	1
ASV.508	256	58	3
ASV.515	325	58	1
ASV.516	322	58	2
ASV.517	325	58	1
ASV.522	328	57	1
ASV.524	364	57	1
ASV.526	325	56	1
ASV.528	325	56	1
ASV.530	328	55	1
ASV.531	328	55	1
ASV.538	325	54	1
ASV.539	325	53	2
ASV.542	328	53	1
ASV.543	325	53	1
ASV.547	328	52	1
ASV.549	337	52	2
ASV.552	328	52	1
ASV.553	325	52	1
ASV.554	328	52	1
ASV.555	328	52	1
ASV.556	325	52	1
ASV.557	328	52	1
ASV.558	328	52	1
ASV.566	328	51	1
ASV.570	325	51	1
ASV.571	328	51	1
ASV.578	325	50	1
ASV.579	322	50	1
ASV.581	328	50	1
ASV.583	322	50	1
ASV.586	322	50	1
ASV.591	328	49	1
ASV.593	328	49	1
ASV.600	325	49	1
ASV.604	325	49	1
ASV.606	217	48	3
ASV.610	328	48	1
ASV.612	328	48	1
ASV.615	328	48	1
ASV.620	325	47	2
ASV.622	328	47	1
ASV.624	325	47	1
ASV.625	328	47	1
ASV.627	325	47	1
ASV.628	325	47	1
ASV.631	332	46	3
ASV.635	294	45	2
ASV.636	295	45	2
ASV.638	364	45	1
ASV.639	325	45	2
ASV.644	328	44	1
ASV.646	328	44	1
ASV.649	328	44	1
ASV.650	328	44	1
ASV.652	328	44	1
ASV.653	286	43	2
ASV.655	325	43	1
ASV.657	364	43	1
ASV.659	325	43	1
ASV.660	325	43	1
ASV.661	328	43	1
ASV.663	325	42	2
ASV.665	328	42	1
ASV.666	245	42	1
ASV.669	328	41	2
ASV.670	328	41	1
ASV.675	328	40	3
ASV.676	328	40	1
ASV.677	328	40	1
ASV.678	325	40	1
ASV.680	325	40	2
ASV.681	328	40	1
ASV.685	325	40	1
ASV.688	325	40	1
ASV.691	328	39	1
ASV.702	328	38	2
ASV.704	328	38	1
ASV.707	325	38	1
ASV.713	364	38	1
ASV.715	280	37	3
ASV.717	328	37	2
ASV.719	328	37	1
ASV.720	325	37	1
ASV.721	319	37	1
ASV.722	325	37	1
ASV.727	328	36	1
ASV.728	325	36	2
ASV.729	364	36	1
ASV.730	328	36	1
ASV.734	331	36	1
ASV.741	325	35	1
ASV.742	325	35	1
