asvLen	totReads	numSamps
ASV.453	328	183	1
ASV.456	328	182	1
ASV.463	328	180	1
ASV.465	328	179	1
ASV.466	328	179	1
ASV.473	328	176	1
ASV.475	328	175	1
ASV.476	328	175	1
ASV.477	328	174	1
ASV.486	328	170	1
ASV.487	328	169	1
ASV.488	328	169	3
ASV.489	328	168	1
ASV.490	328	168	1
ASV.492	328	167	1
ASV.495	328	163	2
ASV.497	328	162	1
ASV.501	328	160	1
ASV.505	328	159	1
ASV.506	328	159	1
ASV.508	328	158	1
ASV.509	328	158	1
ASV.512	328	157	1
ASV.513	328	157	1
ASV.518	328	155	2
ASV.527	328	153	1
ASV.532	328	151	1
ASV.539	328	147	1
ASV.541	328	146	1
ASV.545	328	145	1
ASV.546	328	144	1
ASV.547	328	144	1
ASV.552	328	142	2
ASV.554	328	142	2
ASV.560	319	141	1
ASV.572	328	137	1
ASV.574	328	136	1
ASV.576	328	135	1
ASV.579	328	135	1
ASV.580	328	135	1
ASV.582	328	135	1
ASV.584	328	135	1
ASV.585	328	135	1
ASV.590	328	134	1
ASV.591	328	134	1
ASV.599	328	131	1
ASV.600	328	131	1
ASV.601	328	130	1
ASV.605	328	129	4
ASV.606	328	129	1
ASV.610	328	129	2
ASV.615	328	128	1
ASV.619	328	127	1
ASV.627	328	125	1
ASV.632	328	123	1
ASV.643	328	122	1
ASV.648	328	121	1
ASV.651	328	120	1
ASV.652	328	119	1
ASV.655	328	119	1
ASV.657	328	119	1
ASV.666	328	118	1
ASV.668	328	117	1
ASV.672	328	116	1
ASV.681	328	115	1
ASV.684	328	114	1
ASV.690	328	113	2
ASV.694	328	112	1
ASV.698	328	111	1
ASV.705	328	110	1
ASV.710	328	108	1
ASV.712	328	108	1
ASV.716	328	106	1
ASV.723	328	104	1
ASV.724	328	103	1
ASV.726	328	103	1
ASV.727	328	103	1
ASV.728	328	103	1
ASV.745	328	100	1
ASV.754	328	99	1
ASV.755	328	99	1
ASV.756	328	99	1
ASV.767	328	96	1
ASV.773	328	95	1
ASV.782	328	94	1
ASV.786	328	94	2
ASV.793	328	93	1
ASV.797	328	92	1
ASV.798	328	92	1
ASV.802	328	91	1
ASV.812	328	90	1
ASV.825	328	88	1
ASV.826	328	88	1
ASV.833	328	88	1
ASV.834	328	87	1
ASV.839	328	87	1
ASV.843	329	86	7
ASV.866	328	85	1
ASV.871	328	84	1
ASV.879	328	83	1
ASV.887	328	82	2
ASV.888	328	82	1
ASV.898	328	81	1
ASV.911	328	79	1
ASV.912	328	79	1
ASV.925	328	77	1
ASV.926	328	77	1
ASV.929	328	77	1
ASV.952	328	75	1
ASV.966	328	74	1
ASV.967	328	74	1
ASV.970	328	73	1
ASV.977	328	73	1
ASV.981	328	72	1
ASV.982	328	72	1
ASV.993	328	71	1
ASV.994	328	71	2
ASV.999	328	70	1
ASV.1010	328	69	1
ASV.1018	328	68	1
ASV.1021	328	68	1
ASV.1022	328	68	1
ASV.1026	328	67	3
ASV.1032	328	66	1
ASV.1051	328	65	1
ASV.1066	328	64	1
ASV.1091	328	62	1
ASV.1095	328	62	1
ASV.1107	328	61	1
ASV.1108	328	61	1
ASV.1126	328	59	1
ASV.1191	328	55	1
ASV.1192	328	55	1
ASV.1218	328	53	1
ASV.1225	328	53	1
ASV.1229	328	53	1
ASV.1241	328	52	1
ASV.1244	328	52	1
ASV.1255	328	52	1
ASV.1256	328	52	1
ASV.1289	328	50	1
ASV.1292	328	49	1
ASV.1305	328	49	1
ASV.1309	328	49	1
ASV.1321	328	48	1
ASV.1353	328	47	1
ASV.1355	328	47	1
ASV.1377	328	46	1
ASV.1378	328	46	1
ASV.1397	328	45	1
ASV.1406	328	45	1
ASV.1407	328	45	1
ASV.1428	325	44	2
ASV.1432	328	44	1
ASV.1434	328	44	1
ASV.1475	328	42	1
ASV.1506	328	41	1
ASV.1507	328	41	1
ASV.1527	328	40	1
ASV.1552	328	40	1
ASV.1560	328	39	1
ASV.1580	328	39	1
ASV.1583	328	39	1
ASV.1609	328	38	1
ASV.1646	328	37	1
ASV.1672	328	36	1
ASV.1701	328	35	1
ASV.1726	328	34	1
ASV.1744	328	34	2
ASV.1791	328	32	1
ASV.1797	328	32	1
ASV.1878	328	30	1
ASV.1956	328	29	1
ASV.2009	328	28	1
ASV.2015	328	28	1
ASV.2050	328	27	1
ASV.2053	325	27	1
ASV.2057	328	27	1
ASV.2061	328	27	1
ASV.2091	328	26	1
ASV.2097	328	26	1
ASV.2170	328	25	1
ASV.2205	328	24	1
ASV.2208	325	24	1
ASV.2232	328	24	1
ASV.2235	328	24	1
ASV.2273	328	23	1
ASV.2363	328	22	1
ASV.2381	328	22	1
ASV.2386	325	22	1
ASV.2457	328	21	1
ASV.2466	328	21	1
ASV.2513	329	20	1
ASV.2523	325	20	1
ASV.2551	322	20	1
ASV.2643	328	19	1
ASV.2651	328	19	1
ASV.2744	328	18	1
ASV.2745	328	18	1
ASV.2746	364	18	1
ASV.2796	329	17	1
ASV.2797	328	17	2
ASV.3024	328	15	2
ASV.3073	328	15	1
ASV.3074	328	15	1
ASV.3075	328	15	1
ASV.3115	328	14	1
ASV.3139	328	14	1
ASV.3182	328	14	1
ASV.3204	328	14	1
ASV.3206	328	14	1
ASV.3281	328	13	1
ASV.3284	325	13	1
ASV.3328	328	13	1
ASV.3330	325	13	1
ASV.3331	328	13	1
ASV.3406	328	12	1
ASV.3417	328	12	1
ASV.3421	325	12	1
ASV.3423	328	12	1
ASV.3433	328	12	1
ASV.3445	328	12	1
ASV.3476	328	12	1
ASV.3477	328	12	1
ASV.3485	329	12	1
ASV.3557	328	11	1
ASV.3578	328	11	1
ASV.3579	328	11	2
ASV.3584	328	11	2
ASV.3631	328	11	1
ASV.3653	328	11	1
ASV.3698	328	10	1
ASV.3717	328	10	1
