SAMPLEID,coastal.200km
DRR119299,FALSE
DRR119300,FALSE
DRR119301,FALSE
DRR119302,FALSE
DRR119303,FALSE
DRR119304,FALSE
DRR119305,FALSE
DRR119307,FALSE
DRR119306_transcriptomic,FALSE
DRR119309,FALSE
DRR119308,FALSE
DRR119311,FALSE
DRR119310_transcriptomic,FALSE
DRR119312,FALSE
DRR119314,FALSE
DRR119313_transcriptomic,FALSE
DRR119315,FALSE
DRR119316,FALSE
DRR119318,FALSE
DRR119317,FALSE
