DRR090493	DRR090494	DRR090495	DRR090496	DRR090497	DRR090498	DRR090499	DRR090500	DRR090501	DRR090502	DRR090503	DRR090504	DRR090505	DRR090506	DRR090507	DRR090508	DRR090509	DRR090510	DRR090511	DRR090512
ASV.72	1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332	285	641	0
ASV.73	0	0	0	661	625	0	0	0	0	259	835	0	0	0	0	0	0	0	0	0
ASV.74	0	0	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	285	0
ASV.75	0	0	0	0	0	0	0	0	2307	0	0	0	0	0	0	0	0	0	0	0
ASV.76	0	0	0	0	0	0	0	0	0	0	0	0	0	2218	0	0	0	0	0	0
ASV.77	0	0	0	2215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.78	0	0	0	0	2180	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2166	0	0
ASV.80	0	0	0	2165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.81	2157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.82	0	451	643	0	0	0	0	0	0	0	0	0	0	0	0	0	170	528	0	316
ASV.83	0	256	0	0	0	0	0	0	0	0	0	0	0	0	1846	0	0	0	0	0
ASV.84	0	0	0	0	0	0	0	0	0	0	0	0	0	2087	0	0	0	0	0	0
ASV.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1672	362
ASV.86	0	0	0	0	0	0	0	0	0	0	0	700	1248	0	0	0	0	0	0	0
ASV.87	0	0	0	0	0	0	1947	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.88	0	0	0	0	0	0	0	0	0	0	0	1918	0	0	0	0	0	0	0	0
ASV.89	0	0	0	0	0	0	0	0	0	0	0	0	0	1512	0	0	0	0	0	367
ASV.91	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1520	0	127	0	0	162
ASV.93	0	0	0	0	0	0	0	0	0	0	1780	0	0	0	0	0	0	0	0	0
ASV.95	0	0	0	0	1633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.96	550	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
ASV.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1567	0	0
ASV.101	0	0	1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155
ASV.102	0	0	0	0	0	0	0	0	0	0	0	0	0	1454	0	0	0	0	0	0
ASV.103	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	155	204	133
ASV.104	0	0	0	0	0	0	0	0	0	0	0	1446	0	0	0	0	0	0	0	0
ASV.105	56	0	352	159	301	0	0	0	25	0	0	122	0	0	0	0	74	98	123	105
ASV.106	0	0	0	39	668	0	0	0	0	10	51	0	0	0	0	0	0	0	404	237
ASV.107	0	0	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197
ASV.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1241	0	0	0
ASV.110	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	9	362	854
ASV.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	336	0	467
ASV.112	0	0	0	1013	0	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0
ASV.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	0	0	0
ASV.114	0	0	1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	195	565	177
ASV.116	1118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.117	0	0	0	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.118	0	0	0	0	0	0	0	0	0	0	0	1093	0	0	0	0	0	0	0	0
ASV.120	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	232	391	0	199
ASV.122	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	166
ASV.123	0	0	1056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.125	0	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.126	1046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.127	0	0	0	131	104	0	0	0	0	0	0	0	801	0	0	0	0	0	0	0
ASV.128	0	528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0
ASV.129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997	0
ASV.131	0	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777	0	24	0	163	0
ASV.133	0	0	949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.134	0	0	0	0	0	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0
ASV.135	0	0	0	0	0	0	0	0	0	0	0	0	935	0	0	0	0	0	0	0
ASV.138	0	0	0	0	0	0	871	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	618
ASV.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	0
ASV.143	0	0	0	0	0	0	848	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.144	0	0	0	0	844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	0
ASV.146	831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.148	0	0	0	0	0	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0
ASV.149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823	0
ASV.150	0	396	222	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	0	0	0	0	818	0	0	0	0	0	0	0	0	0
