SampleWF,Sample,Study,tag,ReadsPipeline,ReadsGatherAsvs,ReadsFilterAuids.Rare,ReadsFilterAuids.NonNifH,ReadsFilterAuids.Length
AK2HI.1.no_SRA___X71517,X71517,AK2HI,AK2HI:1:no_SRA, 23722, 22836, 22780, 22770, 22522
AK2HI.1.no_SRA___X71518,X71518,AK2HI,AK2HI:1:no_SRA, 21216, 20157, 19210, 19172, 18804
AK2HI.1.no_SRA___X71519,X71519,AK2HI,AK2HI:1:no_SRA, 19902, 19529, 18859, 18851, 18717
AK2HI.1.no_SRA___X71520,X71520,AK2HI,AK2HI:1:no_SRA, 20702, 19230, 19039, 18983, 16443
AK2HI.1.no_SRA___X71521,X71521,AK2HI,AK2HI:1:no_SRA, 32423, 31696, 31066, 31066, 30995
AK2HI.1.no_SRA___X71522,X71522,AK2HI,AK2HI:1:no_SRA, 27854, 25558, 24869, 24866, 24866
AK2HI.1.no_SRA___X71523,X71523,AK2HI,AK2HI:1:no_SRA, 25896, 25340, 24652, 24641, 18153
AK2HI.1.no_SRA___X71524,X71524,AK2HI,AK2HI:1:no_SRA, 24076, 23477, 23227, 23226, 20499
AK2HI.1.no_SRA___X71525,X71525,AK2HI,AK2HI:1:no_SRA, 34249, 33972, 33893, 33893, 33893
AK2HI.1.no_SRA___X71526,X71526,AK2HI,AK2HI:1:no_SRA, 23061, 22182, 21604, 21542, 19653
AK2HI.1.no_SRA___X71527,X71527,AK2HI,AK2HI:1:no_SRA, 31041, 29660, 28743, 28630, 22011
AK2HI.1.no_SRA___X71528,X71528,AK2HI,AK2HI:1:no_SRA, 23038, 21838, 20951, 20883, 17753
AK2HI.1.no_SRA___X71529,X71529,AK2HI,AK2HI:1:no_SRA, 31536, 30569, 30354, 30321, 30321
AK2HI.1.no_SRA___X71530,X71530,AK2HI,AK2HI:1:no_SRA, 27009, 26640, 26538, 26357, 26344
