SRR13612812	SRR13612813	SRR13612814	SRR13612912	SRR13612913	SRR13612914	SRR13612915
ASV.1	175	5643	4159	0	13865	1351	45391
ASV.2	15896	16397	17279	0	56	5142	207
ASV.3	0	0	0	6136	8776	0	507
ASV.4	0	0	0	3453	0	0	0
ASV.5	0	0	0	0	0	3298	0
ASV.6	0	0	0	3258	0	0	0
ASV.7	0	0	0	0	0	2261	0
ASV.10	0	0	0	0	654	0	170
ASV.15	0	0	0	494	0	0	0
ASV.17	119	197	130	0	0	0	0
ASV.18	0	0	0	0	0	329	101
ASV.19	21	50	44	0	0	204	95
ASV.20	0	158	247	0	0	0	0
ASV.23	0	0	0	188	141	61	0
ASV.25	58	155	146	0	0	0	0
ASV.26	0	0	0	319	0	0	0
ASV.28	77	113	113	0	0	0	0
ASV.29	0	0	0	0	302	0	0
ASV.31	0	0	0	0	279	0	0
ASV.32	91	95	89	0	0	0	0
ASV.33	0	0	0	0	0	275	0
ASV.34	0	0	0	0	50	128	96
ASV.36	24	0	18	0	36	84	103
ASV.37	0	0	0	0	0	109	154
ASV.38	0	0	0	0	0	132	103
ASV.40	77	88	54	0	0	0	0
ASV.41	0	100	112	0	0	0	0
ASV.42	0	0	0	0	209	0	0
ASV.43	14	0	37	0	0	93	57
ASV.44	0	0	0	197	0	0	0
ASV.45	3	0	0	189	0	0	0
ASV.46	65	69	50	0	0	0	0
ASV.47	0	0	11	0	0	138	32
ASV.49	0	0	0	0	47	131	0
ASV.50	0	13	0	0	0	0	164
ASV.51	12	79	74	0	0	0	0
ASV.52	23	67	73	0	0	0	0
ASV.53	0	0	0	0	0	0	163
ASV.54	0	0	0	0	0	159	0
ASV.55	143	8	0	0	5	0	0
ASV.56	0	0	0	0	156	0	0
ASV.58	114	0	0	0	0	19	18
ASV.59	0	0	0	149	0	0	0
ASV.60	32	49	64	0	0	0	0
ASV.61	39	49	47	6	0	0	0
ASV.62	0	0	0	0	28	109	0
ASV.63	64	32	38	0	0	0	0
ASV.64	66	0	65	0	0	0	0
ASV.65	0	60	68	0	0	0	0
ASV.68	0	0	0	0	69	55	0
ASV.69	0	0	0	0	123	0	0
ASV.71	0	0	0	0	26	95	0
ASV.72	25	48	44	0	0	0	0
ASV.74	26	28	32	0	0	29	0
ASV.75	0	0	0	115	0	0	0
ASV.76	0	0	0	0	0	113	0
ASV.77	0	0	0	0	29	83	0
ASV.78	48	29	32	0	0	0	0
ASV.79	70	0	0	0	0	38	0
ASV.80	0	0	0	107	0	0	0
ASV.81	0	41	65	0	0	0	0
ASV.82	0	0	0	0	103	0	0
ASV.84	9	6	0	0	0	0	78
ASV.86	0	0	0	92	0	0	0
ASV.87	22	37	31	0	0	0	0
ASV.88	0	0	0	0	0	72	18
ASV.89	0	0	0	8	76	0	0
ASV.90	0	0	0	0	0	83	0
ASV.91	0	0	0	0	0	58	25
ASV.92	0	0	0	12	0	70	0
ASV.93	0	6	0	73	0	0	0
ASV.94	0	0	0	78	0	0	0
ASV.95	0	0	0	0	76	0	0
ASV.96	0	38	36	0	0	0	0
ASV.97	0	0	74	0	0	0	0
ASV.98	0	0	74	0	0	0	0
ASV.99	0	0	0	0	22	32	19
ASV.100	0	37	35	0	0	0	0
ASV.101	49	20	0	0	0	0	0
ASV.102	0	69	0	0	0	0	0
ASV.103	0	0	0	0	66	0	0
ASV.104	39	0	24	0	0	0	2
ASV.105	0	0	0	0	65	0	0
ASV.106	0	0	0	62	0	0	0
ASV.107	39	11	11	0	0	0	0
ASV.109	0	0	0	0	0	61	0
ASV.110	31	17	12	0	0	0	0
ASV.111	0	0	0	59	0	0	0
ASV.112	25	12	19	0	0	0	0
ASV.113	0	0	50	0	0	0	6
ASV.114	0	0	0	0	19	36	0
ASV.115	0	0	0	54	0	0	0
ASV.116	0	0	0	0	13	37	4
ASV.118	0	0	0	0	0	54	0
ASV.119	0	0	0	0	0	35	19
ASV.120	53	0	0	0	0	0	0
ASV.121	0	0	0	0	0	53	0
ASV.122	0	25	26	0	0	0	0
ASV.124	0	0	0	0	0	51	0
ASV.125	50	0	0	0	0	0	0
ASV.126	0	21	27	0	0	0	0
ASV.127	0	24	24	0	0	0	0
ASV.128	0	0	0	0	0	0	48
ASV.129	0	0	0	0	47	0	0
ASV.130	19	8	16	0	0	0	3
ASV.131	0	18	19	0	0	9	0
ASV.132	0	0	6	0	40	0	0
ASV.133	0	0	0	0	0	46	0
ASV.135	6	22	15	0	0	0	0
ASV.136	0	43	0	0	0	0	0
ASV.137	0	0	3	0	0	25	15
ASV.138	0	0	0	0	43	0	0
ASV.139	0	0	0	0	0	43	0
ASV.141	0	0	0	0	0	32	10
ASV.142	20	8	13	0	0	0	0
ASV.143	0	0	41	0	0	0	0
ASV.144	0	0	0	0	34	7	0
ASV.145	3	17	20	0	0	0	0
ASV.147	0	0	0	0	0	23	16
ASV.148	0	17	21	0	0	0	0
ASV.149	0	0	0	0	0	21	17
ASV.150	0	0	0	0	0	0	38
ASV.151	0	14	8	0	0	7	8
ASV.153	0	0	0	0	0	37	0
ASV.154	0	0	0	0	0	0	37
ASV.155	23	0	13	0	0	0	0
ASV.156	36	0	0	0	0	0	0
ASV.157	0	0	0	36	0	0	0
ASV.158	0	0	0	0	19	0	17
ASV.159	0	0	0	0	0	36	0
ASV.161	0	35	0	0	0	0	0
ASV.162	0	0	0	0	35	0	0
ASV.163	0	0	0	34	0	0	0
ASV.164	0	0	0	0	0	34	0
ASV.166	0	0	0	10	11	9	3
ASV.167	9	5	4	0	0	14	0
ASV.170	0	0	0	0	32	0	0
ASV.171	0	0	0	0	32	0	0
ASV.173	0	0	0	0	0	32	0
ASV.174	0	0	0	0	0	0	32
ASV.175	0	0	0	0	0	0	32
ASV.176	0	31	0	0	0	0	0
ASV.177	0	0	0	0	17	14	0
ASV.178	0	0	0	0	0	31	0
ASV.179	0	0	0	0	0	31	0
ASV.180	30	0	0	0	0	0	0
ASV.181	0	30	0	0	0	0	0
ASV.182	0	0	0	0	30	0	0
ASV.183	0	0	0	0	0	19	11
ASV.184	0	0	0	0	0	29	0
ASV.185	28	0	0	0	0	0	0
ASV.186	28	0	0	0	0	0	0
ASV.187	0	0	28	0	0	0	0
ASV.188	0	0	0	0	28	0	0
ASV.189	27	0	0	0	0	0	0
ASV.190	27	0	0	0	0	0	0
ASV.191	0	0	3	0	0	16	8
ASV.192	0	0	0	0	27	0	0
ASV.193	0	0	0	0	0	27	0
ASV.194	0	0	0	0	0	26	0
ASV.195	0	0	0	0	0	26	0
ASV.197	0	0	0	0	0	15	11
ASV.199	5	0	0	0	0	15	4
ASV.200	0	0	13	0	0	11	0
ASV.201	0	0	0	24	0	0	0
ASV.202	0	0	0	24	0	0	0
ASV.203	0	0	0	19	5	0	0
ASV.204	0	0	0	0	24	0	0
ASV.205	0	0	0	0	0	24	0
ASV.206	23	0	0	0	0	0	0
ASV.207	23	0	0	0	0	0	0
ASV.208	0	7	16	0	0	0	0
ASV.209	0	17	6	0	0	0	0
ASV.210	0	0	0	23	0	0	0
ASV.211	13	0	0	0	0	9	0
ASV.212	0	3	5	0	0	14	0
ASV.213	0	0	0	14	8	0	0
ASV.215	12	9	0	0	0	0	0
ASV.216	0	0	0	21	0	0	0
ASV.217	0	0	0	0	21	0	0
ASV.218	0	0	0	0	21	0	0
ASV.219	0	0	0	0	0	21	0
ASV.220	0	0	0	0	0	21	0
ASV.221	20	0	0	0	0	0	0
ASV.222	3	17	0	0	0	0	0
ASV.223	20	0	0	0	0	0	0
ASV.224	0	20	0	0	0	0	0
ASV.225	0	0	20	0	0	0	0
ASV.226	0	0	20	0	0	0	0
ASV.227	0	0	0	0	0	0	20
ASV.228	19	0	0	0	0	0	0
ASV.229	0	19	0	0	0	0	0
ASV.230	0	19	0	0	0	0	0
ASV.232	0	0	19	0	0	0	0
ASV.233	0	0	0	19	0	0	0
ASV.234	0	0	0	0	19	0	0
ASV.235	0	0	0	0	19	0	0
ASV.236	0	0	0	0	0	19	0
ASV.237	0	0	0	0	0	19	0
ASV.239	18	0	0	0	0	0	0
ASV.240	18	0	0	0	0	0	0
ASV.241	18	0	0	0	0	0	0
ASV.246	0	0	16	2	0	0	0
ASV.247	0	0	0	18	0	0	0
ASV.248	0	0	0	18	0	0	0
ASV.249	0	0	0	0	18	0	0
ASV.250	0	0	0	0	0	18	0
ASV.251	8	0	9	0	0	0	0
ASV.252	11	6	0	0	0	0	0
ASV.253	0	17	0	0	0	0	0
ASV.255	0	0	0	5	12	0	0
ASV.256	0	0	0	0	0	17	0
ASV.257	0	0	0	0	0	0	17
ASV.258	16	0	0	0	0	0	0
ASV.259	10	6	0	0	0	0	0
ASV.260	16	0	0	0	0	0	0
ASV.261	16	0	0	0	0	0	0
ASV.262	16	0	0	0	0	0	0
ASV.263	0	16	0	0	0	0	0
ASV.264	0	4	0	0	12	0	0
ASV.265	0	0	16	0	0	0	0
ASV.266	0	0	0	16	0	0	0
ASV.267	0	0	0	0	16	0	0
ASV.268	0	0	0	0	0	16	0
ASV.269	0	0	0	0	0	0	16
ASV.270	0	0	0	0	0	0	16
ASV.272	15	0	0	0	0	0	0
ASV.273	0	0	15	0	0	0	0
ASV.274	0	0	15	0	0	0	0
ASV.275	0	0	0	0	15	0	0
ASV.277	0	0	0	0	0	0	15
ASV.278	0	0	0	0	0	0	15
ASV.279	14	0	0	0	0	0	0
ASV.280	14	0	0	0	0	0	0
ASV.281	14	0	0	0	0	0	0
ASV.282	0	14	0	0	0	0	0
ASV.283	0	5	9	0	0	0	0
ASV.284	0	8	6	0	0	0	0
ASV.285	0	14	0	0	0	0	0
ASV.286	0	0	14	0	0	0	0
ASV.287	0	0	0	14	0	0	0
ASV.288	0	0	0	0	14	0	0
ASV.289	0	0	0	0	14	0	0
ASV.290	0	0	0	0	0	14	0
ASV.291	0	0	0	0	0	14	0
ASV.292	0	0	0	0	0	14	0
ASV.293	0	0	0	0	0	0	14
ASV.294	13	0	0	0	0	0	0
ASV.295	13	0	0	0	0	0	0
ASV.296	4	7	2	0	0	0	0
ASV.297	13	0	0	0	0	0	0
ASV.298	13	0	0	0	0	0	0
ASV.299	13	0	0	0	0	0	0
ASV.300	0	0	13	0	0	0	0
