asvLen	totReads	numSamps
ASV.299	316	128	2
ASV.301	253	128	1
ASV.302	253	127	2
ASV.303	360	127	2
ASV.304	284	127	1
ASV.305	271	126	3
ASV.306	255	126	3
ASV.307	311	126	2
ASV.308	328	126	2
ASV.309	303	126	1
ASV.310	334	125	2
ASV.311	279	125	1
ASV.312	325	125	1
ASV.313	380	125	2
ASV.314	335	125	1
ASV.315	278	124	1
ASV.316	290	124	1
ASV.317	341	124	3
ASV.318	296	124	1
ASV.319	270	124	1
ASV.320	253	124	2
ASV.321	289	123	1
ASV.322	396	123	2
ASV.323	242	123	1
ASV.324	346	123	1
ASV.325	317	122	2
ASV.326	277	122	1
ASV.327	272	122	1
ASV.328	340	121	1
ASV.329	279	121	1
ASV.330	381	121	3
ASV.331	290	121	1
ASV.332	307	121	2
ASV.333	325	121	1
ASV.334	262	120	3
ASV.335	343	120	1
ASV.336	286	120	3
ASV.337	340	120	1
ASV.338	364	120	2
ASV.339	258	120	1
ASV.341	258	119	3
ASV.342	296	119	3
ASV.343	328	119	1
ASV.346	266	118	4
ASV.347	265	118	2
ASV.348	328	118	1
ASV.349	252	118	2
ASV.350	278	118	1
ASV.352	244	117	2
ASV.353	277	117	1
ASV.354	281	117	2
ASV.355	281	117	1
ASV.356	245	116	1
ASV.357	255	116	2
ASV.358	263	116	3
ASV.359	329	115	1
ASV.360	348	115	1
ASV.361	289	115	1
ASV.362	284	115	1
ASV.363	280	115	1
ASV.364	312	115	1
ASV.365	265	114	1
ASV.366	297	113	2
ASV.367	365	113	2
ASV.368	289	113	3
ASV.369	295	113	2
ASV.370	285	113	2
ASV.371	318	113	2
ASV.372	295	113	2
ASV.373	292	113	2
ASV.374	258	113	1
ASV.375	310	112	1
ASV.376	266	112	3
ASV.377	364	112	1
ASV.378	296	111	1
ASV.379	288	111	2
ASV.380	289	111	1
ASV.381	247	111	2
ASV.382	406	110	3
ASV.383	345	110	1
ASV.384	340	110	3
ASV.385	358	110	6
ASV.386	328	110	1
ASV.387	298	110	2
ASV.388	253	110	1
ASV.389	260	110	1
ASV.390	299	110	1
ASV.391	289	110	3
ASV.392	341	110	2
ASV.393	289	109	2
ASV.394	356	109	3
ASV.395	312	109	3
ASV.397	343	108	1
ASV.398	342	108	2
ASV.399	258	108	1
ASV.400	298	107	1
ASV.401	384	107	3
ASV.402	251	107	1
ASV.403	242	107	1
ASV.404	249	106	3
ASV.405	278	106	2
ASV.406	272	106	2
ASV.407	363	105	1
ASV.408	322	105	1
ASV.409	280	104	1
ASV.410	269	104	2
ASV.411	393	104	2
ASV.412	370	104	2
ASV.414	263	104	2
ASV.415	256	104	1
ASV.416	242	104	1
ASV.418	263	103	1
ASV.419	254	103	1
ASV.420	258	103	1
ASV.421	242	103	1
ASV.422	287	102	1
ASV.423	307	102	2
ASV.424	320	102	2
ASV.425	241	101	2
ASV.426	286	101	1
ASV.427	323	101	2
ASV.428	268	101	2
ASV.429	319	101	1
ASV.431	389	100	1
ASV.432	283	100	1
ASV.433	325	100	1
ASV.434	285	99	2
ASV.435	259	99	1
ASV.436	268	99	1
ASV.438	272	98	1
ASV.439	284	98	2
ASV.440	251	98	1
ASV.442	325	98	1
ASV.443	254	97	2
ASV.444	323	97	1
ASV.445	328	97	1
ASV.446	362	96	1
ASV.447	255	96	1
ASV.448	241	96	1
ASV.449	288	96	1
ASV.450	258	96	1
ASV.451	366	96	2
ASV.452	320	95	2
ASV.453	265	95	2
ASV.454	275	95	1
ASV.455	345	95	1
ASV.456	346	95	2
ASV.457	399	95	1
ASV.458	307	95	1
ASV.459	280	94	1
ASV.460	332	94	1
ASV.461	396	94	2
ASV.462	253	94	1
ASV.463	260	94	1
ASV.464	258	94	1
ASV.465	415	94	1
ASV.467	315	93	3
ASV.468	317	93	1
ASV.469	263	93	1
ASV.470	260	93	2
ASV.471	360	93	1
ASV.472	299	93	1
ASV.473	258	93	2
ASV.474	305	93	1
ASV.475	373	92	1
ASV.476	326	92	2
ASV.477	262	92	3
ASV.478	340	92	2
ASV.479	253	92	1
ASV.480	403	92	1
ASV.481	255	91	1
ASV.482	325	91	2
ASV.483	345	91	2
ASV.484	289	91	2
ASV.485	250	91	2
ASV.486	380	91	1
ASV.487	263	90	2
ASV.488	277	90	2
ASV.489	252	90	1
ASV.490	296	90	2
