SRR13240302	SRR13240303	SRR13240304	SRR13240305	SRR13240306	SRR13240307	SRR13240308	SRR13240309	SRR13240310	SRR13240311
ASV.2326	0	27	0	0	0	0	0	0	0	0
ASV.2327	0	27	0	0	0	0	0	0	0	0
ASV.2328	0	27	0	0	0	0	0	0	0	0
ASV.2329	0	27	0	0	0	0	0	0	0	0
ASV.2330	0	27	0	0	0	0	0	0	0	0
ASV.2331	0	27	0	0	0	0	0	0	0	0
ASV.2332	0	27	0	0	0	0	0	0	0	0
ASV.2333	0	27	0	0	0	0	0	0	0	0
ASV.2334	0	27	0	0	0	0	0	0	0	0
ASV.2335	0	27	0	0	0	0	0	0	0	0
ASV.2336	0	27	0	0	0	0	0	0	0	0
ASV.2337	0	27	0	0	0	0	0	0	0	0
ASV.2338	0	0	20	7	0	0	0	0	0	0
ASV.2340	0	0	27	0	0	0	0	0	0	0
ASV.2341	0	0	27	0	0	0	0	0	0	0
ASV.2342	0	0	27	0	0	0	0	0	0	0
ASV.2343	0	0	2	25	0	0	0	0	0	0
ASV.2344	0	0	27	0	0	0	0	0	0	0
ASV.2345	0	0	27	0	0	0	0	0	0	0
ASV.2346	0	0	0	27	0	0	0	0	0	0
ASV.2347	0	0	0	27	0	0	0	0	0	0
ASV.2348	0	0	0	27	0	0	0	0	0	0
ASV.2349	0	0	0	27	0	0	0	0	0	0
ASV.2350	0	0	0	27	0	0	0	0	0	0
ASV.2351	0	0	0	27	0	0	0	0	0	0
ASV.2352	0	0	0	27	0	0	0	0	0	0
ASV.2353	0	0	0	27	0	0	0	0	0	0
ASV.2354	0	0	0	27	0	0	0	0	0	0
ASV.2355	0	0	0	27	0	0	0	0	0	0
ASV.2356	0	0	0	27	0	0	0	0	0	0
ASV.2357	0	0	0	27	0	0	0	0	0	0
ASV.2358	0	0	0	27	0	0	0	0	0	0
ASV.2359	0	0	0	27	0	0	0	0	0	0
ASV.2360	0	0	0	27	0	0	0	0	0	0
ASV.2361	0	0	0	27	0	0	0	0	0	0
ASV.2362	0	0	0	27	0	0	0	0	0	0
ASV.2363	0	0	0	27	0	0	0	0	0	0
ASV.2364	0	0	0	21	0	0	0	0	0	6
ASV.2365	0	0	0	27	0	0	0	0	0	0
ASV.2366	0	0	0	27	0	0	0	0	0	0
ASV.2367	0	0	0	27	0	0	0	0	0	0
ASV.2368	0	0	0	0	0	27	0	0	0	0
ASV.2369	0	0	0	0	0	27	0	0	0	0
ASV.2370	0	0	0	0	0	0	27	0	0	0
ASV.2371	0	0	0	0	0	0	27	0	0	0
ASV.2372	0	0	0	0	0	0	0	27	0	0
ASV.2374	0	0	0	0	0	0	0	0	27	0
ASV.2377	0	0	0	0	0	0	0	0	0	27
ASV.2379	0	0	0	0	0	0	0	0	0	27
ASV.2380	0	0	0	0	0	0	0	0	0	27
ASV.2381	26	0	0	0	0	0	0	0	0	0
ASV.2382	26	0	0	0	0	0	0	0	0	0
ASV.2383	26	0	0	0	0	0	0	0	0	0
ASV.2384	26	0	0	0	0	0	0	0	0	0
ASV.2385	26	0	0	0	0	0	0	0	0	0
ASV.2386	26	0	0	0	0	0	0	0	0	0
ASV.2387	26	0	0	0	0	0	0	0	0	0
ASV.2388	26	0	0	0	0	0	0	0	0	0
ASV.2389	26	0	0	0	0	0	0	0	0	0
ASV.2390	14	0	0	0	0	0	0	0	0	12
ASV.2391	26	0	0	0	0	0	0	0	0	0
ASV.2392	26	0	0	0	0	0	0	0	0	0
ASV.2393	26	0	0	0	0	0	0	0	0	0
ASV.2394	26	0	0	0	0	0	0	0	0	0
ASV.2395	26	0	0	0	0	0	0	0	0	0
ASV.2396	22	0	4	0	0	0	0	0	0	0
ASV.2397	0	21	5	0	0	0	0	0	0	0
ASV.2398	0	26	0	0	0	0	0	0	0	0
ASV.2399	0	26	0	0	0	0	0	0	0	0
ASV.2400	0	26	0	0	0	0	0	0	0	0
ASV.2401	0	26	0	0	0	0	0	0	0	0
ASV.2402	0	26	0	0	0	0	0	0	0	0
ASV.2403	0	26	0	0	0	0	0	0	0	0
ASV.2404	0	26	0	0	0	0	0	0	0	0
ASV.2405	0	26	0	0	0	0	0	0	0	0
ASV.2406	0	24	2	0	0	0	0	0	0	0
ASV.2407	0	26	0	0	0	0	0	0	0	0
ASV.2408	0	26	0	0	0	0	0	0	0	0
ASV.2409	0	13	13	0	0	0	0	0	0	0
ASV.2410	0	26	0	0	0	0	0	0	0	0
ASV.2411	0	26	0	0	0	0	0	0	0	0
ASV.2412	0	26	0	0	0	0	0	0	0	0
ASV.2413	0	26	0	0	0	0	0	0	0	0
ASV.2414	0	26	0	0	0	0	0	0	0	0
ASV.2415	0	26	0	0	0	0	0	0	0	0
ASV.2416	0	26	0	0	0	0	0	0	0	0
ASV.2417	0	18	8	0	0	0	0	0	0	0
ASV.2418	0	26	0	0	0	0	0	0	0	0
ASV.2419	0	2	24	0	0	0	0	0	0	0
ASV.2420	0	26	0	0	0	0	0	0	0	0
ASV.2421	0	22	0	0	0	0	0	0	0	4
ASV.2422	0	26	0	0	0	0	0	0	0	0
ASV.2423	0	26	0	0	0	0	0	0	0	0
ASV.2424	0	26	0	0	0	0	0	0	0	0
ASV.2425	0	26	0	0	0	0	0	0	0	0
ASV.2426	0	26	0	0	0	0	0	0	0	0
ASV.2427	0	26	0	0	0	0	0	0	0	0
ASV.2428	0	26	0	0	0	0	0	0	0	0
ASV.2429	0	26	0	0	0	0	0	0	0	0
ASV.2430	0	26	0	0	0	0	0	0	0	0
ASV.2431	0	26	0	0	0	0	0	0	0	0
ASV.2432	0	26	0	0	0	0	0	0	0	0
ASV.2433	0	26	0	0	0	0	0	0	0	0
ASV.2434	0	26	0	0	0	0	0	0	0	0
ASV.2436	0	0	12	12	0	0	0	0	0	2
ASV.2437	0	0	26	0	0	0	0	0	0	0
ASV.2438	0	0	26	0	0	0	0	0	0	0
ASV.2439	0	0	5	21	0	0	0	0	0	0
ASV.2440	0	0	3	23	0	0	0	0	0	0
ASV.2441	0	0	26	0	0	0	0	0	0	0
ASV.2442	0	0	26	0	0	0	0	0	0	0
ASV.2443	0	0	13	13	0	0	0	0	0	0
ASV.2444	0	0	0	26	0	0	0	0	0	0
ASV.2445	0	0	0	26	0	0	0	0	0	0
ASV.2446	0	0	0	26	0	0	0	0	0	0
ASV.2447	0	0	0	17	0	0	0	0	0	9
ASV.2448	0	0	0	26	0	0	0	0	0	0
ASV.2449	0	0	0	26	0	0	0	0	0	0
ASV.2450	0	0	0	26	0	0	0	0	0	0
ASV.2451	0	0	0	26	0	0	0	0	0	0
ASV.2452	0	0	0	26	0	0	0	0	0	0
ASV.2453	0	0	0	26	0	0	0	0	0	0
ASV.2454	0	0	0	26	0	0	0	0	0	0
ASV.2455	0	0	0	26	0	0	0	0	0	0
ASV.2456	0	0	0	26	0	0	0	0	0	0
ASV.2457	0	0	0	26	0	0	0	0	0	0
ASV.2458	0	0	0	13	0	0	0	0	0	13
ASV.2459	0	0	0	26	0	0	0	0	0	0
ASV.2460	0	0	0	26	0	0	0	0	0	0
ASV.2461	0	0	0	26	0	0	0	0	0	0
ASV.2462	0	0	0	26	0	0	0	0	0	0
ASV.2463	0	0	0	26	0	0	0	0	0	0
ASV.2464	0	0	0	26	0	0	0	0	0	0
ASV.2465	0	0	0	26	0	0	0	0	0	0
ASV.2466	0	0	0	26	0	0	0	0	0	0
ASV.2467	0	0	0	26	0	0	0	0	0	0
ASV.2468	0	0	0	26	0	0	0	0	0	0
ASV.2469	0	0	0	26	0	0	0	0	0	0
ASV.2470	0	0	0	26	0	0	0	0	0	0
ASV.2471	0	0	0	26	0	0	0	0	0	0
ASV.2472	0	0	0	26	0	0	0	0	0	0
ASV.2473	0	0	0	18	0	0	0	0	0	8
ASV.2474	0	0	0	26	0	0	0	0	0	0
ASV.2475	0	0	0	26	0	0	0	0	0	0
ASV.2476	0	0	0	26	0	0	0	0	0	0
ASV.2477	0	0	0	0	26	0	0	0	0	0
ASV.2483	0	0	0	0	0	0	26	0	0	0
ASV.2484	0	0	0	0	0	0	26	0	0	0
ASV.2485	0	0	0	0	0	0	26	0	0	0
ASV.2486	0	0	0	0	0	0	0	26	0	0
ASV.2487	0	0	0	0	0	0	0	26	0	0
ASV.2488	0	0	0	0	0	0	0	0	26	0
ASV.2490	0	0	0	0	0	0	0	0	0	26
ASV.2491	0	0	0	0	0	0	0	0	0	26
ASV.2492	0	0	0	0	0	0	0	0	0	26
ASV.2493	0	0	0	0	0	0	0	0	0	26
ASV.2494	7	0	0	0	0	0	0	0	0	18
ASV.2495	25	0	0	0	0	0	0	0	0	0
ASV.2496	6	0	0	19	0	0	0	0	0	0
ASV.2497	25	0	0	0	0	0	0	0	0	0
ASV.2498	25	0	0	0	0	0	0	0	0	0
ASV.2499	25	0	0	0	0	0	0	0	0	0
ASV.2500	10	0	0	0	0	0	0	0	0	15
ASV.2501	10	0	5	0	0	0	0	0	0	10
ASV.2502	25	0	0	0	0	0	0	0	0	0
ASV.2503	25	0	0	0	0	0	0	0	0	0
ASV.2504	25	0	0	0	0	0	0	0	0	0
ASV.2505	25	0	0	0	0	0	0	0	0	0
ASV.2506	25	0	0	0	0	0	0	0	0	0
ASV.2507	21	0	0	0	0	0	0	0	0	4
ASV.2508	25	0	0	0	0	0	0	0	0	0
ASV.2509	3	0	0	0	0	0	0	0	0	22
ASV.2510	25	0	0	0	0	0	0	0	0	0
ASV.2511	25	0	0	0	0	0	0	0	0	0
ASV.2512	25	0	0	0	0	0	0	0	0	0
ASV.2513	25	0	0	0	0	0	0	0	0	0
ASV.2514	25	0	0	0	0	0	0	0	0	0
ASV.2515	25	0	0	0	0	0	0	0	0	0
ASV.2516	12	0	0	0	0	0	0	0	0	13
ASV.2517	25	0	0	0	0	0	0	0	0	0
ASV.2518	25	0	0	0	0	0	0	0	0	0
ASV.2519	0	25	0	0	0	0	0	0	0	0
ASV.2520	0	14	11	0	0	0	0	0	0	0
ASV.2521	0	25	0	0	0	0	0	0	0	0
ASV.2522	0	25	0	0	0	0	0	0	0	0
ASV.2523	0	25	0	0	0	0	0	0	0	0
ASV.2524	0	25	0	0	0	0	0	0	0	0
ASV.2525	0	17	8	0	0	0	0	0	0	0
ASV.2526	0	25	0	0	0	0	0	0	0	0
ASV.2527	0	25	0	0	0	0	0	0	0	0
ASV.2528	0	25	0	0	0	0	0	0	0	0
ASV.2529	0	25	0	0	0	0	0	0	0	0
ASV.2530	0	21	4	0	0	0	0	0	0	0
ASV.2531	0	25	0	0	0	0	0	0	0	0
ASV.2532	0	25	0	0	0	0	0	0	0	0
ASV.2533	0	25	0	0	0	0	0	0	0	0
ASV.2534	0	25	0	0	0	0	0	0	0	0
ASV.2535	0	25	0	0	0	0	0	0	0	0
ASV.2536	0	15	10	0	0	0	0	0	0	0
ASV.2537	0	25	0	0	0	0	0	0	0	0
ASV.2538	0	25	0	0	0	0	0	0	0	0
ASV.2539	0	25	0	0	0	0	0	0	0	0
ASV.2540	0	25	0	0	0	0	0	0	0	0
ASV.2541	0	25	0	0	0	0	0	0	0	0
ASV.2542	0	25	0	0	0	0	0	0	0	0
ASV.2543	0	25	0	0	0	0	0	0	0	0
ASV.2545	0	25	0	0	0	0	0	0	0	0
ASV.2546	0	25	0	0	0	0	0	0	0	0
ASV.2547	0	25	0	0	0	0	0	0	0	0
ASV.2548	0	25	0	0	0	0	0	0	0	0
ASV.2549	0	0	25	0	0	0	0	0	0	0
ASV.2550	0	0	7	18	0	0	0	0	0	0
ASV.2551	0	0	12	13	0	0	0	0	0	0
ASV.2553	0	0	25	0	0	0	0	0	0	0
ASV.2554	0	0	0	25	0	0	0	0	0	0
ASV.2555	0	0	0	25	0	0	0	0	0	0
ASV.2556	0	0	0	25	0	0	0	0	0	0
ASV.2557	0	0	0	25	0	0	0	0	0	0
ASV.2558	0	0	0	25	0	0	0	0	0	0
ASV.2559	0	0	0	25	0	0	0	0	0	0
ASV.2560	0	0	0	25	0	0	0	0	0	0
ASV.2561	0	0	0	25	0	0	0	0	0	0
ASV.2562	0	0	0	25	0	0	0	0	0	0
ASV.2563	0	0	0	25	0	0	0	0	0	0
ASV.2564	0	0	0	25	0	0	0	0	0	0
ASV.2565	0	0	0	25	0	0	0	0	0	0
ASV.2566	0	0	0	25	0	0	0	0	0	0
ASV.2567	0	0	0	25	0	0	0	0	0	0
ASV.2568	0	0	0	25	0	0	0	0	0	0
ASV.2569	0	0	0	25	0	0	0	0	0	0
ASV.2570	0	0	0	25	0	0	0	0	0	0
ASV.2571	0	0	0	25	0	0	0	0	0	0
ASV.2572	0	0	0	25	0	0	0	0	0	0
ASV.2573	0	0	0	25	0	0	0	0	0	0
ASV.2574	0	0	0	25	0	0	0	0	0	0
ASV.2575	0	0	0	25	0	0	0	0	0	0
ASV.2576	0	0	0	25	0	0	0	0	0	0
ASV.2577	0	0	0	25	0	0	0	0	0	0
ASV.2578	0	0	0	25	0	0	0	0	0	0
ASV.2579	0	0	0	25	0	0	0	0	0	0
ASV.2580	0	0	0	0	25	0	0	0	0	0
ASV.2581	0	0	0	0	0	25	0	0	0	0
ASV.2585	0	0	0	0	0	0	25	0	0	0
ASV.2586	0	0	0	0	0	0	0	25	0	0
ASV.2588	0	0	0	0	0	0	0	0	25	0
ASV.2590	0	0	0	0	0	0	0	0	25	0
ASV.2591	0	0	0	0	0	0	0	0	25	0
ASV.2592	0	0	0	0	0	0	0	0	0	25
ASV.2593	0	0	0	0	0	0	0	0	0	25
ASV.2594	0	0	0	0	0	0	0	0	0	25
ASV.2595	0	0	0	0	0	0	0	0	0	25
ASV.2596	0	0	0	0	0	0	0	0	0	25
ASV.2597	0	0	0	0	0	0	0	0	0	25
ASV.2598	0	0	0	0	0	0	0	0	0	25
ASV.2599	0	0	0	0	0	0	0	0	0	25
ASV.2600	0	0	0	0	0	0	0	0	0	25
ASV.2601	24	0	0	0	0	0	0	0	0	0
ASV.2602	20	0	0	0	0	4	0	0	0	0
ASV.2603	24	0	0	0	0	0	0	0	0	0
ASV.2604	24	0	0	0	0	0	0	0	0	0
ASV.2605	10	0	0	0	0	0	0	0	0	14
ASV.2606	24	0	0	0	0	0	0	0	0	0
ASV.2607	24	0	0	0	0	0	0	0	0	0
ASV.2608	24	0	0	0	0	0	0	0	0	0
ASV.2609	24	0	0	0	0	0	0	0	0	0
ASV.2610	24	0	0	0	0	0	0	0	0	0
ASV.2611	7	0	0	0	0	0	0	0	0	17
ASV.2612	13	0	0	0	0	0	0	0	0	11
ASV.2613	24	0	0	0	0	0	0	0	0	0
ASV.2614	24	0	0	0	0	0	0	0	0	0
ASV.2615	24	0	0	0	0	0	0	0	0	0
ASV.2616	24	0	0	0	0	0	0	0	0	0
ASV.2617	16	0	0	0	0	0	0	0	0	8
ASV.2618	0	21	3	0	0	0	0	0	0	0
ASV.2619	0	24	0	0	0	0	0	0	0	0
ASV.2620	0	24	0	0	0	0	0	0	0	0
ASV.2621	0	24	0	0	0	0	0	0	0	0
ASV.2622	0	24	0	0	0	0	0	0	0	0
ASV.2623	0	24	0	0	0	0	0	0	0	0
ASV.2624	0	24	0	0	0	0	0	0	0	0
ASV.2625	0	24	0	0	0	0	0	0	0	0
ASV.2626	0	21	3	0	0	0	0	0	0	0
ASV.2627	0	24	0	0	0	0	0	0	0	0
ASV.2628	0	24	0	0	0	0	0	0	0	0
ASV.2630	0	24	0	0	0	0	0	0	0	0
ASV.2631	0	24	0	0	0	0	0	0	0	0
ASV.2632	0	24	0	0	0	0	0	0	0	0
ASV.2633	0	18	6	0	0	0	0	0	0	0
ASV.2634	0	24	0	0	0	0	0	0	0	0
ASV.2635	0	24	0	0	0	0	0	0	0	0
ASV.2636	0	24	0	0	0	0	0	0	0	0
ASV.2637	0	24	0	0	0	0	0	0	0	0
ASV.2638	0	24	0	0	0	0	0	0	0	0
ASV.2639	0	24	0	0	0	0	0	0	0	0
ASV.2640	0	24	0	0	0	0	0	0	0	0
ASV.2641	0	24	0	0	0	0	0	0	0	0
ASV.2642	0	24	0	0	0	0	0	0	0	0
ASV.2643	0	24	0	0	0	0	0	0	0	0
ASV.2644	0	24	0	0	0	0	0	0	0	0
ASV.2645	0	24	0	0	0	0	0	0	0	0
ASV.2646	0	24	0	0	0	0	0	0	0	0
ASV.2647	0	24	0	0	0	0	0	0	0	0
ASV.2648	0	24	0	0	0	0	0	0	0	0
ASV.2649	0	0	24	0	0	0	0	0	0	0
ASV.2650	0	0	2	0	0	0	0	0	0	22
ASV.2651	0	0	12	12	0	0	0	0	0	0
ASV.2652	0	0	0	24	0	0	0	0	0	0
ASV.2653	0	0	0	24	0	0	0	0	0	0
ASV.2654	0	0	0	24	0	0	0	0	0	0
ASV.2655	0	0	0	12	0	0	0	0	0	12
ASV.2656	0	0	0	24	0	0	0	0	0	0
ASV.2657	0	0	0	24	0	0	0	0	0	0
ASV.2658	0	0	0	24	0	0	0	0	0	0
ASV.2659	0	0	0	24	0	0	0	0	0	0
ASV.2660	0	0	0	24	0	0	0	0	0	0
ASV.2661	0	0	0	24	0	0	0	0	0	0
ASV.2662	0	0	0	24	0	0	0	0	0	0
ASV.2663	0	0	0	24	0	0	0	0	0	0
ASV.2664	0	0	0	24	0	0	0	0	0	0
ASV.2665	0	0	0	24	0	0	0	0	0	0
ASV.2666	0	0	0	24	0	0	0	0	0	0
ASV.2667	0	0	0	24	0	0	0	0	0	0
ASV.2668	0	0	0	24	0	0	0	0	0	0
ASV.2669	0	0	0	24	0	0	0	0	0	0
ASV.2670	0	0	0	24	0	0	0	0	0	0
ASV.2671	0	0	0	24	0	0	0	0	0	0
ASV.2672	0	0	0	24	0	0	0	0	0	0
ASV.2673	0	0	0	24	0	0	0	0	0	0
ASV.2674	0	0	0	24	0	0	0	0	0	0
ASV.2676	0	0	0	24	0	0	0	0	0	0
ASV.2677	0	0	0	24	0	0	0	0	0	0
ASV.2678	0	0	0	24	0	0	0	0	0	0
ASV.2679	0	0	0	24	0	0	0	0	0	0
ASV.2680	0	0	0	24	0	0	0	0	0	0
ASV.2681	0	0	0	24	0	0	0	0	0	0
ASV.2682	0	0	0	24	0	0	0	0	0	0
ASV.2683	0	0	0	24	0	0	0	0	0	0
ASV.2684	0	0	0	24	0	0	0	0	0	0
ASV.2685	0	0	0	24	0	0	0	0	0	0
ASV.2686	0	0	0	0	0	24	0	0	0	0
ASV.2687	0	0	0	0	0	0	24	0	0	0
ASV.2688	0	0	0	0	0	0	24	0	0	0
ASV.2689	0	0	0	0	0	0	24	0	0	0
ASV.2691	0	0	0	0	0	0	0	0	24	0
ASV.2692	0	0	0	0	0	0	0	0	0	24
ASV.2693	0	0	0	0	0	0	0	0	0	24
ASV.2694	0	0	0	0	0	0	0	0	0	24
ASV.2695	0	0	0	0	0	0	0	0	0	24
ASV.2696	0	0	0	0	0	0	0	0	0	24
ASV.2697	0	0	0	0	0	0	0	0	0	24
ASV.2698	0	0	0	0	0	0	0	0	0	24
ASV.2700	0	0	0	0	0	0	0	0	0	24
ASV.2701	23	0	0	0	0	0	0	0	0	0
ASV.2702	23	0	0	0	0	0	0	0	0	0
ASV.2703	23	0	0	0	0	0	0	0	0	0
ASV.2704	23	0	0	0	0	0	0	0	0	0
ASV.2705	23	0	0	0	0	0	0	0	0	0
ASV.2706	23	0	0	0	0	0	0	0	0	0
ASV.2707	13	0	0	3	0	0	0	0	0	7
ASV.2708	17	0	0	6	0	0	0	0	0	0
ASV.2709	23	0	0	0	0	0	0	0	0	0
ASV.2710	7	0	0	0	0	0	0	0	0	16
ASV.2711	23	0	0	0	0	0	0	0	0	0
ASV.2712	23	0	0	0	0	0	0	0	0	0
ASV.2713	23	0	0	0	0	0	0	0	0	0
ASV.2714	23	0	0	0	0	0	0	0	0	0
ASV.2715	23	0	0	0	0	0	0	0	0	0
ASV.2716	13	0	0	0	0	0	0	0	0	10
ASV.2717	23	0	0	0	0	0	0	0	0	0
ASV.2718	23	0	0	0	0	0	0	0	0	0
ASV.2719	23	0	0	0	0	0	0	0	0	0
ASV.2720	23	0	0	0	0	0	0	0	0	0
ASV.2721	23	0	0	0	0	0	0	0	0	0
ASV.2722	23	0	0	0	0	0	0	0	0	0
ASV.2723	23	0	0	0	0	0	0	0	0	0
ASV.2724	10	0	0	0	0	0	0	0	0	13
ASV.2725	23	0	0	0	0	0	0	0	0	0
ASV.2726	14	0	0	0	0	0	0	0	0	9
ASV.2727	23	0	0	0	0	0	0	0	0	0
ASV.2728	0	23	0	0	0	0	0	0	0	0
ASV.2729	0	19	4	0	0	0	0	0	0	0
ASV.2730	0	14	9	0	0	0	0	0	0	0
ASV.2731	0	2	0	21	0	0	0	0	0	0
ASV.2732	0	23	0	0	0	0	0	0	0	0
ASV.2733	0	23	0	0	0	0	0	0	0	0
ASV.2734	0	6	17	0	0	0	0	0	0	0
ASV.2735	0	23	0	0	0	0	0	0	0	0
ASV.2736	0	23	0	0	0	0	0	0	0	0
ASV.2737	0	6	17	0	0	0	0	0	0	0
ASV.2738	0	23	0	0	0	0	0	0	0	0
ASV.2739	0	23	0	0	0	0	0	0	0	0
ASV.2740	0	23	0	0	0	0	0	0	0	0
ASV.2741	0	23	0	0	0	0	0	0	0	0
ASV.2742	0	23	0	0	0	0	0	0	0	0
ASV.2743	0	23	0	0	0	0	0	0	0	0
ASV.2744	0	14	9	0	0	0	0	0	0	0
ASV.2745	0	23	0	0	0	0	0	0	0	0
ASV.2746	0	23	0	0	0	0	0	0	0	0
ASV.2747	0	23	0	0	0	0	0	0	0	0
ASV.2748	0	7	16	0	0	0	0	0	0	0
ASV.2749	0	23	0	0	0	0	0	0	0	0
ASV.2750	0	23	0	0	0	0	0	0	0	0
ASV.2751	0	23	0	0	0	0	0	0	0	0
ASV.2752	0	23	0	0	0	0	0	0	0	0
ASV.2753	0	23	0	0	0	0	0	0	0	0
ASV.2754	0	23	0	0	0	0	0	0	0	0
ASV.2755	0	23	0	0	0	0	0	0	0	0
ASV.2756	0	7	16	0	0	0	0	0	0	0
ASV.2758	0	23	0	0	0	0	0	0	0	0
ASV.2759	0	23	0	0	0	0	0	0	0	0
ASV.2760	0	23	0	0	0	0	0	0	0	0
ASV.2761	0	0	23	0	0	0	0	0	0	0
ASV.2762	0	0	20	0	3	0	0	0	0	0
ASV.2763	0	0	10	13	0	0	0	0	0	0
ASV.2764	0	0	0	23	0	0	0	0	0	0
ASV.2765	0	0	0	23	0	0	0	0	0	0
ASV.2766	0	0	0	23	0	0	0	0	0	0
ASV.2767	0	0	0	23	0	0	0	0	0	0
ASV.2768	0	0	0	23	0	0	0	0	0	0
ASV.2769	0	0	0	23	0	0	0	0	0	0
ASV.2770	0	0	0	23	0	0	0	0	0	0
ASV.2771	0	0	0	23	0	0	0	0	0	0
ASV.2772	0	0	0	23	0	0	0	0	0	0
ASV.2773	0	0	0	23	0	0	0	0	0	0
ASV.2774	0	0	0	23	0	0	0	0	0	0
ASV.2775	0	0	0	23	0	0	0	0	0	0
ASV.2776	0	0	0	23	0	0	0	0	0	0
ASV.2777	0	0	0	23	0	0	0	0	0	0
ASV.2778	0	0	0	23	0	0	0	0	0	0
ASV.2779	0	0	0	23	0	0	0	0	0	0
ASV.2780	0	0	0	23	0	0	0	0	0	0
ASV.2781	0	0	0	23	0	0	0	0	0	0
ASV.2782	0	0	0	23	0	0	0	0	0	0
ASV.2783	0	0	0	23	0	0	0	0	0	0
ASV.2784	0	0	0	23	0	0	0	0	0	0
ASV.2785	0	0	0	23	0	0	0	0	0	0
ASV.2786	0	0	0	23	0	0	0	0	0	0
ASV.2787	0	0	0	10	0	0	10	3	0	0
ASV.2788	0	0	0	23	0	0	0	0	0	0
ASV.2789	0	0	0	23	0	0	0	0	0	0
ASV.2791	0	0	0	23	0	0	0	0	0	0
ASV.2792	0	0	0	23	0	0	0	0	0	0
ASV.2793	0	0	0	18	0	0	0	0	0	5
ASV.2794	0	0	0	23	0	0	0	0	0	0
ASV.2795	0	0	0	23	0	0	0	0	0	0
ASV.2796	0	0	0	23	0	0	0	0	0	0
ASV.2797	0	0	0	0	23	0	0	0	0	0
ASV.2798	0	0	0	0	0	23	0	0	0	0
ASV.2799	0	0	0	0	0	23	0	0	0	0
ASV.2802	0	0	0	0	0	0	23	0	0	0
ASV.2803	0	0	0	0	0	0	0	15	8	0
ASV.2804	0	0	0	0	0	0	0	0	23	0
ASV.2805	0	0	0	0	0	0	0	0	23	0
ASV.2806	0	0	0	0	0	0	0	0	0	23
ASV.2807	0	0	0	0	0	0	0	0	0	23
ASV.2808	0	0	0	0	0	0	0	0	0	23
ASV.2809	0	0	0	0	0	0	0	0	0	23
ASV.2810	0	0	0	0	0	0	0	0	0	23
ASV.2811	0	0	0	0	0	0	0	0	0	23
ASV.2812	0	0	0	0	0	0	0	0	0	23
ASV.2813	22	0	0	0	0	0	0	0	0	0
ASV.2814	22	0	0	0	0	0	0	0	0	0
ASV.2815	22	0	0	0	0	0	0	0	0	0
ASV.2816	22	0	0	0	0	0	0	0	0	0
ASV.2817	22	0	0	0	0	0	0	0	0	0
ASV.2818	22	0	0	0	0	0	0	0	0	0
ASV.2819	18	0	0	0	0	0	0	0	0	4
ASV.2820	22	0	0	0	0	0	0	0	0	0
ASV.2821	22	0	0	0	0	0	0	0	0	0
ASV.2822	22	0	0	0	0	0	0	0	0	0
ASV.2823	22	0	0	0	0	0	0	0	0	0
ASV.2824	22	0	0	0	0	0	0	0	0	0
ASV.2825	22	0	0	0	0	0	0	0	0	0
ASV.2826	22	0	0	0	0	0	0	0	0	0
ASV.2827	22	0	0	0	0	0	0	0	0	0
ASV.2828	22	0	0	0	0	0	0	0	0	0
ASV.2829	16	0	0	0	0	0	0	0	0	6
ASV.2830	22	0	0	0	0	0	0	0	0	0
ASV.2831	22	0	0	0	0	0	0	0	0	0
ASV.2832	3	0	0	0	0	0	0	0	0	19
ASV.2833	22	0	0	0	0	0	0	0	0	0
ASV.2834	22	0	0	0	0	0	0	0	0	0
ASV.2835	9	0	0	0	0	0	0	0	0	13
ASV.2836	22	0	0	0	0	0	0	0	0	0
ASV.2837	22	0	0	0	0	0	0	0	0	0
ASV.2838	22	0	0	0	0	0	0	0	0	0
ASV.2839	22	0	0	0	0	0	0	0	0	0
ASV.2840	22	0	0	0	0	0	0	0	0	0
ASV.2841	22	0	0	0	0	0	0	0	0	0
ASV.2842	22	0	0	0	0	0	0	0	0	0
ASV.2843	0	22	0	0	0	0	0	0	0	0
ASV.2844	0	22	0	0	0	0	0	0	0	0
ASV.2845	0	11	11	0	0	0	0	0	0	0
ASV.2846	0	22	0	0	0	0	0	0	0	0
ASV.2847	0	22	0	0	0	0	0	0	0	0
ASV.2848	0	22	0	0	0	0	0	0	0	0
ASV.2849	0	12	10	0	0	0	0	0	0	0
ASV.2850	0	22	0	0	0	0	0	0	0	0
ASV.2851	0	22	0	0	0	0	0	0	0	0
ASV.2852	0	22	0	0	0	0	0	0	0	0
ASV.2853	0	22	0	0	0	0	0	0	0	0
ASV.2854	0	22	0	0	0	0	0	0	0	0
ASV.2855	0	22	0	0	0	0	0	0	0	0
ASV.2856	0	12	10	0	0	0	0	0	0	0
ASV.2857	0	22	0	0	0	0	0	0	0	0
ASV.2858	0	22	0	0	0	0	0	0	0	0
ASV.2859	0	22	0	0	0	0	0	0	0	0
ASV.2860	0	22	0	0	0	0	0	0	0	0
ASV.2861	0	22	0	0	0	0	0	0	0	0
ASV.2862	0	6	16	0	0	0	0	0	0	0
ASV.2863	0	22	0	0	0	0	0	0	0	0
ASV.2864	0	22	0	0	0	0	0	0	0	0
ASV.2865	0	22	0	0	0	0	0	0	0	0
ASV.2866	0	22	0	0	0	0	0	0	0	0
ASV.2867	0	22	0	0	0	0	0	0	0	0
