SRR13240302	SRR13240303	SRR13240304	SRR13240305	SRR13240306	SRR13240307	SRR13240308	SRR13240309	SRR13240310	SRR13240311
ASV.139	0	0	0	0	0	0	0	0	292	0
ASV.140	0	24	29	236	0	0	0	0	0	0
ASV.141	0	0	0	0	0	0	0	52	236	0
ASV.142	257	0	0	0	0	0	0	0	0	29
ASV.143	147	0	0	38	0	0	0	0	0	99
ASV.144	0	0	0	0	284	0	0	0	0	0
ASV.145	0	0	0	0	0	0	284	0	0	0
ASV.147	0	0	0	0	0	0	0	0	282	0
ASV.148	0	0	0	0	0	0	0	0	279	0
ASV.149	0	0	0	0	0	0	0	0	278	0
ASV.150	0	272	0	0	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	270	0	0	0
ASV.152	0	0	0	0	0	0	266	0	0	0
ASV.154	0	263	0	0	0	0	0	0	0	0
ASV.155	0	20	0	0	0	0	242	0	0	0
ASV.156	0	232	26	0	2	0	0	0	0	0
ASV.157	0	0	40	217	0	0	0	0	0	0
ASV.158	0	0	138	117	0	0	0	0	0	0
ASV.159	0	0	0	0	255	0	0	0	0	0
ASV.160	0	0	24	229	0	0	0	0	0	0
ASV.161	0	219	27	0	0	0	0	0	0	0
ASV.162	112	0	0	18	0	0	0	0	0	114
ASV.163	0	244	0	0	0	0	0	0	0	0
ASV.164	0	0	0	238	0	0	0	0	0	0
ASV.165	0	0	0	0	0	0	0	237	0	0
ASV.166	0	0	0	0	0	0	0	0	237	0
ASV.168	0	0	37	194	0	0	0	0	0	0
ASV.169	116	0	0	0	0	0	0	0	0	114
ASV.170	229	0	0	0	0	0	0	0	0	0
ASV.171	0	229	0	0	0	0	0	0	0	0
ASV.173	0	122	102	0	0	0	0	0	0	0
ASV.174	0	0	0	0	0	0	0	0	221	0
ASV.175	0	0	10	210	0	0	0	0	0	0
ASV.176	0	0	0	2	107	3	26	7	73	2
ASV.177	0	0	0	0	0	0	217	0	0	0
ASV.178	185	0	3	0	0	0	0	0	0	26
ASV.179	0	0	0	0	213	0	0	0	0	0
ASV.180	0	0	0	0	0	0	212	0	0	0
ASV.181	0	0	0	0	0	0	210	0	0	0
ASV.182	0	0	120	89	0	0	0	0	0	0
ASV.183	0	0	0	77	0	0	0	0	86	44
ASV.184	0	6	37	163	0	0	0	0	0	0
ASV.185	87	0	11	6	0	0	0	0	0	101
ASV.186	0	140	65	0	0	0	0	0	0	0
