Turk001-60663	Turk002-60836	Turk003-64283	Turk004-61107	Turk005-61293	Turk006-61492	Turk007-61980	Turk010-60665	Turk011-60838	Turk012-64287	Turk013-61115	Turk014-61297	Turk015-61600	Turk016-62051	Turk019-60667	Turk020-60875	Turk021-64291	Turk022-61155	Turk023-61301	Turk024-61604	Turk025-62059	Turk028-60690	Turk029-60883	Turk030-64295	Turk031-61159	Turk032-61380	Turk033-61837	Turk034-64519	Turk037-60692	Turk038-60909	Turk039-61091	Turk040-61167	Turk041-61388	Turk042-61845	Turk043-64524	Turk045-64121	Turk046-60917	Turk047-61099	Turk048-61197	Turk049-61424	Turk050-61868	Turk051-64631	Turk053-64125	Turk054-64160	Turk055-61107	Turk056-61198	Turk057-61432	Turk058-61876	Turk059-64634	Turk061-64126	Turk062-64275	Turk063-61115	Turk064-61199	Turk065-61484	Turk066-61972	Turk067-64223
ASV.51	1248	0	0	10	31	0	0	1472	31	0	0	0	0	0	961	0	0	0	32	0	0	0	0	0	0	0	24	0	0	0	0	0	69	0	0	0	0	0	10	0	0	0	0	9	0	6	0	0	0	0	99	0	0	0	0	0
ASV.53	0	0	0	0	0	677	78	0	0	103	302	0	0	0	0	0	0	0	0	27	210	0	0	0	0	0	0	0	0	0	0	205	503	58	0	0	0	363	0	0	0	0	0	226	0	0	124	92	378	0	0	0	642	0	0	0
ASV.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	0	0	0	0	0	0	0	0	0	0	0	0	0	1094	0	0	0	0	0	0	513	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	1188
ASV.57	0	0	0	0	0	131	0	0	0	77	169	604	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	372	72	726	0	0	53	116	0	0	0	0	0	198	0	0	316	241	0	0	0	0	335	0	0	0
ASV.59	2210	0	0	0	0	0	0	1265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.60	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	443	0	0	1294	0	0	0	0	0	0	0	0	0	0	0	0	143	425	304	0	0	0	0	0	0	0	0	0	0	0	197	289	0
ASV.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3435	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	2289	0	0	0	0	0	0	0	0	372	559	0	0	0	0	0	0	0	0
ASV.63	0	0	0	0	0	0	0	0	0	0	0	0	0	1746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	489	903	0
ASV.64	632	0	16	0	105	0	0	535	0	34	46	71	19	0	0	118	0	113	44	0	0	0	0	0	20	65	0	0	0	30	0	0	51	0	0	41	853	0	35	0	0	0	0	157	0	84	6	0	0	0	118	0	74	0	0	82
