SRR13612850	SRR13612851	SRR13612852	SRR13612853
ASV.1	26513	26788	25000	25335
ASV.2	2600	8264	7083	8529
ASV.3	915	1670	997	722
ASV.4	322	1780	1249	900
ASV.5	428	1423	1541	785
ASV.11	111	937	505	101
ASV.13	428	446	299	287
ASV.18	199	225	192	140
ASV.20	29	164	137	181
ASV.21	80	158	107	132
ASV.27	0	57	72	126
ASV.28	110	114	0	24
ASV.34	0	71	53	83
ASV.35	0	57	71	62
ASV.36	18	44	58	60
ASV.38	0	60	47	68
ASV.43	15	40	50	48
ASV.44	8	43	44	42
ASV.57	0	27	0	56
ASV.58	82	0	0	0
ASV.64	14	50	0	9
ASV.66	61	10	0	0
ASV.68	0	0	70	0
ASV.71	0	19	11	32
ASV.72	60	0	0	0
ASV.75	23	17	0	10
ASV.78	0	0	48	0
ASV.79	0	0	46	0
ASV.82	0	7	17	18
ASV.84	0	0	17	21
ASV.86	0	0	0	35
ASV.87	29	5	0	0
ASV.88	0	0	32	0
ASV.89	31	0	0	0
ASV.91	0	15	0	16
ASV.94	28	0	0	0
ASV.95	28	0	0	0
ASV.96	17	11	0	0
ASV.98	0	28	0	0
ASV.99	21	0	6	0
ASV.103	0	0	25	0
ASV.104	24	0	0	0
ASV.106	0	14	0	10
ASV.107	0	15	0	9
ASV.109	0	0	0	23
ASV.110	22	0	0	0
ASV.112	0	0	0	21
ASV.113	20	0	0	0
ASV.115	13	0	0	6
ASV.118	18	0	0	0
ASV.121	0	0	0	17
ASV.122	16	0	0	0
ASV.123	15	0	0	0
ASV.127	14	0	0	0
ASV.128	0	14	0	0
ASV.129	13	0	0	0
ASV.130	0	4	9	0
ASV.132	12	0	0	0
ASV.133	12	0	0	0
ASV.134	12	0	0	0
ASV.135	12	0	0	0
ASV.138	0	12	0	0
ASV.139	0	0	0	12
ASV.140	11	0	0	0
ASV.141	11	0	0	0
ASV.142	0	8	3	0
ASV.147	0	0	11	0
ASV.148	10	0	0	0
ASV.151	0	10	0	0
ASV.155	0	0	10	0
ASV.156	0	0	0	10
ASV.157	9	0	0	0
ASV.158	9	0	0	0
ASV.159	9	0	0	0
ASV.162	0	0	9	0
ASV.163	0	0	9	0
ASV.164	0	0	0	9
ASV.165	0	0	0	9
ASV.166	8	0	0	0
ASV.167	8	0	0	0
ASV.169	0	8	0	0
ASV.171	0	0	4	4
ASV.172	0	0	3	5
ASV.174	0	0	0	8
ASV.175	0	0	0	8
ASV.176	0	0	0	8
ASV.177	0	0	0	8
