ids1	ids2
AUID.1099	AUID.1978
AUID.1100	AUID.1986
AUID.1101	AUID.1996
AUID.1102	AUID.2007
AUID.1103	AUID.2016
AUID.1104	AUID.2027
AUID.1105	AUID.2038
AUID.1106	AUID.2047
AUID.1107	AUID.2056
AUID.1108	AUID.2067
AUID.1109	AUID.2077
AUID.1110	AUID.2088
AUID.1111	AUID.2099
AUID.1112	AUID.2109
AUID.1113	AUID.2120
AUID.1114	AUID.2132
AUID.1115	AUID.2142
AUID.1116	AUID.2153
AUID.1117	AUID.2164
AUID.1118	AUID.2173
AUID.1119	AUID.2184
AUID.1120	AUID.2194
AUID.1121	AUID.2204
AUID.1122	AUID.2215
AUID.1123	AUID.2226
AUID.1124	AUID.2236
AUID.1125	AUID.2245
AUID.1126	AUID.2255
AUID.1127	AUID.2264
AUID.1128	AUID.2275
AUID.1129	AUID.2283
AUID.1130	AUID.2291
AUID.1131	AUID.2301
AUID.1132	AUID.2309
AUID.1133	AUID.2317
AUID.1134	AUID.2328
AUID.1135	AUID.2338
AUID.1136	AUID.2349
AUID.1137	AUID.2358
AUID.1138	AUID.2367
AUID.1139	AUID.2378
AUID.1140	AUID.2388
AUID.1141	AUID.2397
AUID.1142	AUID.2407
AUID.1143	AUID.2417
AUID.1144	AUID.2428
AUID.1145	AUID.2437
AUID.1146	AUID.2445
AUID.1147	AUID.2455
AUID.1148	AUID.2466
AUID.1149	AUID.2477
AUID.1150	AUID.2486
AUID.1151	AUID.2495
AUID.1152	AUID.2506
AUID.1153	AUID.2516
AUID.1154	AUID.1057
AUID.1155	AUID.1068
AUID.1156	AUID.1076
AUID.1157	AUID.1084
AUID.1158	AUID.1094
AUID.1159	AUID.1104
AUID.1160	AUID.1114
AUID.1161	AUID.1125
AUID.1162	AUID.1135
AUID.1163	AUID.1146
AUID.1164	AUID.1154
AUID.1165	AUID.1163
AUID.1166	AUID.1172
AUID.1167	AUID.1182
AUID.1168	AUID.1193
AUID.1169	AUID.1202
AUID.1170	AUID.1209
AUID.1171	AUID.1219
AUID.1172	AUID.1230
AUID.1173	AUID.1241
AUID.1174	AUID.1252
AUID.1175	AUID.1278
AUID.1176	AUID.1289
AUID.1177	AUID.1300
AUID.1178	AUID.1310
AUID.1179	AUID.1321
AUID.1180	AUID.1332
AUID.1181	AUID.1343
AUID.1182	AUID.1353
AUID.1183	AUID.1360
AUID.1184	AUID.1370
AUID.1185	AUID.1380
AUID.1186	AUID.1390
AUID.1187	AUID.1400
AUID.1188	AUID.1409
AUID.1189	AUID.1417
AUID.1190	AUID.1428
AUID.1191	AUID.1439
AUID.1192	AUID.1451
AUID.1193	AUID.1461
AUID.1194	AUID.1481
AUID.1195	AUID.1489
AUID.1196	AUID.1497
AUID.1197	AUID.1507
AUID.1198	AUID.1516
AUID.1199	AUID.1526
AUID.1200	AUID.1537
AUID.1201	AUID.1548
AUID.1202	AUID.1558
AUID.1203	AUID.1569
AUID.1204	AUID.1579
AUID.1205	AUID.1590
AUID.1206	AUID.1599
AUID.1207	AUID.1609
AUID.1208	AUID.1619
AUID.1209	AUID.1630
AUID.1210	AUID.1641
AUID.1211	AUID.1653
AUID.1212	AUID.1663
AUID.1213	AUID.1672
AUID.1214	AUID.1677
AUID.1215	AUID.1678
AUID.1216	AUID.1679
AUID.1217	AUID.1680
AUID.1218	AUID.1681
AUID.1219	AUID.1682
AUID.1220	AUID.1683
AUID.1221	AUID.1685
AUID.1222	AUID.1686
AUID.1223	AUID.1687
AUID.1224	AUID.1688
AUID.1225	AUID.1689
AUID.1226	AUID.1690
AUID.1227	AUID.1691
AUID.1228	AUID.1692
AUID.1229	AUID.1693
AUID.1230	AUID.1694
AUID.1231	AUID.1696
AUID.1232	AUID.1697
AUID.1233	AUID.1698
AUID.1234	AUID.1699
AUID.1235	AUID.1700
AUID.1236	AUID.1701
AUID.1237	AUID.1702
AUID.1238	AUID.1703
AUID.1239	AUID.1704
AUID.1240	AUID.1706
AUID.1241	AUID.1707
AUID.1243	AUID.1709
AUID.1244	AUID.1710
AUID.1245	AUID.1711
AUID.1246	AUID.1712
AUID.1247	AUID.1713
AUID.1248	AUID.1714
AUID.1249	AUID.1715
AUID.1250	AUID.1718
AUID.1251	AUID.1719
AUID.1252	AUID.1720
AUID.1253	AUID.1721
AUID.1254	AUID.1722
AUID.1255	AUID.1723
AUID.1256	AUID.1724
AUID.1257	AUID.1725
AUID.1258	AUID.1727
AUID.1259	AUID.1728
AUID.1260	AUID.1729
AUID.1261	AUID.1730
AUID.1262	AUID.1731
AUID.1263	AUID.1732
AUID.1264	AUID.1733
AUID.1265	AUID.1734
AUID.1266	AUID.1735
AUID.1267	AUID.1737
AUID.1268	AUID.1738
AUID.1269	AUID.1739
AUID.1270	AUID.1740
AUID.1271	AUID.1741
AUID.1272	AUID.1742
AUID.1273	AUID.1743
AUID.1274	AUID.1744
AUID.1275	AUID.1745
AUID.1276	AUID.1746
AUID.1277	AUID.1748
AUID.1278	AUID.1749
AUID.1279	AUID.1750
AUID.1280	AUID.1751
AUID.1281	AUID.1752
AUID.1282	AUID.1753
AUID.1283	AUID.1754
AUID.1284	AUID.1755
AUID.1285	AUID.1756
AUID.1286	AUID.1758
AUID.1287	AUID.1759
AUID.1288	AUID.1760
AUID.1289	AUID.1761
AUID.1290	AUID.1762
AUID.1291	AUID.1763
AUID.1292	AUID.1764
AUID.1293	AUID.1765
AUID.1294	AUID.1766
AUID.1295	AUID.1767
AUID.1296	AUID.1769
AUID.1297	AUID.1770
AUID.1298	AUID.1771
AUID.1299	AUID.1772
AUID.1300	AUID.1773
AUID.1301	AUID.1774
AUID.1302	AUID.1775
AUID.1303	AUID.1776
AUID.1304	AUID.1777
AUID.1305	AUID.1778
AUID.1306	AUID.1780
AUID.1307	AUID.1781
AUID.1308	AUID.1782
AUID.1309	AUID.1783
AUID.1310	AUID.1784
AUID.1311	AUID.1785
AUID.1312	AUID.1786
AUID.1313	AUID.1787
AUID.1314	AUID.1788
AUID.1315	AUID.1789
AUID.1316	AUID.1791
AUID.1317	AUID.1792
AUID.1318	AUID.1793
AUID.1319	AUID.1794
AUID.1320	AUID.1795
AUID.1321	AUID.1796
AUID.1322	AUID.1797
AUID.1323	AUID.1798
AUID.1324	AUID.1799
AUID.1325	AUID.1801
AUID.1326	AUID.1802
AUID.1327	AUID.1803
AUID.1328	AUID.1804
AUID.1329	AUID.1805
AUID.1330	AUID.1806
AUID.1331	AUID.1807
AUID.1332	AUID.1808
AUID.1333	AUID.1809
AUID.1334	AUID.1810
AUID.1335	AUID.1812
AUID.1336	AUID.1813
AUID.1337	AUID.1814
AUID.1338	AUID.1815
AUID.1339	AUID.1816
AUID.1340	AUID.1817
AUID.1341	AUID.1818
AUID.1342	AUID.1819
AUID.1343	AUID.1820
AUID.1344	AUID.1821
AUID.1345	AUID.1824
AUID.1346	AUID.1825
AUID.1347	AUID.1826
AUID.1348	AUID.1827
AUID.1349	AUID.1828
AUID.1350	AUID.1829
AUID.1351	AUID.1830
AUID.1353	AUID.1832
AUID.1354	AUID.1834
AUID.1355	AUID.1835
AUID.1356	AUID.1836
AUID.1357	AUID.1837
AUID.1358	AUID.1838
AUID.1359	AUID.1839
AUID.1360	AUID.1840
AUID.1361	AUID.1841
AUID.1362	AUID.1842
AUID.1363	AUID.1844
AUID.1364	AUID.1845
AUID.1365	AUID.1846
AUID.1366	AUID.1847
AUID.1367	AUID.1848
AUID.1368	AUID.1849
AUID.1369	AUID.1850
AUID.1370	AUID.1851
AUID.1371	AUID.1852
AUID.1372	AUID.1853
AUID.1373	AUID.1855
AUID.1374	AUID.1856
AUID.1376	AUID.1858
AUID.1377	AUID.1859
AUID.1378	AUID.1860
AUID.1379	AUID.1861
AUID.1380	AUID.1862
AUID.1381	AUID.1863
AUID.1382	AUID.1864
AUID.1383	AUID.1866
AUID.1384	AUID.1867
AUID.1385	AUID.1868
AUID.1386	AUID.1869
AUID.1387	AUID.1870
AUID.1388	AUID.1871
AUID.1389	AUID.1872
AUID.1390	AUID.1873
AUID.1391	AUID.1874
AUID.1392	AUID.1875
AUID.1393	AUID.1877
AUID.1394	AUID.1878
AUID.1395	AUID.1879
AUID.1396	AUID.1880
AUID.1397	AUID.1881
AUID.1398	AUID.1882
AUID.1399	AUID.1883
AUID.1400	AUID.1884
AUID.1401	AUID.1885
AUID.1402	AUID.1887
AUID.1403	AUID.1888
AUID.1404	AUID.1889
AUID.1405	AUID.1890
AUID.1406	AUID.1891
AUID.1407	AUID.1892
AUID.1408	AUID.1893
AUID.1409	AUID.1894
AUID.1410	AUID.1895
AUID.1411	AUID.1896
AUID.1412	AUID.1898
AUID.1414	AUID.1900
AUID.1415	AUID.1901
AUID.1416	AUID.1902
AUID.1417	AUID.1903
AUID.1418	AUID.1904
AUID.1419	AUID.1905
AUID.1420	AUID.1906
AUID.1421	AUID.1908
AUID.1422	AUID.1909
AUID.1423	AUID.1910
AUID.1424	AUID.1911
AUID.1425	AUID.1912
AUID.1426	AUID.1913
AUID.1427	AUID.1914
AUID.1428	AUID.1915
AUID.1429	AUID.1916
AUID.1430	AUID.1917
AUID.1431	AUID.1919
AUID.1432	AUID.1920
AUID.1433	AUID.1921
AUID.1434	AUID.1922
AUID.1435	AUID.1923
AUID.1436	AUID.1924
AUID.1437	AUID.1925
AUID.1438	AUID.1926
AUID.1439	AUID.1927
AUID.1440	AUID.1930
AUID.1441	AUID.1931
AUID.1442	AUID.1932
AUID.1443	AUID.1933
AUID.1444	AUID.1934
AUID.1445	AUID.1935
AUID.1446	AUID.1936
AUID.1447	AUID.1937
AUID.1448	AUID.1939
AUID.1449	AUID.1940
AUID.1450	AUID.1941
AUID.1451	AUID.1942
AUID.1452	AUID.1943
AUID.1453	AUID.1944
AUID.1454	AUID.1945
AUID.1455	AUID.1946
AUID.1456	AUID.1947
AUID.1457	AUID.1949
AUID.1458	AUID.1950
AUID.1459	AUID.1951
AUID.1460	AUID.1952
AUID.1461	AUID.1953
AUID.1462	AUID.1954
AUID.1463	AUID.1955
AUID.1464	AUID.1956
AUID.1465	AUID.1957
AUID.1466	AUID.1959
AUID.1467	AUID.1960
AUID.1468	AUID.1961
AUID.1469	AUID.1962
AUID.1470	AUID.1963
AUID.1471	AUID.1964
AUID.1472	AUID.1965
AUID.1473	AUID.1966
AUID.1474	AUID.1968
AUID.1475	AUID.1969
AUID.1476	AUID.1970
AUID.1477	AUID.1971
AUID.1479	AUID.1973
AUID.1480	AUID.1974
AUID.1481	AUID.1975
AUID.1482	AUID.1976
AUID.1483	AUID.1977
AUID.1484	AUID.1979
AUID.1485	AUID.1980
AUID.1486	AUID.1981
AUID.1487	AUID.1982
AUID.1488	AUID.1983
AUID.1489	AUID.1984
AUID.1490	AUID.1985
AUID.1491	AUID.1987
AUID.1492	AUID.1988
AUID.1493	AUID.1989
AUID.1494	AUID.1990
AUID.1495	AUID.1991
AUID.1496	AUID.1992
AUID.1497	AUID.1993
AUID.1498	AUID.1994
AUID.1499	AUID.1995
AUID.1501	AUID.1998
AUID.1503	AUID.2000
AUID.1504	AUID.2001
AUID.1505	AUID.2002
AUID.1506	AUID.2003
AUID.1507	AUID.2004
AUID.1508	AUID.2005
AUID.1509	AUID.2006
AUID.1510	AUID.2008
AUID.1511	AUID.2009
AUID.1512	AUID.2010
AUID.1513	AUID.2011
AUID.1514	AUID.2012
AUID.1515	AUID.2013
AUID.1516	AUID.2014
AUID.1518	AUID.2017
AUID.1521	AUID.2020
AUID.1522	AUID.2021
AUID.1523	AUID.2022
AUID.1525	AUID.2024
AUID.1526	AUID.2025
AUID.1527	AUID.2028
AUID.1528	AUID.2029
AUID.1529	AUID.2030
AUID.1530	AUID.2031
AUID.1531	AUID.2032
AUID.1533	AUID.2034
AUID.1534	AUID.2035
AUID.1535	AUID.2036
AUID.1536	AUID.2037
AUID.1537	AUID.2039
AUID.1538	AUID.2040
AUID.1539	AUID.2041
AUID.1540	AUID.2042
AUID.1541	AUID.2043
AUID.1542	AUID.2044
AUID.1543	AUID.2045
AUID.1544	AUID.2046
AUID.1545	AUID.2048
AUID.1546	AUID.2049
AUID.1547	AUID.2050
AUID.1548	AUID.2051
AUID.1549	AUID.2052
AUID.1550	AUID.2053
AUID.1551	AUID.2054
AUID.1553	AUID.2057
AUID.1554	AUID.2058
AUID.1555	AUID.2059
AUID.1556	AUID.2060
AUID.1557	AUID.2061
AUID.1559	AUID.2063
AUID.1561	AUID.2065
AUID.1562	AUID.2066
AUID.1564	AUID.2069
AUID.1565	AUID.2070
AUID.1566	AUID.2071
AUID.1568	AUID.2073
AUID.1569	AUID.2074
AUID.1570	AUID.2075
AUID.1571	AUID.2076
AUID.1572	AUID.2078
AUID.1573	AUID.2079
AUID.1574	AUID.2080
AUID.1575	AUID.2081
AUID.1576	AUID.2082
AUID.1577	AUID.2083
AUID.1578	AUID.2084
AUID.1579	AUID.2085
AUID.1581	AUID.2087
AUID.1582	AUID.2089
AUID.1583	AUID.2090
AUID.1584	AUID.2091
AUID.1585	AUID.2092
AUID.1586	AUID.2093
AUID.1587	AUID.2094
AUID.1588	AUID.2095
AUID.1589	AUID.2096
AUID.1590	AUID.2097
AUID.1592	AUID.2100
AUID.1593	AUID.2101
AUID.1594	AUID.2102
AUID.1595	AUID.2103
AUID.1596	AUID.2104
AUID.1597	AUID.2105
AUID.1598	AUID.2106
AUID.1601	AUID.2110
AUID.1603	AUID.2112
AUID.1604	AUID.2113
AUID.1605	AUID.2114
AUID.1606	AUID.2115
AUID.1607	AUID.2116
AUID.1610	AUID.2119
AUID.1611	AUID.2121
AUID.1612	AUID.2122
AUID.1613	AUID.2123
AUID.1615	AUID.2125
AUID.1618	AUID.2128
AUID.1619	AUID.2129
AUID.1620	AUID.2130
AUID.2450	AUID.1593
AUID.2525	AUID.3578
AUID.2526	AUID.3708
AUID.2527	AUID.2586
AUID.2528	AUID.2658
AUID.2529	AUID.2732
AUID.2530	AUID.2795
AUID.2531	AUID.2955
AUID.2532	AUID.3022
AUID.2533	AUID.3109
AUID.2534	AUID.3243
AUID.2535	AUID.3351
AUID.2536	AUID.3378
AUID.2537	AUID.3388
AUID.2538	AUID.3397
AUID.2539	AUID.3407
AUID.2540	AUID.3437
AUID.2541	AUID.3445
AUID.2542	AUID.3451
AUID.2543	AUID.3459
AUID.2544	AUID.2525
AUID.2545	AUID.3503
AUID.2546	AUID.3511
AUID.2547	AUID.3520
AUID.2548	AUID.3526
AUID.2549	AUID.3538
AUID.2550	AUID.3548
AUID.2552	AUID.3560
AUID.2553	AUID.3568
AUID.2554	AUID.3579
AUID.2555	AUID.3586
AUID.2556	AUID.3591
AUID.2557	AUID.3602
AUID.2558	AUID.3607
AUID.2559	AUID.3614
AUID.2560	AUID.3624
AUID.2561	AUID.3632
AUID.2562	AUID.3646
AUID.2563	AUID.3673
AUID.2564	AUID.3679
AUID.2565	AUID.3685
AUID.2566	AUID.3690
AUID.2567	AUID.3713
AUID.2568	AUID.3718
AUID.2569	AUID.3723
AUID.2572	AUID.3753
AUID.2573	AUID.3757
AUID.2574	AUID.3766
AUID.2575	AUID.3774
AUID.2576	AUID.3784
AUID.2577	AUID.3790
AUID.2578	AUID.3798
AUID.2579	AUID.3804
AUID.2580	AUID.3811
AUID.2581	AUID.3819
AUID.2582	AUID.3827
AUID.2583	AUID.3830
AUID.2584	AUID.3840
AUID.2585	AUID.3861
AUID.2586	AUID.3867
AUID.2587	AUID.3883
AUID.2588	AUID.3892
AUID.2589	AUID.2526
AUID.2590	AUID.2532
AUID.2591	AUID.2538
AUID.2592	AUID.2546
AUID.2593	AUID.2569
AUID.2594	AUID.2583
AUID.2595	AUID.2601
AUID.2596	AUID.2613
AUID.2597	AUID.2622
AUID.2598	AUID.2630
AUID.2599	AUID.2649
AUID.2600	AUID.2659
AUID.2601	AUID.2669
AUID.2602	AUID.2683
AUID.2603	AUID.2688
AUID.2604	AUID.2699
AUID.2605	AUID.2717
AUID.2606	AUID.2742
AUID.2607	AUID.2748
AUID.2608	AUID.2757
AUID.2609	AUID.2766
AUID.2610	AUID.2779
AUID.2611	AUID.2783
AUID.2612	AUID.2789
AUID.2613	AUID.2796
AUID.2614	AUID.2807
AUID.2615	AUID.2818
AUID.2616	AUID.2825
AUID.2617	AUID.2830
AUID.2618	AUID.2840
AUID.2619	AUID.2848
AUID.2621	AUID.2859
AUID.2622	AUID.2868
AUID.2623	AUID.2879
AUID.2624	AUID.2896
AUID.2625	AUID.2901
AUID.2626	AUID.2908
AUID.2627	AUID.2911
AUID.2628	AUID.2921
AUID.2629	AUID.2927
AUID.2630	AUID.2934
AUID.2632	AUID.2963
AUID.2633	AUID.2990
AUID.2634	AUID.2995
AUID.2635	AUID.2996
AUID.2636	AUID.3001
AUID.2637	AUID.3015
AUID.2638	AUID.3032
AUID.2639	AUID.3043
AUID.2640	AUID.3052
AUID.2641	AUID.3070
AUID.2642	AUID.3097
AUID.2643	AUID.3105
AUID.2644	AUID.3110
AUID.2645	AUID.3128
AUID.2646	AUID.3136
AUID.2647	AUID.3147
AUID.2648	AUID.3160
AUID.2649	AUID.3168
AUID.2650	AUID.3177
AUID.2651	AUID.3187
AUID.2652	AUID.3197
AUID.2653	AUID.3202
AUID.2654	AUID.3203
AUID.2655	AUID.3208
AUID.2656	AUID.3210
AUID.2657	AUID.3214
AUID.2658	AUID.3217
AUID.2659	AUID.3222
AUID.2660	AUID.3244
AUID.2661	AUID.3249
AUID.2662	AUID.3256
AUID.2663	AUID.3264
AUID.2664	AUID.3275
AUID.2665	AUID.3280
AUID.2666	AUID.3282
AUID.2667	AUID.3283
AUID.2668	AUID.3286
AUID.2669	AUID.3291
AUID.2670	AUID.3294
AUID.2671	AUID.3302
AUID.2672	AUID.3309
AUID.2673	AUID.3326
AUID.2674	AUID.3334
AUID.2675	AUID.3337
AUID.2676	AUID.3348
AUID.2677	AUID.3360
AUID.2678	AUID.3366
AUID.2679	AUID.3370
AUID.2681	AUID.3375
AUID.2682	AUID.3376
AUID.2683	AUID.3379
AUID.2684	AUID.3380
AUID.2685	AUID.3381
AUID.2686	AUID.3382
AUID.2687	AUID.3383
AUID.2688	AUID.3384
AUID.2689	AUID.3385
AUID.2690	AUID.3386
AUID.2691	AUID.3391
AUID.2692	AUID.3393
AUID.2693	AUID.3394
AUID.2694	AUID.3395
AUID.2696	AUID.3398
AUID.2697	AUID.3399
AUID.2698	AUID.3400
AUID.2699	AUID.3401
AUID.2700	AUID.3402
AUID.2701	AUID.3403
AUID.2702	AUID.3404
AUID.2703	AUID.3405
AUID.2704	AUID.3406
AUID.2705	AUID.3408
AUID.2707	AUID.3410
AUID.2708	AUID.3411
AUID.2709	AUID.3412
AUID.2710	AUID.3413
AUID.2711	AUID.3414
AUID.2713	AUID.3416
AUID.2714	AUID.3417
AUID.2715	AUID.3418
AUID.2716	AUID.3419
AUID.2717	AUID.3420
AUID.2718	AUID.3421
AUID.2719	AUID.3422
AUID.2720	AUID.3423
AUID.2721	AUID.3424
AUID.2722	AUID.3425
AUID.2723	AUID.3426
AUID.2724	AUID.3427
AUID.2725	AUID.3428
AUID.2726	AUID.3429
AUID.2727	AUID.3430
AUID.2728	AUID.3431
AUID.2729	AUID.3432
AUID.2730	AUID.3433
AUID.2731	AUID.3434
AUID.2732	AUID.3435
AUID.2733	AUID.3436
AUID.2734	AUID.3438
AUID.2736	AUID.3440
AUID.2737	AUID.3441
AUID.2738	AUID.3442
AUID.2739	AUID.3443
AUID.2740	AUID.3444
AUID.2741	AUID.3446
AUID.2742	AUID.3447
AUID.2743	AUID.3448
AUID.2744	AUID.3449
AUID.2745	AUID.3450
AUID.2746	AUID.3452
AUID.2747	AUID.3453
AUID.2748	AUID.3454
AUID.2749	AUID.3455
