SAMPLEID,coastal.200km
SRR13240302,FALSE
SRR13240303,TRUE
SRR13240304,TRUE
SRR13240305,TRUE
SRR13240306_transcriptomic,TRUE
SRR13240307_transcriptomic,TRUE
SRR13240308_transcriptomic,TRUE
SRR13240309_transcriptomic,TRUE
SRR13240310_transcriptomic,TRUE
SRR13240311,TRUE
