asvLen	totReads	numSamps
ASV.614	328	28	1
ASV.615	190	28	3
ASV.617	328	28	1
ASV.624	247	27	1
ASV.625	187	27	4
ASV.631	279	26	1
ASV.632	220	26	1
ASV.633	286	26	2
ASV.634	328	26	1
ASV.636	241	26	2
ASV.639	294	26	1
ASV.640	325	26	1
ASV.641	213	26	1
ASV.642	325	26	1
ASV.648	254	25	2
ASV.651	315	25	1
ASV.659	255	24	7
ASV.660	280	24	1
ASV.661	347	24	1
ASV.662	295	24	1
ASV.663	262	24	2
ASV.665	272	24	2
ASV.666	240	24	1
ASV.667	328	24	1
ASV.668	186	24	1
ASV.676	198	23	2
ASV.677	280	23	3
ASV.681	325	23	2
ASV.683	224	23	2
ASV.688	328	22	2
ASV.689	205	22	2
ASV.690	281	22	1
ASV.694	190	22	3
ASV.698	205	22	2
ASV.700	196	22	3
ASV.702	274	22	1
ASV.710	335	21	2
ASV.711	251	21	1
ASV.712	216	21	1
ASV.713	205	21	2
ASV.715	205	21	2
ASV.716	328	21	1
ASV.717	203	21	1
ASV.723	253	21	2
ASV.727	316	21	2
ASV.739	325	20	1
ASV.741	212	20	3
ASV.742	183	20	2
ASV.743	304	20	1
ASV.744	316	20	1
ASV.745	304	20	1
ASV.746	292	20	1
ASV.747	188	20	1
ASV.748	281	20	1
ASV.749	326	20	1
ASV.752	190	20	1
ASV.753	185	20	2
ASV.754	304	20	1
ASV.755	328	20	1
ASV.760	249	19	1
ASV.761	216	19	2
ASV.762	280	19	1
ASV.763	223	19	1
ASV.764	203	19	1
ASV.765	224	19	1
ASV.767	328	19	2
ASV.768	234	19	1
ASV.769	193	19	1
ASV.770	323	19	1
ASV.771	291	19	1
ASV.772	240	19	1
ASV.773	247	19	2
ASV.774	341	19	1
ASV.775	185	19	1
ASV.787	285	18	1
ASV.788	333	18	1
ASV.791	340	18	2
ASV.792	346	18	2
ASV.793	193	18	1
ASV.796	265	18	2
ASV.797	325	18	1
ASV.801	328	17	1
ASV.804	326	17	1
ASV.809	342	17	2
ASV.810	328	17	1
ASV.811	242	17	1
ASV.812	194	17	2
ASV.813	294	17	1
ASV.814	328	17	1
ASV.815	295	17	3
ASV.816	274	17	2
ASV.817	328	17	1
ASV.819	328	17	1
ASV.820	199	17	1
ASV.821	295	17	1
ASV.822	270	17	1
ASV.827	311	16	3
ASV.828	247	16	1
ASV.829	281	16	1
ASV.831	335	16	1
ASV.832	328	16	1
ASV.836	328	16	2
ASV.839	208	16	1
ASV.858	305	15	3
ASV.859	190	15	1
ASV.860	303	15	1
ASV.867	328	15	1
ASV.869	315	15	1
ASV.870	286	15	1
ASV.871	325	15	2
ASV.872	245	15	1
ASV.873	342	15	2
ASV.875	229	15	2
ASV.885	293	14	3
ASV.887	254	14	3
ASV.888	218	14	1
ASV.889	324	14	2
ASV.891	242	14	2
ASV.892	200	14	2
ASV.895	325	14	2
ASV.896	325	14	2
ASV.900	262	14	2
ASV.902	196	14	1
ASV.907	305	14	1
ASV.925	339	13	1
ASV.926	204	13	1
ASV.927	222	13	1
ASV.928	239	13	2
ASV.932	325	13	1
ASV.933	182	13	3
ASV.935	328	13	1
ASV.936	185	13	1
ASV.937	266	13	1
ASV.939	318	13	1
ASV.950	273	12	3
ASV.953	230	12	1
ASV.960	291	12	1
ASV.961	323	12	1
ASV.962	325	12	1
ASV.964	325	12	1
ASV.967	305	12	2
ASV.968	227	12	2
ASV.969	208	12	1
ASV.971	328	12	1
ASV.972	328	12	1
ASV.975	325	12	1
ASV.976	325	12	1
ASV.977	204	12	1
ASV.989	328	11	1
ASV.992	328	11	2
ASV.993	195	11	1
ASV.994	184	11	1
ASV.995	203	11	1
ASV.996	301	11	2
ASV.997	203	11	1
ASV.1008	325	11	1
ASV.1011	217	11	1
ASV.1013	325	11	1
ASV.1014	205	11	1
ASV.1015	268	11	1
ASV.1016	239	11	1
ASV.1017	295	11	1
ASV.1019	198	10	1
ASV.1025	292	10	4
ASV.1040	239	10	1
ASV.1041	274	10	1
ASV.1042	204	10	1
ASV.1043	340	10	1
ASV.1044	193	10	2
ASV.1045	229	10	1
ASV.1046	227	10	2
ASV.1047	242	10	2
ASV.1048	283	10	1
ASV.1049	261	10	1
ASV.1050	187	10	1
ASV.1052	331	10	1
ASV.1053	205	10	1
ASV.1056	181	10	1
ASV.1058	249	10	2
ASV.1066	269	10	1
ASV.1068	182	10	1
ASV.1069	223	10	1
ASV.1071	278	10	1
ASV.1072	194	10	1
ASV.1073	295	10	2
ASV.1074	282	10	1
ASV.1076	328	10	1
ASV.1078	322	10	1
ASV.1079	190	10	1
ASV.1080	182	10	1
ASV.1081	247	10	2
ASV.1082	182	10	1
ASV.1083	272	10	1
ASV.1108	252	9	1
ASV.1109	212	9	1
ASV.1112	199	9	2
ASV.1114	301	9	2
ASV.1115	189	9	1
ASV.1116	234	9	3
ASV.1119	286	9	1
ASV.1120	293	9	1
ASV.1121	204	9	1
ASV.1123	198	9	1
ASV.1124	344	9	1
ASV.1125	331	9	1
ASV.1127	264	9	1
ASV.1128	203	9	1
ASV.1129	291	9	1
ASV.1130	291	9	1
ASV.1131	205	9	1
ASV.1133	214	9	2
ASV.1140	262	9	1
ASV.1145	277	9	1
ASV.1146	268	9	1
ASV.1147	181	9	1
ASV.1148	196	9	1
ASV.1149	295	9	1
ASV.1151	301	9	2
ASV.1152	225	9	1
ASV.1154	255	9	1
ASV.1155	328	9	1
ASV.1156	181	9	1
ASV.1157	334	9	1
ASV.1158	184	9	1
ASV.1159	207	9	1
ASV.1171	273	8	2
ASV.1172	328	8	1
ASV.1180	299	8	1
ASV.1181	253	8	2
ASV.1183	213	8	1
ASV.1184	278	8	1
ASV.1186	216	8	2
ASV.1188	184	8	1
ASV.1189	309	8	1
ASV.1190	202	8	1
ASV.1191	260	8	1
ASV.1192	219	8	1
ASV.1193	325	8	1
ASV.1195	222	8	2
ASV.1199	325	8	1
ASV.1201	281	8	1
ASV.1202	225	8	1
ASV.1203	204	8	1
ASV.1206	193	8	1
ASV.1207	300	8	1
ASV.1209	217	8	2
ASV.1210	244	8	1
ASV.1216	202	8	1
ASV.1217	332	8	1
ASV.1218	341	8	1
ASV.1219	335	8	1
ASV.1220	210	8	1
ASV.1245	328	7	1
ASV.1251	182	7	2
ASV.1254	213	7	1
ASV.1259	231	7	2
