asvLen	totReads	numSamps
ASV.1	325	59010	3
ASV.2	328	13467	3
ASV.3	325	10508	2
ASV.4	328	9237	3
ASV.5	328	8661	3
ASV.6	328	7961	3
ASV.7	328	1509	3
ASV.8	322	1441	3
ASV.13	325	675	2
ASV.15	328	535	1
ASV.16	328	491	3
ASV.17	325	480	1
ASV.22	328	314	2
ASV.25	282	259	3
ASV.29	325	234	3
ASV.31	325	228	2
ASV.32	328	225	1
ASV.35	328	165	1
ASV.38	325	131	1
ASV.41	322	128	2
ASV.43	255	121	2
ASV.45	335	107	2
ASV.48	322	94	2
ASV.49	328	88	1
ASV.50	231	80	2
ASV.55	328	61	2
ASV.58	285	56	2
ASV.59	340	55	1
ASV.61	255	50	1
ASV.62	282	48	1
ASV.63	322	46	2
ASV.64	340	46	1
ASV.66	201	45	1
ASV.68	314	43	2
ASV.69	202	43	2
ASV.70	314	43	1
ASV.74	325	39	1
ASV.76	325	37	2
ASV.81	283	34	2
ASV.86	198	30	1
ASV.87	322	29	2
ASV.90	316	28	2
ASV.93	282	28	1
ASV.100	201	23	1
ASV.103	325	21	1
ASV.104	262	21	2
ASV.107	272	20	2
ASV.109	328	20	1
ASV.110	325	20	1
ASV.111	328	19	1
ASV.112	328	19	1
ASV.114	292	18	2
ASV.118	325	18	1
ASV.119	198	17	1
ASV.121	328	17	1
ASV.128	195	15	1
ASV.129	325	15	1
ASV.132	321	13	2
ASV.137	285	12	1
ASV.138	234	12	2
ASV.139	296	12	1
ASV.142	223	12	1
ASV.143	292	11	1
ASV.144	200	11	1
ASV.145	200	10	1
ASV.148	199	10	1
ASV.149	255	9	1
ASV.150	276	9	2
ASV.151	252	9	1
ASV.156	214	9	1
ASV.157	322	8	1
ASV.158	196	8	1
ASV.159	325	8	1
ASV.161	216	8	1
ASV.162	263	8	1
ASV.163	316	8	1
ASV.164	316	7	1
ASV.165	276	7	1
ASV.169	316	7	1
ASV.170	329	7	1
ASV.171	229	7	1
ASV.172	212	7	1
ASV.174	213	6	1
ASV.175	197	6	1
ASV.176	322	6	1
ASV.177	256	6	1
ASV.178	253	6	1
ASV.179	254	6	1
ASV.180	296	6	1
ASV.181	247	6	2
ASV.182	284	6	1
ASV.184	253	6	1
ASV.185	291	6	1
ASV.186	325	6	1
ASV.187	336	6	1
ASV.189	237	5	1
ASV.190	211	5	1
ASV.192	355	5	1
ASV.193	207	5	1
ASV.199	288	5	1
ASV.200	282	4	1
ASV.201	347	4	1
ASV.202	244	4	1
ASV.203	311	4	1
ASV.207	316	4	1
ASV.208	311	4	1
ASV.209	272	4	1
ASV.210	256	4	1
ASV.211	238	4	1
ASV.216	199	4	1
ASV.217	205	4	1
ASV.218	196	4	1
ASV.219	207	4	1
ASV.220	206	4	1
ASV.221	252	4	1
ASV.222	198	4	1
ASV.225	325	3	1
ASV.226	255	3	1
ASV.227	198	3	1
ASV.232	281	3	1
ASV.233	224	3	1
ASV.234	221	3	1
ASV.235	345	3	1
ASV.236	310	3	1
ASV.237	198	3	1
ASV.245	241	3	1
ASV.246	223	3	1
ASV.247	259	3	1
ASV.248	202	3	1
ASV.249	328	3	1
ASV.250	259	3	1
ASV.251	360	3	1
ASV.252	353	3	1
ASV.253	202	3	1
ASV.254	299	3	1
ASV.257	328	3	1
ASV.258	335	2	1
ASV.259	336	2	1
ASV.260	349	2	1
ASV.261	256	2	1
ASV.262	207	2	1
ASV.263	295	2	1
ASV.264	219	2	1
ASV.266	272	2	1
ASV.267	214	2	1
ASV.268	329	2	1
ASV.269	251	2	1
ASV.270	269	2	1
ASV.271	267	2	1
ASV.272	318	2	1
ASV.273	278	2	1
ASV.274	229	2	1
ASV.275	233	2	1
ASV.290	343	2	1
ASV.291	267	2	1
ASV.292	233	2	1
ASV.293	350	2	1
ASV.294	333	2	1
ASV.295	320	2	1
ASV.296	279	2	1
ASV.297	225	2	1
ASV.298	253	2	1
ASV.299	250	2	1
ASV.300	325	2	1
ASV.301	343	2	1
ASV.302	236	2	1
ASV.303	356	2	1
ASV.304	287	2	1
ASV.305	196	2	1
ASV.306	216	2	1
ASV.307	209	2	1
ASV.312	308	2	1
