SRR13612821	SRR13612822	SRR13612823
ASV.1	22828	17612	18570
ASV.2	4217	5573	3677
ASV.3	0	3666	6842
ASV.4	3160	2886	3191
ASV.5	3035	2807	2819
ASV.6	1577	3339	3045
ASV.7	463	568	478
ASV.8	264	547	630
ASV.13	0	431	244
ASV.15	535	0	0
ASV.16	179	143	169
ASV.17	480	0	0
ASV.22	0	148	166
ASV.25	50	113	96
ASV.29	30	95	109
ASV.31	0	170	58
ASV.32	225	0	0
ASV.35	0	0	165
ASV.38	131	0	0
ASV.41	0	48	80
ASV.43	0	51	70
ASV.45	0	42	65
ASV.48	0	40	54
ASV.49	88	0	0
ASV.50	0	26	54
ASV.55	0	17	44
ASV.58	0	21	35
ASV.59	0	55	0
ASV.61	0	0	50
ASV.62	0	0	48
ASV.63	0	21	25
ASV.64	0	0	46
ASV.66	0	0	45
ASV.68	12	31	0
ASV.69	0	15	28
ASV.70	0	0	43
ASV.74	0	0	39
ASV.76	0	19	18
ASV.81	0	15	19
ASV.86	0	0	30
ASV.87	0	9	20
ASV.90	0	6	22
ASV.93	0	0	28
ASV.100	0	23	0
ASV.103	0	21	0
ASV.104	0	10	11
ASV.107	0	13	7
ASV.109	0	0	20
ASV.110	0	0	20
ASV.111	0	19	0
ASV.112	0	0	19
ASV.114	0	10	8
ASV.118	0	0	18
ASV.119	0	17	0
ASV.121	0	0	17
ASV.128	0	0	15
ASV.129	0	0	15
ASV.132	0	8	5
ASV.137	12	0	0
ASV.138	0	4	8
ASV.139	0	12	0
ASV.142	0	0	12
ASV.143	11	0	0
ASV.144	11	0	0
ASV.145	10	0	0
ASV.148	0	0	10
ASV.149	0	9	0
ASV.150	0	4	5
ASV.151	0	9	0
ASV.156	0	0	9
ASV.157	8	0	0
ASV.158	0	8	0
ASV.159	0	8	0
ASV.161	0	0	8
ASV.162	0	0	8
ASV.163	0	0	8
ASV.164	7	0	0
ASV.165	7	0	0
ASV.169	0	0	7
ASV.170	0	0	7
ASV.171	0	0	7
ASV.172	0	0	7
ASV.174	6	0	0
ASV.175	6	0	0
ASV.176	6	0	0
ASV.177	6	0	0
ASV.178	6	0	0
ASV.179	0	6	0
ASV.180	0	6	0
ASV.181	0	3	3
ASV.182	0	6	0
ASV.184	0	6	0
ASV.185	0	0	6
ASV.186	0	0	6
ASV.187	0	0	6
ASV.189	5	0	0
ASV.190	5	0	0
ASV.192	0	5	0
ASV.193	0	5	0
ASV.199	0	0	5
ASV.200	4	0	0
ASV.201	4	0	0
ASV.202	4	0	0
ASV.203	4	0	0
ASV.207	0	4	0
ASV.208	0	4	0
ASV.209	0	4	0
ASV.210	0	4	0
ASV.211	0	4	0
ASV.216	0	0	4
ASV.217	0	0	4
ASV.218	0	0	4
ASV.219	0	0	4
ASV.220	0	0	4
ASV.221	0	0	4
ASV.222	0	0	4
ASV.225	3	0	0
ASV.226	3	0	0
ASV.227	3	0	0
ASV.232	0	3	0
ASV.233	0	3	0
ASV.234	0	3	0
ASV.235	0	3	0
ASV.236	0	3	0
ASV.237	0	3	0
ASV.245	0	0	3
ASV.246	0	0	3
ASV.247	0	0	3
ASV.248	0	0	3
ASV.249	0	0	3
ASV.250	0	0	3
ASV.251	0	0	3
ASV.252	0	0	3
ASV.253	0	0	3
ASV.254	0	0	3
ASV.257	0	0	3
ASV.258	2	0	0
ASV.259	2	0	0
ASV.260	2	0	0
ASV.261	2	0	0
ASV.262	2	0	0
ASV.263	2	0	0
ASV.264	2	0	0
ASV.266	0	2	0
ASV.267	0	2	0
ASV.268	0	2	0
ASV.269	0	2	0
ASV.270	0	2	0
ASV.271	0	2	0
ASV.272	0	2	0
ASV.273	0	2	0
ASV.274	0	2	0
ASV.275	0	2	0
ASV.290	0	2	0
ASV.291	0	2	0
ASV.292	0	0	2
ASV.293	0	0	2
ASV.294	0	0	2
ASV.295	0	0	2
ASV.296	0	0	2
ASV.297	0	0	2
ASV.298	0	0	2
ASV.299	0	0	2
ASV.300	0	0	2
ASV.301	0	0	2
ASV.302	0	0	2
ASV.303	0	0	2
ASV.304	0	0	2
ASV.305	0	0	2
ASV.306	0	0	2
ASV.307	0	0	2
ASV.312	0	0	2
