#Source	Location	Type	TargetDir
RawFastqs/SRR1178385_1.fastq.gz	RoskildeFjord	RNA	RR11
RawFastqs/SRR1178385_2.fastq.gz	RoskildeFjord	RNA	RR11
RawFastqs/SRR1178386_2.fastq.gz	RoskildeFjord	RNA	RR12
RawFastqs/SRR1178386_1.fastq.gz	RoskildeFjord	RNA	RR12
RawFastqs/SRR1178387_1.fastq.gz	RoskildeFjord	RNA	RR13
RawFastqs/SRR1178387_2.fastq.gz	RoskildeFjord	RNA	RR13
RawFastqs/SRR1178388_1.fastq.gz	RoskildeFjord	RNA	RR14
RawFastqs/SRR1178388_2.fastq.gz	RoskildeFjord	RNA	RR14
RawFastqs/SRR1178389_1.fastq.gz	RoskildeFjord	RNA	RR15
RawFastqs/SRR1178389_2.fastq.gz	RoskildeFjord	RNA	RR15
RawFastqs/SRR1178393_1.fastq.gz	RoskildeFjord	DNA	RD3
RawFastqs/SRR1178393_2.fastq.gz	RoskildeFjord	DNA	RD3
RawFastqs/SRR1178394_1.fastq.gz	RoskildeFjord	DNA	RD4
RawFastqs/SRR1178394_2.fastq.gz	RoskildeFjord	DNA	RD4
RawFastqs/SRR1178395_1.fastq.gz	RoskildeFjord	DNA	RD5
RawFastqs/SRR1178395_2.fastq.gz	RoskildeFjord	DNA	RD5
RawFastqs/SRR1178396_1.fastq.gz	RoskildeFjord	DNA	RD6
RawFastqs/SRR1178396_2.fastq.gz	RoskildeFjord	DNA	RD6
RawFastqs/SRR1178397_2.fastq.gz	RoskildeFjord	DNA	RD7
RawFastqs/SRR1178397_1.fastq.gz	RoskildeFjord	DNA	RD7
RawFastqs/SRR1178398_1.fastq.gz	RoskildeFjord	DNA	RD8
RawFastqs/SRR1178398_2.fastq.gz	RoskildeFjord	DNA	RD8
RawFastqs/SRR1178399_1.fastq.gz	RoskildeFjord	DNA	RD11
RawFastqs/SRR1178399_2.fastq.gz	RoskildeFjord	DNA	RD11
RawFastqs/SRR1178406_1.fastq.gz	RoskildeFjord	DNA	RD12
RawFastqs/SRR1178406_2.fastq.gz	RoskildeFjord	DNA	RD12
