SRR13612837	SRR13612838	SRR13612840	SRR13612903	SRR13612904	SRR13612905	SRR13612906
ASV.630	0	3	0	0	0	0	0
ASV.631	0	3	0	0	0	0	0
ASV.632	0	3	0	0	0	0	0
ASV.633	0	3	0	0	0	0	0
ASV.634	0	3	0	0	0	0	0
ASV.635	0	3	0	0	0	0	0
ASV.639	0	3	0	0	0	0	0
ASV.640	0	0	3	0	0	0	0
ASV.641	0	0	3	0	0	0	0
ASV.642	0	0	3	0	0	0	0
ASV.654	0	0	0	3	0	0	0
ASV.655	0	0	0	3	0	0	0
ASV.656	0	0	0	3	0	0	0
ASV.657	0	0	0	3	0	0	0
ASV.658	0	0	0	3	0	0	0
ASV.659	0	0	0	3	0	0	0
ASV.660	0	0	0	3	0	0	0
ASV.661	0	0	0	3	0	0	0
ASV.662	0	0	0	3	0	0	0
ASV.663	0	0	0	3	0	0	0
ASV.664	0	0	0	3	0	0	0
ASV.665	0	0	0	3	0	0	0
ASV.666	0	0	0	3	0	0	0
ASV.667	0	0	0	3	0	0	0
ASV.668	0	0	0	3	0	0	0
ASV.669	0	0	0	3	0	0	0
ASV.670	0	0	0	3	0	0	0
ASV.671	0	0	0	3	0	0	0
ASV.672	0	0	0	3	0	0	0
ASV.673	0	0	0	3	0	0	0
ASV.674	0	0	0	3	0	0	0
ASV.675	0	0	0	3	0	0	0
ASV.676	0	0	0	3	0	0	0
ASV.677	0	0	0	3	0	0	0
ASV.678	0	0	0	3	0	0	0
ASV.679	0	0	0	3	0	0	0
ASV.680	0	0	0	0	3	0	0
ASV.681	0	0	0	0	3	0	0
ASV.682	0	0	0	0	3	0	0
ASV.683	0	0	0	0	3	0	0
ASV.684	0	0	0	0	3	0	0
ASV.685	0	0	0	0	3	0	0
ASV.686	0	0	0	0	3	0	0
ASV.687	0	0	0	0	3	0	0
ASV.688	0	0	0	0	3	0	0
ASV.689	0	0	0	0	3	0	0
ASV.690	0	0	0	0	3	0	0
ASV.691	0	0	0	0	3	0	0
ASV.692	0	0	0	0	3	0	0
ASV.693	0	0	0	0	3	0	0
ASV.694	0	0	0	0	3	0	0
ASV.695	0	0	0	0	3	0	0
ASV.696	0	0	0	0	3	0	0
ASV.697	0	0	0	0	3	0	0
ASV.698	0	0	0	0	3	0	0
ASV.699	0	0	0	0	3	0	0
ASV.700	0	0	0	0	3	0	0
ASV.701	0	0	0	0	3	0	0
ASV.702	0	0	0	0	3	0	0
ASV.703	0	0	0	0	0	3	0
ASV.704	0	0	0	0	0	3	0
ASV.705	0	0	0	0	0	3	0
ASV.706	0	0	0	0	0	3	0
ASV.707	0	0	0	0	0	3	0
ASV.708	0	0	0	0	0	3	0
ASV.709	0	0	0	0	0	3	0
ASV.710	0	0	0	0	0	3	0
ASV.711	0	0	0	0	0	3	0
ASV.712	0	0	0	0	0	3	0
ASV.713	0	0	0	0	0	3	0
ASV.714	0	0	0	0	0	0	3
ASV.715	0	0	0	0	0	0	3
ASV.716	0	0	0	0	0	0	3
ASV.717	0	0	0	0	0	0	3
ASV.718	0	0	0	0	0	0	3
ASV.719	0	0	0	0	0	0	3
ASV.720	0	0	0	0	0	0	3
ASV.721	0	0	0	0	0	0	3
ASV.722	0	0	0	0	0	0	3
ASV.723	0	0	0	0	0	0	3
ASV.724	0	0	0	0	0	0	3
ASV.725	0	0	0	0	0	0	3
ASV.726	2	0	0	0	0	0	0
ASV.727	2	0	0	0	0	0	0
ASV.728	2	0	0	0	0	0	0
ASV.729	2	0	0	0	0	0	0
ASV.730	2	0	0	0	0	0	0
ASV.731	2	0	0	0	0	0	0
ASV.732	2	0	0	0	0	0	0
ASV.733	2	0	0	0	0	0	0
ASV.734	2	0	0	0	0	0	0
ASV.735	2	0	0	0	0	0	0
ASV.736	2	0	0	0	0	0	0
ASV.737	2	0	0	0	0	0	0
ASV.738	2	0	0	0	0	0	0
ASV.739	2	0	0	0	0	0	0
ASV.740	2	0	0	0	0	0	0
ASV.742	0	2	0	0	0	0	0
ASV.743	0	2	0	0	0	0	0
ASV.744	0	2	0	0	0	0	0
ASV.745	0	2	0	0	0	0	0
ASV.746	0	2	0	0	0	0	0
ASV.747	0	2	0	0	0	0	0
ASV.748	0	2	0	0	0	0	0
ASV.749	0	2	0	0	0	0	0
ASV.750	0	2	0	0	0	0	0
ASV.761	0	0	2	0	0	0	0
ASV.762	0	0	2	0	0	0	0
ASV.763	0	0	2	0	0	0	0
ASV.764	0	0	2	0	0	0	0
ASV.767	0	0	2	0	0	0	0
ASV.768	0	0	2	0	0	0	0
ASV.769	0	0	2	0	0	0	0
ASV.770	0	0	2	0	0	0	0
ASV.779	0	0	2	0	0	0	0
ASV.781	0	0	0	2	0	0	0
ASV.782	0	0	0	2	0	0	0
ASV.783	0	0	0	2	0	0	0
ASV.784	0	0	0	2	0	0	0
ASV.786	0	0	0	2	0	0	0
ASV.787	0	0	0	2	0	0	0
ASV.788	0	0	0	2	0	0	0
ASV.789	0	0	0	2	0	0	0
ASV.790	0	0	0	2	0	0	0
ASV.791	0	0	0	2	0	0	0
ASV.792	0	0	0	2	0	0	0
ASV.793	0	0	0	2	0	0	0
ASV.794	0	0	0	2	0	0	0
ASV.795	0	0	0	2	0	0	0
ASV.796	0	0	0	2	0	0	0
ASV.797	0	0	0	2	0	0	0
ASV.798	0	0	0	2	0	0	0
ASV.799	0	0	0	2	0	0	0
ASV.800	0	0	0	2	0	0	0
ASV.804	0	0	0	2	0	0	0
ASV.805	0	0	0	0	2	0	0
ASV.806	0	0	0	0	2	0	0
ASV.807	0	0	0	0	2	0	0
ASV.808	0	0	0	0	2	0	0
ASV.809	0	0	0	0	2	0	0
ASV.810	0	0	0	0	2	0	0
ASV.811	0	0	0	0	2	0	0
ASV.812	0	0	0	0	2	0	0
ASV.813	0	0	0	0	2	0	0
ASV.814	0	0	0	0	2	0	0
ASV.815	0	0	0	0	2	0	0
ASV.816	0	0	0	0	2	0	0
ASV.817	0	0	0	0	2	0	0
ASV.818	0	0	0	0	2	0	0
ASV.819	0	0	0	0	2	0	0
ASV.820	0	0	0	0	2	0	0
ASV.821	0	0	0	0	2	0	0
ASV.822	0	0	0	0	2	0	0
ASV.823	0	0	0	0	2	0	0
ASV.824	0	0	0	0	2	0	0
ASV.825	0	0	0	0	2	0	0
ASV.826	0	0	0	0	2	0	0
ASV.827	0	0	0	0	2	0	0
ASV.828	0	0	0	0	2	0	0
ASV.829	0	0	0	0	2	0	0
ASV.830	0	0	0	0	2	0	0
ASV.832	0	0	0	0	0	2	0
ASV.833	0	0	0	0	0	2	0
ASV.834	0	0	0	0	0	2	0
ASV.835	0	0	0	0	0	2	0
ASV.836	0	0	0	0	0	2	0
ASV.837	0	0	0	0	0	2	0
ASV.838	0	0	0	0	0	2	0
ASV.839	0	0	0	0	0	2	0
ASV.840	0	0	0	0	0	2	0
ASV.841	0	0	0	0	0	2	0
ASV.842	0	0	0	0	0	2	0
ASV.843	0	0	0	0	0	2	0
ASV.844	0	0	0	0	0	2	0
ASV.845	0	0	0	0	0	2	0
ASV.846	0	0	0	0	0	2	0
ASV.847	0	0	0	0	0	2	0
ASV.848	0	0	0	0	0	2	0
ASV.849	0	0	0	0	0	2	0
ASV.850	0	0	0	0	0	2	0
ASV.851	0	0	0	0	0	2	0
ASV.852	0	0	0	0	0	2	0
ASV.853	0	0	0	0	0	2	0
ASV.854	0	0	0	0	0	0	2
ASV.855	0	0	0	0	0	0	2
ASV.856	0	0	0	0	0	0	2
ASV.857	0	0	0	0	0	0	2
ASV.858	0	0	0	0	0	0	2
ASV.859	0	0	0	0	0	0	2
ASV.860	0	0	0	0	0	0	2
ASV.861	0	0	0	0	0	0	2
ASV.862	0	0	0	0	0	0	2
ASV.863	0	0	0	0	0	0	2
ASV.864	0	0	0	0	0	0	2
ASV.865	0	0	0	0	0	0	2
ASV.866	0	0	0	0	0	0	2
ASV.867	0	0	0	0	0	0	2
ASV.868	0	0	0	0	0	0	2
ASV.869	0	0	0	0	0	0	2
ASV.870	0	0	0	0	0	0	2
ASV.871	0	0	0	0	0	0	2
ASV.872	0	0	0	0	0	0	2
ASV.873	0	0	0	0	0	0	2
ASV.874	0	0	0	0	0	0	2
ASV.875	0	0	0	0	0	0	2
ASV.876	0	0	0	0	0	0	2
ASV.877	0	0	0	0	0	0	2
ASV.878	0	0	0	0	0	0	2
