SRR13612789	SRR13612790	SRR13612791
ASV.1	17356	24757	26419
ASV.2	354	4809	1532
ASV.3	758	201	210
ASV.4	813	181	121
ASV.6	284	188	131
ASV.7	120	215	245
ASV.8	547	11	11
ASV.13	0	274	177
ASV.14	0	208	234
ASV.15	246	88	62
ASV.16	23	237	108
ASV.17	104	124	135
ASV.19	117	99	115
ASV.20	0	208	122
ASV.22	248	0	0
ASV.24	108	24	54
ASV.26	24	64	83
ASV.27	94	28	36
ASV.28	0	59	71
ASV.30	111	0	0
ASV.31	93	11	7
ASV.32	0	59	49
ASV.33	0	39	66
ASV.34	43	27	32
ASV.35	100	0	0
ASV.36	56	41	0
ASV.37	90	0	0
ASV.38	0	51	39
ASV.40	39	29	0
ASV.41	0	0	68
ASV.43	26	21	17
ASV.44	8	35	20
ASV.46	61	0	0
ASV.48	0	0	56
ASV.49	28	0	26
ASV.50	23	0	29
ASV.51	36	14	0
ASV.52	0	27	23
ASV.53	0	45	0
ASV.54	0	44	0
ASV.56	0	0	44
ASV.57	36	7	0
ASV.59	0	0	43
ASV.60	15	4	22
ASV.61	0	24	15
ASV.63	0	0	38
ASV.64	18	0	19
ASV.65	37	0	0
ASV.66	33	0	0
ASV.67	32	0	0
ASV.68	0	13	18
ASV.70	0	0	31
ASV.71	20	0	9
ASV.72	19	0	9
ASV.73	28	0	0
ASV.74	0	16	11
ASV.75	0	0	24
ASV.76	23	0	0
ASV.77	22	0	0
ASV.78	6	8	7
ASV.79	21	0	0
ASV.80	0	10	11
ASV.81	20	0	0
ASV.82	20	0	0
ASV.83	20	0	0
ASV.84	0	0	20
ASV.85	8	11	0
ASV.87	18	0	0
ASV.88	18	0	0
ASV.89	0	18	0
ASV.90	17	0	0
ASV.91	11	6	0
ASV.92	17	0	0
ASV.93	0	17	0
ASV.95	0	0	17
ASV.96	16	0	0
ASV.97	0	16	0
ASV.99	15	0	0
ASV.100	8	7	0
ASV.101	15	0	0
ASV.102	15	0	0
ASV.103	0	15	0
ASV.105	0	0	15
ASV.106	0	0	15
ASV.107	14	0	0
ASV.108	14	0	0
ASV.109	14	0	0
ASV.110	0	14	0
ASV.111	0	14	0
ASV.112	0	0	14
ASV.113	0	0	14
ASV.114	13	0	0
ASV.115	13	0	0
ASV.116	0	6	7
ASV.118	10	0	2
ASV.119	12	0	0
ASV.120	0	12	0
ASV.121	0	12	0
ASV.122	0	6	6
ASV.125	0	0	12
ASV.126	11	0	0
ASV.127	11	0	0
ASV.131	0	0	11
ASV.132	0	0	11
ASV.133	0	0	11
ASV.134	10	0	0
ASV.135	10	0	0
ASV.136	10	0	0
ASV.137	0	10	0
ASV.138	0	10	0
ASV.139	0	10	0
ASV.140	0	0	10
ASV.141	0	0	10
ASV.142	9	0	0
ASV.143	9	0	0
ASV.144	9	0	0
ASV.145	9	0	0
ASV.146	0	9	0
ASV.147	0	9	0
ASV.148	0	9	0
ASV.149	0	0	9
ASV.150	0	0	9
ASV.151	8	0	0
ASV.152	8	0	0
ASV.153	8	0	0
ASV.154	8	0	0
ASV.155	8	0	0
ASV.156	4	4	0
ASV.157	8	0	0
ASV.158	8	0	0
ASV.159	8	0	0
ASV.160	0	8	0
ASV.161	0	8	0
ASV.162	0	8	0
ASV.163	0	8	0
ASV.164	0	8	0
ASV.165	0	8	0
ASV.166	0	8	0
ASV.168	0	0	8
ASV.169	0	0	8
ASV.170	0	0	8
ASV.171	0	0	8
ASV.172	0	0	8
ASV.173	7	0	0
ASV.176	7	0	0
ASV.177	7	0	0
ASV.178	7	0	0
ASV.179	7	0	0
ASV.180	7	0	0
ASV.181	7	0	0
ASV.182	7	0	0
ASV.183	7	0	0
ASV.184	7	0	0
ASV.185	7	0	0
ASV.186	7	0	0
ASV.187	0	7	0
ASV.188	0	7	0
ASV.189	0	7	0
ASV.190	0	7	0
ASV.191	0	7	0
ASV.192	0	7	0
ASV.193	0	7	0
ASV.195	0	0	7
ASV.196	0	0	7
ASV.198	0	0	7
ASV.199	0	0	7
ASV.200	0	0	7
ASV.201	0	0	7
ASV.202	0	0	7
ASV.203	0	0	7
ASV.204	0	0	7
ASV.205	6	0	0
ASV.207	6	0	0
ASV.208	6	0	0
ASV.209	6	0	0
ASV.210	6	0	0
ASV.211	6	0	0
ASV.212	6	0	0
ASV.213	6	0	0
ASV.214	6	0	0
ASV.215	6	0	0
ASV.216	6	0	0
ASV.217	6	0	0
ASV.218	6	0	0
ASV.219	6	0	0
ASV.220	6	0	0
ASV.221	6	0	0
ASV.222	6	0	0
ASV.223	0	6	0
ASV.224	0	6	0
ASV.225	0	6	0
ASV.226	0	6	0
ASV.227	0	6	0
ASV.228	0	6	0
ASV.229	0	6	0
ASV.230	0	6	0
ASV.231	0	0	6
ASV.232	0	0	6
ASV.233	0	0	6
ASV.234	0	0	6
ASV.235	0	0	6
ASV.236	0	0	6
ASV.237	0	0	6
ASV.238	5	0	0
ASV.239	5	0	0
ASV.240	5	0	0
ASV.241	5	0	0
ASV.242	5	0	0
ASV.243	5	0	0
ASV.244	5	0	0
ASV.245	5	0	0
ASV.246	5	0	0
ASV.247	5	0	0
ASV.248	5	0	0
ASV.249	5	0	0
ASV.250	5	0	0
ASV.251	5	0	0
ASV.252	5	0	0
ASV.253	5	0	0
ASV.254	5	0	0
ASV.255	5	0	0
ASV.256	5	0	0
ASV.257	5	0	0
ASV.258	0	5	0
ASV.259	0	5	0
ASV.260	0	5	0
ASV.261	0	5	0
ASV.262	0	5	0
ASV.263	0	5	0
ASV.264	0	5	0
ASV.265	0	5	0
ASV.266	0	5	0
ASV.267	0	5	0
ASV.268	0	5	0
ASV.269	0	5	0
ASV.270	0	5	0
ASV.271	0	5	0
ASV.272	0	5	0
ASV.273	0	5	0
ASV.274	0	5	0
ASV.275	0	5	0
ASV.276	0	5	0
ASV.277	0	5	0
ASV.278	0	5	0
ASV.281	0	5	0
ASV.282	0	5	0
ASV.283	0	5	0
ASV.284	0	0	5
ASV.285	0	0	5
ASV.286	0	0	5
ASV.287	0	0	5
ASV.288	0	0	5
ASV.289	0	0	5
ASV.290	0	0	5
ASV.291	0	0	5
ASV.292	4	0	0
ASV.293	4	0	0
ASV.294	4	0	0
ASV.295	4	0	0
ASV.296	4	0	0
ASV.297	4	0	0
ASV.298	4	0	0
ASV.299	4	0	0
ASV.300	4	0	0
ASV.301	4	0	0
ASV.302	4	0	0
ASV.303	4	0	0
ASV.304	4	0	0
ASV.305	4	0	0
ASV.306	4	0	0
ASV.307	4	0	0
ASV.308	4	0	0
ASV.309	4	0	0
ASV.310	0	4	0
ASV.311	0	4	0
ASV.312	0	4	0
ASV.313	0	4	0
ASV.314	0	4	0
ASV.315	0	4	0
ASV.316	0	4	0
ASV.317	0	4	0
ASV.318	0	4	0
ASV.319	0	4	0
ASV.320	0	4	0
