SRR13612797	SRR13612808	SRR13612849	SRR13612860	SRR13612885	SRR13612887	SRR13612888	SRR13612889
ASV.295	6	0	0	0	0	0	0	0
ASV.296	6	0	0	0	0	0	0	0
ASV.297	6	0	0	0	0	0	0	0
ASV.298	0	6	0	0	0	0	0	0
ASV.299	0	4	0	0	0	2	0	0
ASV.300	0	6	0	0	0	0	0	0
ASV.301	0	6	0	0	0	0	0	0
ASV.302	0	0	6	0	0	0	0	0
ASV.303	0	0	6	0	0	0	0	0
ASV.304	0	0	6	0	0	0	0	0
ASV.305	0	0	0	0	0	6	0	0
ASV.306	0	0	0	0	0	6	0	0
ASV.308	0	0	0	0	0	0	6	0
ASV.309	0	0	0	0	0	0	6	0
ASV.310	0	0	0	0	0	0	6	0
ASV.311	0	0	0	0	0	0	6	0
ASV.312	0	0	0	0	0	0	0	6
ASV.313	0	0	0	0	0	0	0	6
ASV.314	0	0	0	0	0	0	0	6
ASV.315	5	0	0	0	0	0	0	0
ASV.316	5	0	0	0	0	0	0	0
ASV.317	5	0	0	0	0	0	0	0
ASV.318	5	0	0	0	0	0	0	0
ASV.319	5	0	0	0	0	0	0	0
ASV.320	5	0	0	0	0	0	0	0
ASV.321	5	0	0	0	0	0	0	0
ASV.322	5	0	0	0	0	0	0	0
ASV.323	0	5	0	0	0	0	0	0
ASV.324	0	5	0	0	0	0	0	0
ASV.325	0	5	0	0	0	0	0	0
ASV.326	0	5	0	0	0	0	0	0
ASV.327	0	5	0	0	0	0	0	0
ASV.328	0	0	5	0	0	0	0	0
ASV.329	0	0	5	0	0	0	0	0
ASV.330	0	0	5	0	0	0	0	0
ASV.331	0	0	5	0	0	0	0	0
ASV.332	0	0	5	0	0	0	0	0
ASV.334	0	0	0	5	0	0	0	0
ASV.335	0	0	0	5	0	0	0	0
ASV.337	0	0	0	5	0	0	0	0
ASV.338	0	0	0	0	5	0	0	0
ASV.339	0	0	0	0	5	0	0	0
ASV.340	0	0	0	0	5	0	0	0
ASV.341	0	0	0	0	5	0	0	0
ASV.342	0	0	0	0	5	0	0	0
ASV.343	0	0	0	0	0	5	0	0
ASV.344	0	0	0	0	0	5	0	0
ASV.345	0	0	0	0	0	5	0	0
ASV.346	0	0	0	0	0	5	0	0
ASV.347	0	0	0	0	0	5	0	0
ASV.348	0	0	0	0	0	0	5	0
ASV.349	0	0	0	0	0	0	5	0
ASV.350	0	0	0	0	0	0	5	0
ASV.354	0	0	0	0	0	0	0	5
ASV.355	0	0	0	0	0	0	0	5
ASV.356	0	0	0	0	0	0	0	5
ASV.357	0	0	0	0	0	0	0	5
ASV.358	0	0	0	0	0	0	0	5
ASV.359	0	0	0	0	0	0	0	5
ASV.360	4	0	0	0	0	0	0	0
ASV.361	4	0	0	0	0	0	0	0
ASV.362	4	0	0	0	0	0	0	0
ASV.363	4	0	0	0	0	0	0	0
ASV.364	4	0	0	0	0	0	0	0
ASV.365	4	0	0	0	0	0	0	0
ASV.366	4	0	0	0	0	0	0	0
ASV.367	4	0	0	0	0	0	0	0
ASV.368	4	0	0	0	0	0	0	0
ASV.369	4	0	0	0	0	0	0	0
ASV.370	4	0	0	0	0	0	0	0
ASV.371	4	0	0	0	0	0	0	0
ASV.372	4	0	0	0	0	0	0	0
ASV.373	0	4	0	0	0	0	0	0
ASV.374	0	4	0	0	0	0	0	0
ASV.377	0	0	4	0	0	0	0	0
ASV.378	0	0	4	0	0	0	0	0
ASV.379	0	0	4	0	0	0	0	0
ASV.382	0	0	0	4	0	0	0	0
ASV.383	0	0	0	4	0	0	0	0
ASV.384	0	0	0	4	0	0	0	0
ASV.385	0	0	0	4	0	0	0	0
ASV.386	0	0	0	4	0	0	0	0
ASV.387	0	0	0	4	0	0	0	0
ASV.390	0	0	0	0	4	0	0	0
ASV.391	0	0	0	0	4	0	0	0
ASV.392	0	0	0	0	4	0	0	0
ASV.393	0	0	0	0	4	0	0	0
ASV.394	0	0	0	0	4	0	0	0
ASV.395	0	0	0	0	4	0	0	0
ASV.396	0	0	0	0	0	4	0	0
ASV.397	0	0	0	0	0	4	0	0
ASV.398	0	0	0	0	0	4	0	0
ASV.399	0	0	0	0	0	4	0	0
ASV.400	0	0	0	0	0	4	0	0
ASV.401	0	0	0	0	0	4	0	0
ASV.402	0	0	0	0	0	4	0	0
ASV.403	0	0	0	0	0	4	0	0
ASV.404	0	0	0	0	0	4	0	0
ASV.405	0	0	0	0	0	4	0	0
ASV.406	0	0	0	0	0	4	0	0
ASV.407	0	0	0	0	0	4	0	0
ASV.409	0	0	0	0	0	2	0	2
ASV.411	0	0	0	0	0	0	4	0
ASV.412	0	0	0	0	0	0	4	0
ASV.413	0	0	0	0	0	0	4	0
ASV.414	0	0	0	0	0	0	4	0
ASV.415	0	0	0	0	0	0	4	0
ASV.416	0	0	0	0	0	0	4	0
ASV.418	0	0	0	0	0	0	0	4
ASV.419	0	0	0	0	0	0	0	4
ASV.420	0	0	0	0	0	0	0	4
ASV.421	0	0	0	0	0	0	0	4
ASV.422	0	0	0	0	0	0	0	4
ASV.423	0	0	0	0	0	0	0	4
ASV.424	0	0	0	0	0	0	0	4
ASV.425	0	0	0	0	0	0	0	4
ASV.426	0	0	0	0	0	0	0	4
ASV.427	0	0	0	0	0	0	0	4
ASV.428	0	0	0	0	0	0	0	4
ASV.429	0	0	0	0	0	0	0	4
ASV.430	0	0	0	0	0	0	0	4
ASV.431	0	0	0	0	0	0	0	4
ASV.432	0	0	0	0	0	0	0	4
ASV.433	3	0	0	0	0	0	0	0
ASV.434	3	0	0	0	0	0	0	0
ASV.435	3	0	0	0	0	0	0	0
ASV.436	3	0	0	0	0	0	0	0
ASV.437	3	0	0	0	0	0	0	0
ASV.438	3	0	0	0	0	0	0	0
ASV.439	3	0	0	0	0	0	0	0
ASV.440	3	0	0	0	0	0	0	0
ASV.441	3	0	0	0	0	0	0	0
ASV.442	0	3	0	0	0	0	0	0
ASV.443	0	3	0	0	0	0	0	0
ASV.444	0	3	0	0	0	0	0	0
ASV.445	0	3	0	0	0	0	0	0
ASV.446	0	3	0	0	0	0	0	0
ASV.447	0	3	0	0	0	0	0	0
ASV.448	0	0	3	0	0	0	0	0
ASV.449	0	0	3	0	0	0	0	0
ASV.450	0	0	3	0	0	0	0	0
ASV.451	0	0	3	0	0	0	0	0
ASV.452	0	0	3	0	0	0	0	0
ASV.453	0	0	3	0	0	0	0	0
ASV.454	0	0	3	0	0	0	0	0
ASV.455	0	0	3	0	0	0	0	0
ASV.456	0	0	3	0	0	0	0	0
ASV.457	0	0	3	0	0	0	0	0
ASV.461	0	0	0	3	0	0	0	0
ASV.462	0	0	0	3	0	0	0	0
ASV.463	0	0	0	3	0	0	0	0
ASV.464	0	0	0	3	0	0	0	0
ASV.465	0	0	0	3	0	0	0	0
ASV.466	0	0	0	3	0	0	0	0
ASV.467	0	0	0	3	0	0	0	0
ASV.468	0	0	0	3	0	0	0	0
ASV.469	0	0	0	3	0	0	0	0
ASV.470	0	0	0	3	0	0	0	0
ASV.474	0	0	0	0	3	0	0	0
ASV.475	0	0	0	0	3	0	0	0
ASV.476	0	0	0	0	3	0	0	0
ASV.477	0	0	0	0	3	0	0	0
ASV.478	0	0	0	0	3	0	0	0
ASV.479	0	0	0	0	3	0	0	0
ASV.482	0	0	0	0	3	0	0	0
ASV.483	0	0	0	0	3	0	0	0
ASV.485	0	0	0	0	0	3	0	0
ASV.486	0	0	0	0	0	3	0	0
ASV.487	0	0	0	0	0	3	0	0
ASV.488	0	0	0	0	0	3	0	0
ASV.489	0	0	0	0	0	3	0	0
ASV.490	0	0	0	0	0	3	0	0
ASV.491	0	0	0	0	0	3	0	0
ASV.492	0	0	0	0	0	3	0	0
ASV.493	0	0	0	0	0	3	0	0
ASV.494	0	0	0	0	0	3	0	0
ASV.495	0	0	0	0	0	3	0	0
ASV.496	0	0	0	0	0	3	0	0
ASV.497	0	0	0	0	0	0	3	0
ASV.498	0	0	0	0	0	0	3	0
ASV.499	0	0	0	0	0	0	3	0
ASV.500	0	0	0	0	0	0	3	0
ASV.501	0	0	0	0	0	0	3	0
ASV.502	0	0	0	0	0	0	3	0
ASV.503	0	0	0	0	0	0	3	0
ASV.504	0	0	0	0	0	0	3	0
ASV.505	0	0	0	0	0	0	3	0
ASV.506	0	0	0	0	0	0	3	0
ASV.507	0	0	0	0	0	0	3	0
ASV.508	0	0	0	0	0	0	3	0
ASV.511	0	0	0	0	0	0	0	3
ASV.512	0	0	0	0	0	0	0	3
ASV.513	0	0	0	0	0	0	0	3
ASV.514	0	0	0	0	0	0	0	3
ASV.515	0	0	0	0	0	0	0	3
ASV.516	0	0	0	0	0	0	0	3
ASV.517	0	0	0	0	0	0	0	3
ASV.518	0	0	0	0	0	0	0	3
ASV.519	0	0	0	0	0	0	0	3
ASV.520	0	0	0	0	0	0	0	3
ASV.521	0	0	0	0	0	0	0	3
ASV.522	0	0	0	0	0	0	0	3
ASV.523	0	0	0	0	0	0	0	3
ASV.524	0	0	0	0	0	0	0	3
ASV.526	0	0	0	0	0	0	0	3
ASV.527	2	0	0	0	0	0	0	0
ASV.528	2	0	0	0	0	0	0	0
ASV.529	2	0	0	0	0	0	0	0
ASV.530	2	0	0	0	0	0	0	0
ASV.531	2	0	0	0	0	0	0	0
ASV.532	2	0	0	0	0	0	0	0
ASV.533	0	2	0	0	0	0	0	0
ASV.534	0	2	0	0	0	0	0	0
ASV.535	0	2	0	0	0	0	0	0
ASV.536	0	2	0	0	0	0	0	0
ASV.537	0	2	0	0	0	0	0	0
ASV.538	0	0	2	0	0	0	0	0
ASV.539	0	0	2	0	0	0	0	0
ASV.540	0	0	2	0	0	0	0	0
ASV.541	0	0	2	0	0	0	0	0
ASV.542	0	0	2	0	0	0	0	0
ASV.543	0	0	2	0	0	0	0	0
ASV.544	0	0	2	0	0	0	0	0
ASV.545	0	0	2	0	0	0	0	0
ASV.546	0	0	2	0	0	0	0	0
ASV.547	0	0	2	0	0	0	0	0
ASV.548	0	0	2	0	0	0	0	0
ASV.549	0	0	2	0	0	0	0	0
ASV.550	0	0	2	0	0	0	0	0
ASV.551	0	0	2	0	0	0	0	0
ASV.552	0	0	2	0	0	0	0	0
ASV.558	0	0	2	0	0	0	0	0
ASV.559	0	0	0	2	0	0	0	0
ASV.560	0	0	0	2	0	0	0	0
ASV.561	0	0	0	2	0	0	0	0
ASV.562	0	0	0	2	0	0	0	0
ASV.563	0	0	0	2	0	0	0	0
ASV.564	0	0	0	2	0	0	0	0
ASV.565	0	0	0	2	0	0	0	0
ASV.566	0	0	0	2	0	0	0	0
ASV.567	0	0	0	2	0	0	0	0
ASV.571	0	0	0	0	2	0	0	0
ASV.572	0	0	0	0	2	0	0	0
ASV.573	0	0	0	0	2	0	0	0
ASV.574	0	0	0	0	2	0	0	0
ASV.575	0	0	0	0	2	0	0	0
ASV.576	0	0	0	0	2	0	0	0
ASV.578	0	0	0	0	2	0	0	0
ASV.579	0	0	0	0	2	0	0	0
ASV.580	0	0	0	0	2	0	0	0
ASV.581	0	0	0	0	2	0	0	0
ASV.582	0	0	0	0	2	0	0	0
ASV.583	0	0	0	0	2	0	0	0
ASV.584	0	0	0	0	2	0	0	0
ASV.585	0	0	0	0	2	0	0	0
ASV.586	0	0	0	0	2	0	0	0
ASV.588	0	0	0	0	2	0	0	0
ASV.589	0	0	0	0	0	2	0	0
ASV.591	0	0	0	0	0	2	0	0
ASV.592	0	0	0	0	0	2	0	0
ASV.593	0	0	0	0	0	2	0	0
ASV.594	0	0	0	0	0	2	0	0
ASV.595	0	0	0	0	0	2	0	0
ASV.596	0	0	0	0	0	2	0	0
ASV.597	0	0	0	0	0	2	0	0
ASV.598	0	0	0	0	0	2	0	0
ASV.599	0	0	0	0	0	2	0	0
ASV.600	0	0	0	0	0	2	0	0
ASV.601	0	0	0	0	0	2	0	0
ASV.602	0	0	0	0	0	2	0	0
ASV.603	0	0	0	0	0	2	0	0
ASV.604	0	0	0	0	0	2	0	0
ASV.605	0	0	0	0	0	2	0	0
ASV.606	0	0	0	0	0	2	0	0
ASV.607	0	0	0	0	0	2	0	0
ASV.608	0	0	0	0	0	2	0	0
ASV.609	0	0	0	0	0	2	0	0
ASV.610	0	0	0	0	0	2	0	0
ASV.611	0	0	0	0	0	0	2	0
ASV.612	0	0	0	0	0	0	2	0
ASV.613	0	0	0	0	0	0	2	0
ASV.614	0	0	0	0	0	0	2	0
ASV.615	0	0	0	0	0	0	2	0
ASV.616	0	0	0	0	0	0	2	0
ASV.617	0	0	0	0	0	0	2	0
ASV.618	0	0	0	0	0	0	2	0
ASV.619	0	0	0	0	0	0	2	0
ASV.620	0	0	0	0	0	0	2	0
ASV.621	0	0	0	0	0	0	2	0
ASV.622	0	0	0	0	0	0	2	0
ASV.623	0	0	0	0	0	0	2	0
ASV.624	0	0	0	0	0	0	2	0
ASV.625	0	0	0	0	0	0	2	0
ASV.626	0	0	0	0	0	0	2	0
ASV.627	0	0	0	0	0	0	2	0
ASV.628	0	0	0	0	0	0	2	0
ASV.629	0	0	0	0	0	0	2	0
ASV.630	0	0	0	0	0	0	2	0
ASV.633	0	0	0	0	0	0	2	0
ASV.634	0	0	0	0	0	0	0	2
ASV.635	0	0	0	0	0	0	0	2
ASV.636	0	0	0	0	0	0	0	2
ASV.637	0	0	0	0	0	0	0	2
ASV.638	0	0	0	0	0	0	0	2
ASV.639	0	0	0	0	0	0	0	2
ASV.640	0	0	0	0	0	0	0	2
ASV.641	0	0	0	0	0	0	0	2
ASV.642	0	0	0	0	0	0	0	2
ASV.643	0	0	0	0	0	0	0	2
ASV.644	0	0	0	0	0	0	0	2
ASV.645	0	0	0	0	0	0	0	2
ASV.646	0	0	0	0	0	0	0	2
ASV.647	0	0	0	0	0	0	0	2
ASV.648	0	0	0	0	0	0	0	2
ASV.649	0	0	0	0	0	0	0	2
ASV.650	0	0	0	0	0	0	0	2
ASV.651	0	0	0	0	0	0	0	2
ASV.652	0	0	0	0	0	0	0	2
ASV.653	0	0	0	0	0	0	0	2
ASV.655	0	0	0	0	0	0	0	2
ASV.656	0	0	0	0	0	0	0	2
ASV.676	0	0	0	0	0	0	0	1
